EntryID,LemmaID,Code,Batch,List,Item,YouTube Video,VimeoVideoHTML,VimeoVideo,SubtLexUSLog10WF,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFrequency(N-Nonnative),SignFreq(Z-Nonnative),DominantTranslation,NondominantTranslation,PercentUnknown,PercentGlossAgreement,PercentUnknown(Native),PercentGlossAgreement(Native),PercentUnknown(Nonnative),PercentGlossAgreement(Nonnative),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,IconicityType,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(Z) native,D.Iconicity(N) native,H statistic,GuessAccuracy,Transparency(M),Transparency SD,Transparency Z,LexicalClass,SignOnset(ms),SignOffset(ms),SignDuration(ms),ClipDuration(ms),InCDI,CDI Semantic Category,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Phonological Complexity,PhonotacticProbability,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankReferenceID,bglm_aoa,empirical_aoa,HandshapeImage - 100x100,HandshapeImage: URL,Parameter.Neighborhood.Density.2.0,SignBankSemanticField
diaper,diaper,A_02_002,A,2,2,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/YEM4OgbAypU?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344219697?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344219697,2.34,3.407,1.6,-0.241,27,3.154,1.519,-0.342,13,3.643,1.692,14,-0.148,diaper,,0,1,0,1,0,1,3.3,1.622,-0.016,30,,Arbitrary,3.84,1.44,31,0.25,3.79,1.51,0.25,19,,,,,,Noun,501,1201,701,1235,Yes,Clothing,0,0,0,1,h,im,FullyOpen,1,0,0,Open,1,SymmetricalOrAlternating,None,1,Body,Hips,NA,1,h,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.094,0.004,0,0.153,0.14,0.409,0.209,0.446,0.622,0.602,0.878,0.316,0.657,0.836,2,-0.255,32,0,DIAPER,diaper,DIAPER,794,26,15,,,32,None
dice,dice,D_02_036,D,2,36,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hwTBYp1WWUs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345971497?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345971497,2.728,3.222,1.625,-0.502,27,3.059,1.345,-0.628,17,3.5,2.068,10,-0.287,,,0,,0,,0,,6.129,1.088,1.472,31,,NA,4,1.63,26,0.49,3.72,1.71,0.4,18,,,,,,Verb,601,1401,801,1969,No,,0,0,1,2,s,imrp,FullyClosed,1,NA,0,Closed,1,OneHanded,Straight,1,Neutral,Neutral,Neutral,0,NA,0,5,imrp,FullyOpen,0,1,0,Open,0,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457,0.449,0.067,0.209,0.446,0.378,0,0.878,0.316,0.343,0.836,2,-0.038,524,4,DICE,"bet, dice, gamble, gambling, roll dice",DICE,2740,,,,,524,Event
dictionary,dictionary,F_03_035,F,3,35,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/WCvibAQ1yho?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346601280?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346601280,2.281,3.926,1.662,-0.16,27,3.857,1.916,-0.22,14,4,1.414,13,-0.095,,,0,,0,,0,,2.333,1.744,-0.694,33,,Arbitrary,,,,,,,,,,,,,,Noun,400,1668,1268,2002,No,,1,0,0,1,d,m,Curved,0,NA,NA,Open,1,AsymmetricalDifferentHandshape,Curved,1,Hand,Palm,HandAway,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.077,0.155,0.233,0.045,0.225,0.791,0.446,0.622,0,0,0.316,0.657,0.836,4,-0.39,253,1,,,,,,,,,253,
die,die,D_02_021,D,2,21,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/odUySW2DPRY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345970276?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345970276,4.124,4.346,1.672,0.119,26,4.706,1.359,0.255,17,3.667,2.062,10,-0.137,,,0,,0,,0.1,,2.839,1.267,-0.049,31,,Arbitrary,1.96,1.18,26,-0.57,1.89,1.23,-0.57,18,,,,,,Verb,634,1401,767,2069,No,,0,0,0,1,open_b,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,0,open_b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233,0.449,0.409,0.791,0.554,0.378,0.602,0.878,0.684,0.657,0.164,2,0.495,344,9,DIE,"dead, death, die, expire, pass away",DIE,838,,,,,344,Event
different,different,E_03_095,E,3,95,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/1-I67cZ36qA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346077748?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346077748,4.029,5.517,1.122,0.676,30,5.786,0.893,0.808,14,5.267,1.28,16,0.552,,,0.033,,0,,0.063,,3.625,1.746,0.063,16,,Arbitrary,,,,,,,,,,,,,,Adjective,567,1101,534,1702,Yes,Descriptive Signs,0,0,0,1,1,i,FullyOpen,0,NA,NA,Closed,0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.836,1,0.4,563,16,DIFFERENT,"assortment, contrast, differ, different, differing, distinct",DIFFERENT,106,39,33,,,563,Attribute
different_situation,different_situation,J_01_075,J,1,75,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/j8S8SbjaV7M?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346921506?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346921506,,4.345,2.075,0.09,30,4,2.07,-0.137,15,4.714,2.091,15,0.333,interesting,"cool, far out, alternate, awesome, different situation, later, likeable, novel, rare, secondary",0.033,0.621,0,0.867,0.067,0.357,1.458,1.141,-0.784,24,don't have any,Arbitrary,,,,,,,,,,,,,,Noun,567,1768,1201,2169,No,,0,0,0,1,l,i,FullyOpen,0,NA,NA,Open,0,OneHanded,None,1,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153,0.261,0.409,0.791,0.446,0.378,0,0,0.684,0.657,0.164,1,-0.168,149,4,,,,,,,,,149,
dig,dig,K_02_119,K,,,,"<iframe src=https://player.vimeo.com/video/342144557?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342144557,3.373,2.96,1.428,-0.704,25,2.364,1.286,-0.705,11,3.429,1.399,14,-0.704,,,0,,0,,0,,6,1.474,1.154,24,DIG,,,,,,,,,,,,,,,Verb,467,1702,1235,2336,No,,0,0,0,1,c,imrp,Curved,0,0,0,Open,0,AsymmetricalDifferentHandshape,Curved,1,Hand,Palm,HandAway,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.077,0.155,0.233,0.449,0.225,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,3,0.184,205,5,,,,,,,,,205,
dig_up,dig_up,G_02_019,G,2,19,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/HL5Pr4zflPc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346741850?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346741850,,3.556,1.826,-0.306,27,4,1.809,-0.113,12,3.2,1.821,15,-0.461,,,0,,0,,0,,6.469,1.135,1.395,32,TO DIG UP,NA,,,,,,,,,,,,,,Verb,334,1835,1502,2503,No,,0,0,0,1,a,t,NA,NA,NA,NA,Open,NA,SymmetricalOrAlternating,Curved,1,Neutral,Neutral,Neutral,0,a,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233,0.057,0,0,0.446,0.378,0,0,0,0.657,0.164,3,-0.683,310,2,,,,,,,,,310,
dilemma,dilemma,J_01_003,J,1,3,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TLsjyDTg0pw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346908640?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346908640,2.127,3.4,1.567,-0.435,30,3.533,1.727,-0.417,15,3.267,1.438,15,-0.454,,,0,,0,,0,,2.833,1.761,-0.115,24,,Arbitrary,,,,,,,,,,,,,,Noun,534,1401,868,1902,No,,0,0,0,1,bent_v,im,Bent,0,1,0,Closed,0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,bent_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457,0.14,0.099,0.791,0.554,0.622,0.398,0.878,0.684,0.343,0.836,2,0.438,455,4,DILEMMA,"dilemma, in a bind, in a jam, in a pickle, issue, problem",DILEMMA,1255,,,,,455,None
dining_room,dining_room,F_02_049,F,2,49,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/-7KaQ9pDa0s?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346495122?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346495122,,3.4,1.893,-0.505,27,3.167,1.586,-0.707,14,3.615,2.181,13,-0.318,,,0.074,,0.143,,0,,2.1,1.47,-0.612,30,,Arbitrary,,,,,,,,,,,,,,Noun,467,1535,1068,2102,Yes,Furniture and Rooms,0,0,1,3,o,imrp,Curved,0,0,0,Open,1,OneHanded,Straight,1,Head,Mouth,NA,1,NA,0,open_b,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,None,NA,Neutral,Neutral,NA,0,open_b,0,flat_b,imrp,Flat,0,0,0,Open,0,SymmetricalOrAlternating,None,NA,Neutral,Neutral,Neutral,0,flat_b,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.046,0,0.457,0.449,0.225,0.791,0.446,0.622,0.602,0.878,0.316,0.657,0.836,0,0.233,354,5,,,,,48,35,,,354,
dinner_1,dinner,G_03_044,G,3,44,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/qc4OLk3Fg8I?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346777231?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346777231,4.014,4.846,1.713,0.323,27,5,1.732,0.483,12,4.733,1.751,15,0.205,,,0.037,,0.083,,0,,3.048,2.061,-0.139,21,,Arbitrary,,,,,,,,,,,,,,Noun,434,1201,767,1802,Yes,Games and Routines,0,0,1,2,o,imrp,Curved,0,0,0,Open,1,OneHanded,Straight,0,Head,Mouth,NA,1,NA,0,flat_b,imrp,Flat,0,0,0,Open,0,AsymmetricalSameHandshape,None,NA,Hand,FingerRadial,NA,1,flat_b,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.046,0,0.457,0.449,0.225,0.791,0.554,0.622,0.602,0.878,0.316,0.657,0.836,0,0.367,354,10,EAT-NIGHT,"dinner, eat, eat night, evening, supper",EAT-NIGHT,107,34,29,,,354,None
dinner_2,dinner,J_02_023,J,2,23,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/a5QcQSeVj94?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346934705?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346934705,4.014,4.655,1.876,0.266,30,5.5,1.787,0.645,15,3.867,1.642,15,-0.087,dinner,"dentist, sign name",0.033,0.931,0.067,1,0,0.867,2.4,1.225,-0.421,25,dinner,Arbitrary,,,,,,,,,,,,,,Noun,601,1502,901,2035,No,,1,0,0,1,d,mrp,Curved,0,0,0,Open,1,OneHanded,Straight,1,Head,Chin,HeadAway,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.037,0.178,0.457,0.002,0.225,0.791,0.446,0.622,0.602,0.878,0.316,0.657,0.836,2,0.103,313,1,DINNER,"dinner, supper",DINNER,108,,,,,313,None
dinosaur,dinosaur,A_01_031,A,1,31,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/yv9ee_7t4s4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344216928?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344216928,2.31,2.333,1.348,-0.874,30,2.235,1.393,-0.858,17,2.462,1.33,13,-0.896,dinosaur,,0.032,1,0.056,1,0,1,3.564,1.832,0.192,39,,Arbitrary,3.55,1.93,31,0.09,3.63,1.98,0.16,19,,,,,,Noun,334,1268,934,1802,No,,0,0,0,1,o,imrp,Curved,0,0,0,Open,1,OneHanded,Straight,1,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457,0.449,0.225,0.791,0.446,0.378,0.602,0.878,0.316,0.657,0.836,1,0.462,482,4,DINOSAURb,"animal, dinosaur, prehistoric, reptile",DINOSAUR,832,,,,,482,Animal
dinosaur_2,dinosaur_2,K_03_047,K,,,,"<iframe src=https://player.vimeo.com/video/342147797?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342147797,2.31,2.826,2.125,-0.73,25,2.5,2.121,-0.692,11,3.077,2.178,14,-0.759,,,0.08,,0.091,,0.071,,2,1.386,-0.864,26,DINOSAUR,,,,,,,,,,,,,,,Noun,734,1802,1068,2536,No,,1,0,0,1,d,m,Curved,0,NA,NA,Open,1,OneHanded,Z-shaped,0,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.034,0.045,0.225,0.791,0.554,0.378,0,0,0.316,0.657,0.836,4,-0.04,137,1,,,,,,,,,137,
dip_1,dip_1,J_01_063,J,1,63,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hj-INU00IPg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346920161?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346920161,2.61,3.633,1.866,-0.292,30,3.733,1.792,-0.309,15,3.533,1.995,15,-0.275,,,0,,0,,0,,5.458,1.793,1.076,24,,Both,,,,,,,,,,,,,,Verb,467,1368,901,2236,No,,0,0,0,1,o,imrp,Curved,0,0,0,Open,1,AsymmetricalDifferentHandshape,Curved,0,Hand,HandAway,HandAway,0,C,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.035,0.155,0.233,0.449,0.225,0.791,0.554,0.378,0.602,0.878,0.316,0.657,0.164,3,-0.132,192,0,,,,,,,,,192,
