EntryID,LemmaID,Code,YouTube Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Transparency M,Transparency SD,Transparency Z,H index,SignBankAnnotationID,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,DominantTranslation,SignBankAnnotationID,SignBankLemmaID,SignBankSemanticField,SignBankEnglishTranslations,Complexity,SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFreq(Z-Nonnative),SignFrequency(N-Nonnative),PercentGlossAgreement(Nonnative),PercentUnknown(Nonnative),PhonotacticProbability,VimeoVideo
contact,contact,D_03_022,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Gi4jaU1Ck84?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.462,1.24,0.771,26,0,5.5,1.211,0.726,16,0,,,,3.519,Noun,501,1368,868,2135,2.15,1.16,26,-0.46,2,1.14,18,-0.51,NA,0,0,0,1,open_8,1,m,Flat,0,NA,NA,Open,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,open_8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.363,0.363,0.426,0.457,0.045,0.162,0.791,0.446,0.622,0,0,0.684,0.657,0.836,,,,,CONTACT,471,6,471,6,,CONTACT,CONTACT,Event,"connect, connection, contact, get in touch with, network",2,5.4,1.35,0.84,10,0,0,6.196,https://player.vimeo.com/video/345982563
contact_lens,contact_lens,E_02_074,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/sIMQu1Xnx4s?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",3.438,1.883,-0.435,32,0,3.467,1.885,-0.451,15,0,,,,,Verb,501,1502,1001,2936,,,,,,,,,NA,0,0,0,1,open_8,1,m,Flat,0,NA,NA,Open,0,OneHanded,Other,Head,Eye,Eye,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.266,0.016,0.002,0.017,0.045,0.162,0.791,0.554,0.622,0,0,0.684,0.657,0.836,,,,,,15,0,15,0,,,,,,4,3.41,1.94,-0.42,17,0,0,5.042,https://player.vimeo.com/video/346060060
continue,continue,D_03_032,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/FslY0xcfgTk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.615,1.098,0.264,26,0,4.938,1.063,0.418,16,0,0.423,0.438,,3.403,Verb,601,1802,1201,2269,1.92,1.2,26,-0.59,1.78,1.22,18,-0.63,Arbitrary,0,0,0,1,a,0,t,NA,NA,NA,NA,Open,NA,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,a,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.363,0.363,0.426,0.233,0.057,0,0,0.446,0.622,0,0,0,0.657,0.836,,,,,CONTINUE,310,4,310,4,continue,CONTINUE,CONTINUE,Event,"continue, drag on, keep going, persevere, permanent, persist, persistent",3,4.1,0.99,0.02,10,0,0,4.348,https://player.vimeo.com/video/345983337
convince,convince,G_01_048,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/my2eXIKTdbQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.926,1.466,0.401,27,0,4.583,1.881,0.223,12,0,,,,2.98,Verb,367,1134,767,1735,,,,,,,,,Arbitrary,0,0,0,1,closed_b,0,imrp,FullyOpen,0,0,0,Closed,0,AsymmetricalDifferentHandshape,Curved,Hand,HandAway,FingerFront,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.175,0.25,0.035,0.016,0.233,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.164,,,,,CONVINCEb,190,0,190,0,,CONVINCEb,CONVINCE,Event,"convince, persuade",3,5.2,1.01,0.54,15,0,0,6.204,https://player.vimeo.com/video/346610968
convince_2,convince_2,H_03_013,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/NQAp6BU-iFM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.036,1.688,-0.032,28,0,4.143,1.562,0.025,14,0,0.964,0.929,convince,2.98,Verb,501,1201,701,2402,,,,,,,,,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,0,open_b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.363,0.363,0.426,0.233,0.449,0.409,0.791,0.554,0.378,0.602,0.878,0.684,0.657,0.164,,,,,CONVINCEbb,344,9,344,9,convince,CONVINCEbb,CONVINCE,Event,"convince, persuade",2,3.93,1.86,-0.09,14,1,0,7.296,https://player.vimeo.com/video/346886938
cook,cook,D_03_078,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/-wxU_9rmr7g?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",6.077,1.055,1.113,26,0,6.188,1.047,1.143,16,0,,,,3.366,Verb,701,1735,1034,2369,3.62,1.3,26,0.26,3.56,1.42,18,0.27,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,AsymmetricalSameHandshape,Other,Hand,Palm,Palm,1,open_b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14,0.059,0.25,0.077,0.025,0.017,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.164,,,,,COOK,86,2,86,2,,COOK,COOK,Event,"cook, food, kitchen, pancake",3,5.9,1.1,1.06,10,0,0,6.238,https://player.vimeo.com/video/345986922
cookie,cookie,B_03_008,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/xW3Er90TuH8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.96,1.172,0.207,25,0,4.786,1.251,0.102,14,0,,,,2.931,Noun,467,1001,534,1802,3.68,1.66,31,0.38,3.59,1.82,22,0.36,Arbitrary,0,0,0,1,curved_5,0,imrp,Curved,0,1,0,Open,0,SymmetryViolation,None,Hand,Palm,Palm,1,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,18,0.006,0.25,0.077,0.025,0.153,0.449,0.225,0.791,0.446,0.622,0.398,0.878,0.684,0.657,0.164,2.9,1.29,-0.32,-0.21,COOKIE,90,0,90,0,,COOKIE,COOKIE,Food,"cookie, dessert, snack",1,5.18,1.08,0.34,11,0,0,5.824,https://player.vimeo.com/video/345562583
cool_1,cool_1,F_01_014,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/V7mM7n8aPlA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",6.037,1.224,0.993,27,0,6,1.038,0.947,14,0,,,,4,Adjective,501,1435,934,1902,,,,,,,,,Arbitrary,0,0,0,1,5,0,imrp,FullyOpen,1,1,0,Open,0,OneHanded,None,Body,TorsoTop,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.094,0.032,0,0.153,0.449,0.409,0.209,0.446,0.622,0.398,0.878,0.684,0.657,0.836,,,,,,67,2,67,2,,,,,,1,6.08,1.44,1.04,13,0,0,6.258,https://player.vimeo.com/video/346487757
cool_3,cool_3,H_03_099,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Ex9DmDQKkzU?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.296,1.877,0.078,28,0.036,4.143,1.994,-0.026,14,0,0.556,0.571,cool (neat),4,Adjective,534,1368,834,1835,,,,,,,,,Arbitrary,0,0,0,1,f,1,i,Curved,0,NA,NA,Open,1,OneHanded,None,Head,Mouth,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.266,0.046,0,0.153,0.261,0.225,0.791,0.554,0.622,0,0,0.316,0.657,0.164,,,,,COOLf,242,4,242,4,cool,COOLf,COOL,Attribute,"awesome, cool, excellent, great, neat",1,4.46,1.81,0.19,14,1,0.071,4.448,https://player.vimeo.com/video/346894453
cool_4,cool_3,H_03_032,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/L-xWnuHxpeY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.393,1.37,0.733,28,0,5.429,1.505,0.772,14,0,1,1,cool (neat),4,Adjective,534,1134,601,1635,,,,,,,,,Arbitrary,0,0,0,1,baby_o,1,i,Bent,0,NA,NA,Open,1,OneHanded,None,Head,Mouth,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.266,0.046,0,0.153,0.261,0.099,0.791,0.554,0.622,0,0,0.316,0.657,0.164,,,,,COOLx,251,4,251,4,cool,COOLx,COOL,Attribute,"awesome, cool, neat",1,5.36,1.28,0.69,14,1,0,4.321,https://player.vimeo.com/video/346887850
cool_5,cool_5,J_01_004,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/76Mieb0A1HI?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.433,1.331,0.201,30,0,4.667,1.397,0.262,15,0,0.967,0.933,cool (temperature),4,Adjective,367,1201,834,1635,,,,,,,,,Both,0,0,0,1,5,0,imrp,FullyOpen,1,1,0,Open,0,SymmetricalOrAlternating,None,Head,HeadAway,NA,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.266,0.066,0,0.153,0.449,0.409,0.209,0.446,0.378,0.398,0.878,0.684,0.657,0.836,,,,,COOL-WEATHER,252,1,252,1,cool,COOL-WEATHER,COOL-WEATHER,Attribute,"breeze, breezy, brisk, cool, cool weather, mild temperature, wind, windy",1,4.2,1.26,0.14,15,1,0,6.172,https://player.vimeo.com/video/346908774
cooperate,cooperate,E_01_010,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/sFJktoXIh1s?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.143,1.734,0.464,35,0,5.133,1.767,0.488,15,0,,,,2.723,Verb,501,1568,1068,2102,,,,,,,,,Arbitrary,0,0,0,1,open_8,1,m,Flat,0,NA,NA,Open,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,open_8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.363,0.363,0.426,0.457,0.045,0.162,0.791,0.446,0.622,0,0,0.684,0.657,0.836,,,,,COOPERATE,471,6,471,6,,COOPERATE,COOPERATE,None,"associate, connect, cooperate, cooperation, coordinate, link, related, relation, relationship, to get along with",2,5.15,1.76,0.45,20,0,0,6.196,https://player.vimeo.com/video/346014579
copy,copy,D_01_064,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/5GV6a9RLbAI?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.63,1.363,0.235,27,0,4.75,1.571,0.267,16,0,,,,3.426,Verb,701,1702,1001,2436,2.85,1.43,26,-0.11,2.94,1.51,18,-0.03,Arbitrary,0,0,0,1,flatspread_5,1,imrp,Flat,0,1,1,Open,1,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.175,0.25,0.077,0.155,0.457,0.449,0.162,0.791,0.554,0.622,0.398,0.122,0.316,0.657,0.836,,,,,COPY,365,1,365,1,,COPY,COPY,Event,"copy, duplicate, emulate, imitate, replica, replicate",2,4.46,1.04,0.19,11,0,0,6.02,https://player.vimeo.com/video/345805720
corkscrew,corkscrew,D_01_053,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/rF-QNCNWv9c?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",2.85,1.843,-0.769,20,0.259,3.154,2.035,-0.669,13,0.188,1,1,,1.763,Noun,667,1635,968,2302,4.69,1.46,26,0.8,4.56,1.62,18,0.76,NA,0,0,0,1,s,0,imrp,FullyClosed,0,NA,0,Closed,1,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,HandAway,0,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.059,0.25,0.035,0.155,0.457,0.449,0.067,0.791,0.446,0.378,0,0.878,0.316,0.343,0.164,,,,,CORKSCREW,422,0,422,0,corkscrew,CORKSCREW,CORKSCREW,None,"corkscrew, open, uncork, wine",1,2.29,1.38,-0.95,11,1,0.364,4.789,https://player.vimeo.com/video/345805168
corkscrew_2,corkscrew_2,K_01_085,,2.579,1.61,-0.836,27,0.296,1.857,1.864,-0.879,11,0.364,0,0,CORKSCREW,1.763,Verb,501,1902,1401,2503,,,,,,,,,,0,0,0,1,bent_v,1,im,Bent,0,1,0,Closed,0,AsymmetricalDifferentHandshape,Straight,Hand,HandAway,HandAway,0,Lax,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.175,0.25,0.035,0.155,0.457,0.14,0.099,0.791,0.446,0.378,0.398,0.878,0.684,0.343,0.164,,,,,,358,0,358,0,corkscrew_2,,,,,3,3,1.35,-0.81,16,0,0.25,5.392,https://player.vimeo.com/video/341914635
corn_1,corn_1,A_02_084,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TTmQ_wZ9rHE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.185,1.302,0.187,27,0,4,1.225,0.119,13,0,,,,2.861,Noun,400,1502,1101,1635,3.39,2.08,31,0.01,3.21,1.99,19,-0.04,Both,0,0,0,1,1,0,i,FullyOpen,0,NA,NA,Closed,0,OneHanded,Straight,Head,Mouth,Mouth,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,0.392,0.266,0.046,0.004,0.457,0.261,0.409,0.791,0.446,0.622,0,0,0.684,0.343,0.164,,,,,CORNix,469,0,469,0,,CORNix,CORN_1,Food,"corn, corn on the cob, ear of corn, food, vegetable",1,4.36,1.39,0.25,14,0,0,4.886,https://player.vimeo.com/video/344223837
corn_2,corn_2,C_02_026,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/kK9bgXMTtzE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",2,0.903,-1.349,28,0.033,2.188,0.981,-1.294,16,0.056,0.964,1,,2.861,Noun,567,1101,534,2069,3.89,1.8,30,0.51,3.88,1.83,21,0.45,Arbitrary,0,0,0,1,curved_5,0,imrp,Curved,0,1,0,Open,0,SymmetricalOrAlternating,None,Head,HeadAway,NA,0,curved_5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.266,0.066,0,0.153,0.449,0.225,0.791,0.446,0.378,0.398,0.878,0.684,0.657,0.164,3.2,1.74,-0.16,-0.18,CORN5,265,4,265,4,corn_2,CORN5,CORN_2,Food,"corn, corn on the cob, ear of corn, food, vegetable",1,1.75,0.75,-1.42,12,1,0,5.899,https://player.vimeo.com/video/345587957
corn_3,corn_3,K_02_078,,3.474,1.867,-0.321,25,0.24,2.875,1.126,-0.296,11,0.273,,,CORN,2.861,Noun,767,1435,667,2135,,,,,,,,,,0,0,0,1,s,0,imrp,FullyClosed,0,NA,0,Closed,1,SymmetricalOrAlternating,None,Head,HeadAway,NA,0,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.266,0.066,0,0.153,0.449,0.067,0.791,0.446,0.378,0,0.878,0.316,0.343,0.164,,,,,,246,0,246,0,,,,,,1,3.91,2.21,-0.34,14,0,0.214,4.661,https://player.vimeo.com/video/342142311
