"EntryID","LemmaID","Code","Batch","List","Item","YouTube Video","VimeoVideoHTML","VimeoVideo","SubtLexUSLog10WF","SignFrequency(M)","SignFrequency(SD)","SignFrequency(Z)","SignFrequency(N)","SignFrequency(M-Native)","SignFrequency(SD-Native)","SignFreq(Z-native)","SignFrequency(N-Native)","SignFrequency(M-Nonnative)","SignFrequency(SD-Nonnative)","SignFrequency(N-Nonnative)","SignFreq(Z-Nonnative)","GuessAccuracy","DominantTranslation","PercentUnknown","PercentGlossAgreement","PercentUnknown(Native)","PercentGlossAgreement(Native)","PercentUnknown(Nonnative)","PercentGlossAgreement(Nonnative)","Iconicity(M)","Iconicity(SD)","Iconicity(Z)","Iconicity(N)","Iconicity_ID","IconicityType","D.Iconicity(M) all","D.Iconicity(SD) all","D.Iconicity(N) all","D.Iconicity(Z) all","D.Iconicity(M) native","D.Iconicity(SD) native","D.Iconicity(Z) native","D.Iconicity(N) native","H statistic","Transparency(M)","Transparency SD","Transparency Z","LexicalClass","SignOnset(ms)","SignOffset(ms)","SignLength(ms)","ClipLength(ms)","InCDI","CDI Semantic Category","Initialized.2.0","FingerspelledLoanSign.2.0","Compound.2.0","NumberOfMorphemes.2.0","Handshape.2.0","MarkedHandshape.2.0","SelectedFingers.2.0","Flexion.2.0","FlexionChange.2.0","Spread.2.0","SpreadChange.2.0","ThumbPosition.2.0","ThumbContact.2.0","SignType.2.0","Movement.2.0","RepeatedMovement.2.0","MajorLocation.2.0","MinorLocation.2.0","SecondMinorLocation.2.0","Contact.2.0","NonDominantHandshape.2.0","UlnarRotation.2.0","HandshapeM2.2.0","MarkedHandshapeM2.2.0","SelectedFingersM2.2.0","FlexionM2.2.0","FlexionChangeM2.2.0","SpreadM2.2.0","SpreadChangeM2.2.0","ThumbPositionM2.2.0","ThumbContactM2.2.0","SignTypeM2.2.0","MovementM2.2.0","RepeatedMovementM2.2.0","MajorLocationM2.2.0","MinorLocationM2.2.0","SecondMinorLocationM2.2.0","ContactM2.2.0","NonDominantHandshapeM2.2.0","UlnarRotationM2.2.0","HandshapeM3.2.0","MarkedHandshapeM3.2.0","SelectedFingersM3.2.0","FlexionM3.2.0","FlexionChangeM3.2.0","SpreadM3.2.0","SpreadChangeM3.2.0","ThumbPositionM3.2.0","ThumbContactM3.2.0","SignTypeM3.2.0","MovementM3.2.0","RepeatedMovementM3.2.0","MajorLocationM3.2.0","MinorLocationM3.2.0","SecondMinorLocationM3.2.0","ContactM3.2.0","NonDominantHandshapeM3.2.0","UlnarRotationM3.2.0","HandshapeM4.2.0","MarkedHandshapeM4.2.0","SelectedFingersM4.2.0","FlexionM4.2.0","FlexionChangeM4.2.0","SpreadM4.2.0","SpreadChangeM4.2.0","ThumbPositionM4.2.0","ThumbContactM4.2.0","SignTypeM4.2.0","MovementM4.2.0","RepeatedMovementM4.2.0","MajorLocationM4.2.0","MinorLocationM4.2.0","SecondMinorLocationM4.2.0","ContactM4.2.0","NonDominantHandshapeM4.2.0","UlnarRotationM4.2.0","HandshapeM5.2.0","MarkedHandshapeM5.2.0","SelectedFingersM5.2.0","FlexionM5.2.0","FlexionChangeM5.2.0","SpreadM5.2.0","SpreadChangeM5.2.0","ThumbPositionM5.2.0","ThumbContactM5.2.0","SignTypeM5.2.0","MovementM5.2.0","RepeatedMovementM5.2.0","MajorLocationM5.2.0","MinorLocationM5.2.0","SecondMinorLocationM5.2.0","ContactM5.2.0","NonDominantHandshapeM5.2.0","UlnarRotationM5.2.0","HandshapeM6.2.0","MarkedHandshapeM6.2.0","SelectedFingersM6.2.0","FlexionM6.2.0","FlexionChangeM6.2.0","SpreadM6.2.0","SpreadChangeM6.2.0","ThumbPositionM6.2.0","ThumbContactM6.2.0","SignTypeM6.2.0","MovementM6.2.0","RepeatedMovementM6.2.0","MajorLocationM6.2.0","MinorLocationM6.2.0","SecondMinorLocationM6.2.0","ContactM6.2.0","NonDominantHandshapeM6.2.0","UlnarRotationM6.2.0","SignType.2.0Frequency","MajorLocation.2.0Frequency","MinorLocation.2.0Frequency","SecondMinorLocation.2.0Frequency","Movement.2.0Frequency","SelectedFingers.2.0Frequency","Flexion.2.0Frequency","FlexionChange.2.0Frequency","RepeatedMovement.2.0Frequency","Contact.2.0Frequency","Spread.2.0Frequency","SpreadChange.2.0Frequency","ThumbContact.2.0Frequency","ThumbPosition.2.0Frequency","UlnarRotation.2.0Frequency","Phonological Complexity","PhonotacticProbability","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","SignBankAnnotationID","SignBankEnglishTranslations","SignBankLemmaID","SignBankSemanticField","SignBankReferenceID","bglm_aoa","empirical_aoa"
"fantasy","fantasy","J_01_045","J","1","45","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ePjUwbthsP0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346918138?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/346918138","2.919","3.536","1.710","-0.394","30","3.357","1.692","-0.565","15","3.714","1.773","15","-0.223","","fantasy","0.067","0.714","0.067","0.786","0.067","0.643","3.000","1.668","-0.075","24","","Arbitrary","","","","","","","","","","","","","Adjective","467.00","1902.00","1435.00","2503.00","No","","1","0","0","1","f","1","i","Curved","0","NA","NA","Open","1","SymmetricalOrAlternating","Circular","1","Head","HeadAway","HeadAway","0","f","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.266","0.066","0.178","0.076","0.261","0.225","0.791","0.446","0.378","0.000","0.000","0.316","0.657","0.836","2","-0.382","83","0","FANTASY","creative, fantasize, fantasy, fantastical, imagine, pretend","FANTASY","Attribute","1383","",""
"far","far","D_03_007","D","3","7","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/l1IxPUPAdDw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345981010?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345981010","4.052","4.115","1.243","-0.005","26","4.188","1.276","0.000","16","4.000","1.247","10","-0.012","","","0.000","","0.000","","0.000","","3.625","1.789","0.280","24","","Arbitrary","3.00","1.30","26","-0.04","3.11","1.32","0.05","18","","","","","Adverb","667.00","1235.00","567.00","2736.00","No","","0","0","0","1","a","0","t","NA","NA","NA","NA","Open","NA","AsymmetricalSameHandshape","Curved","0","Hand","FingerBack","HandAway","1","a","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.059","0.250","0.019","0.155","0.233","0.057","0.000","0.000","0.554","0.622","0.000","0.000","0.000","0.657","0.836","3","-0.734","218","3","FAR","distance, distant, far, far away","FAR","Attribute","699","",""
"farm","farm","B_01_086","B","1","86","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/-HST_CsTFzc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344409687?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/344409687","3.186","3.625","1.408","-0.635","24","3.846","1.214","-0.469","13","3.364","1.629","11","-0.831","0.000","","0.040","","0.071","","0.000","","1.037","0.192","-0.890","27","","Arbitrary","1.53","1.01","31","-0.73","1.29","0.56","-0.84","22","1.82","4.10","1.86","0.40","Noun","534.00","1001.00","467.00","1702.00","Yes","Outside Things and Places to Go","0","0","0","1","5","0","imrp","FullyOpen","0","1","0","Open","0","OneHanded","Straight","1","Head","Chin","Chin","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.266","0.037","0.012","0.457","0.449","0.409","0.791","0.446","0.622","0.398","0.878","0.684","0.657","0.836","1","0.384","378","8","FARM","agriculture, farm, farming, pastoral, rural","FARM","None","128","36","34"
"fascinated","fascinated","E_01_087","E","1","87","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6hy9NfVFOWw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346053790?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/346053790","2.253","4.057","1.731","-0.104","35","4.133","1.922","-0.026","15","4.000","1.622","20","-0.162","","","0.000","","0.000","","0.000","","1.808","1.266","-0.780","26","","Arbitrary","","","","","","","","","","","","","Verb","601.00","1568.00","968.00","2135.00","No","","0","0","0","1","curved_5","0","imrp","Curved","1","1","1","Open","1","SymmetricalOrAlternating","Straight","1","Head","HeadAway","HeadAway","1","curved_5","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.266","0.066","0.178","0.457","0.449","0.225","0.209","0.446","0.622","0.398","0.122","0.316","0.657","0.836","1","-0.025","380","1","FASCINATED","absorbed, attracted, captivated, engrossed, enthralled, fascinated, fascinating, focused, intrigued, obsessed","FASCINATED","Event","1386","",""
"fashion","fashion","J_01_010","J","1","10","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/aiPCMKkAh74?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346909625?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/346909625","2.981","1.133","0.516","-2.039","30","1.000","0.000","-2.425","15","1.286","0.756","15","-1.599","","","0.500","","0.467","","0.533","","1.583","1.381","-0.711","24","","Arbitrary","","","","","","","","","","","","","Noun","501.00","1535.00","1034.00","2002.00","No","","1","0","0","1","f","0","i","Flat","1","NA","NA","Open","1","SymmetricalOrAlternating","Curved","1","Neutral","Neutral","Neutral","0","g","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.363","0.363","0.426","0.233","0.261","0.162","0.209","0.446","0.378","0.000","0.000","0.316","0.657","0.836","2","-0.192","261","1","FASHION","fashion, fashionable, old-fashioned, style, stylish","FASHION","None","1387","",""
"fast","fast","C_03_016","C","3","16","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/EzfK_22j5Js?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345798230?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345798230","3.846","5.034","1.426","0.421","29","5.412","1.372","0.506","17","4.500","1.382","12","0.300","0.000","","0.000","","0.000","","0.000","","1.361","0.723","-0.762","36","","Arbitrary","1.90","1.09","30","-0.53","2.00","1.18","-0.52","21","2.41","3.74","1.63","-0.10","Adverb","300.00","667.00","367.00","1568.00","Yes","Descriptive Signs","0","0","0","1","l","0","i","FullyOpen","1","NA","NA","Open","0","SymmetricalOrAlternating","Straight","0","Neutral","Neutral","Neutral","0","l","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.363","0.363","0.426","0.457","0.261","0.409","0.209","0.554","0.378","0.000","0.000","0.684","0.657","0.836","1","0.266","466","2","FASTonexth","fast, FASTonexth, quick, rapid, suddenly","FAST","Attribute","2961","34","28"
"fat","fat","C_01_011","C","1","11","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/jMz2IZv9pP8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345576446?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345576446","3.608","4.133","1.456","-0.174","30","4.278","1.320","-0.176","18","3.917","1.676","12","-0.171","0.850","","0.000","","0.000","","0.000","","6.300","1.022","1.794","30","","NA","6.07","1.44","30","1.75","5.81","1.54","1.54","21","1.92","4.55","1.79","0.71","Adjective","334.00","868.00","534.00","1668.00","No","","0","0","0","1","5","0","imrp","FullyOpen","0","1","0","Open","0","SymmetricalOrAlternating","Curved","0","Neutral","Neutral","Neutral","0","5","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.363","0.363","0.426","0.233","0.449","0.409","0.791","0.554","0.378","0.398","0.878","0.684","0.657","0.836","2","0.624","307","15","FAT","bulky, fat, obese, overweight, weight","FAT","Attribute","1453","",""
"father","father","B_01_077","B","1","77","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_n9OgcmpupQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344408800?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/344408800","4.451","6.360","0.860","1.081","25","6.214","0.975","0.923","14","6.545","0.688","11","1.283","0.000","","0.000","","0.000","","0.000","","1.259","0.656","-0.775","27","","Arbitrary","1.52","1.00","31","-0.71","1.41","1.05","-0.73","22","2.42","3.60","1.79","0.08","Noun","601.00","868.00","267.00","1468.00","Yes","People","0","0","0","1","5","0","imrp","FullyOpen","0","1","0","Open","0","OneHanded","Straight","1","Head","Forehead","NA","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.266","0.039","0.000","0.457","0.449","0.409","0.791","0.446","0.622","0.398","0.878","0.684","0.657","0.836","1","0.381","378","10","FATHERstr","dad, daddy, father, papa","FATHER","None","764","20","14"
"faucet","faucet","D_01_065","D","1","65","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/sw7vGdMR5rY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345805764?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345805764","1.869","2.577","1.474","-0.884","26","2.667","1.496","-0.820","15","2.455","1.508","11","-0.972","","faucet","0.037","0.885","0.063","0.867","0.000","0.909","3.838","1.878","0.386","37","","Arbitrary","4.83","1.71","26","0.83","5.00","1.63","0.93","18","","","","","Noun","601.00","1435.00","834.00","1835.00","No","","0","0","0","1","curved_5","0","imrp","Curved","0","1","0","Open","0","SymmetricalOrAlternating","None","1","Neutral","Neutral","NA","0","curved_5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.345","0.363","0.363","0.000","0.153","0.449","0.225","0.791","0.446","0.378","0.398","0.878","0.684","0.657","0.164","1","0.034","195","4","FAUCET","faucet, sink, water tap","FAUCET","None","2913","",""
"fault","fault","C_01_051","C","1","51","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/wROv8i4aD4M?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345578443?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345578443","3.725","4.800","1.424","0.194","30","4.833","1.249","0.109","18","4.750","1.712","12","0.322","0.000","","0.000","","0.000","","0.000","","2.567","1.455","-0.148","30","","Arbitrary","1.93","1.20","30","-0.49","2.14","1.32","-0.42","21","2.43","3.68","1.92","-0.16","Noun","467.00","968.00","501.00","2169.00","No","","0","0","0","1","flat_b","1","imrp","Flat","0","0","0","Open","0","OneHanded","Curved","0","Body","TorsoTop","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.094","0.032","0.000","0.233","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.164","2","0.044","117","2","FAULT","blame, burden, fault, responsibility","FAULT","None","2914","",""
"favorite","favorite","B_01_024","B","1","24","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/eB0oOG5ULPA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344392758?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/344392758","3.482","5.480","1.122","0.480","25","5.571","1.158","0.513","14","5.364","1.120","11","0.438","0.000","favorite","0.000","0.680","0.000","0.571","0.000","0.818","1.633","0.999","-0.965","30","","Arbitrary","1.68","1.40","31","-0.61","1.73","1.52","-0.54","22","1.59","4.84","1.86","0.51","Noun","567.00","834.00","267.00","1568.00","Yes","Action Signs","0","0","0","1","open_8","1","m","Flat","0","NA","NA","Open","0","OneHanded","Straight","1","Head","Chin","NA","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.266","0.037","0.000","0.457","0.045","0.162","0.791","0.446","0.622","0.000","0.000","0.684","0.657","0.836","2","-0.143","337","3","FAVORITE","favor, favorite, flavor, kind, prefer, preference, taste, type, rather","FAVORITE","Attribute","225","35","28"
"february","february","D_01_093","D","1","93","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/dwWWYUehPT4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345806958?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/345806958","2.449","3.963","1.808","-0.106","27","4.063","1.914","-0.090","16","3.818","1.722","11","-0.131","","","0.000","","0.000","","0.000","","1.189","0.995","-0.871","37","","Arbitrary","1.19","0.98","26","-0.99","1.00","0.00","-1.06","18","","","","","Name","434.00","1335.00","901.00","1902.00","No","","1","1","0","3","f","1","i","Curved","NA","NA","NA","Open","1","OneHanded","None","0","Neutral","Neutral","NA","0","NA","0","e","1","imrp","Bent","NA","0","NA","Closed","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","closed_b","0","imrp","FullyOpen","NA","0","0","Closed","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.363","0.363","0.000","0.153","0.261","0.225","0.000","0.554","0.378","0.000","0.000","0.316","0.657","0.836","1","-0.241","171","2","","","","","","",""
"fed_up","fed_up","E_01_047","E","1","47","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/xaYxWtbFt9U?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346052538?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/346052538","","5.886","1.183","0.881","35","6.200","0.941","1.066","15","5.650","1.309","20","0.743","","fed_up","0.000","1.000","0.000","1.000","0.000","1.000","4.760","2.006","0.554","25","","NA","","","","","","","","","","","","","Verb","234.00","901.00","667.00","1468.00","No","","0","0","0","1","flat_b","1","imrp","Flat","0","0","0","Closed","0","OneHanded","Straight","0","Head","HeadAway","UnderChin","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.266","0.066","0.001","0.457","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","1","0.322","361","0","","","","","","",""
"feed_1","feed","G_03_058","G","3","58","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/dwXzdz02kWs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346777874?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","https://player.vimeo.com/video/346777874","3.335","5.038","1.371","0.474","27","5.000","1.342","0.503","12","5.067","1.438","15","0.452","","feed","0.037","1.000","0.083","1.000","0.000","1.000","4.100","2.447","0.373","20","","Pantomimic","","","","","","","","","","","","","Verb","434.00","1268.00","834.00","1835.00","Yes","Action Signs","0","0","1","2","flat_o","0","imrp","Flat","0","0","0","Open","1","OneHanded","None","0","Head","Mouth","NA","1","NA","0","flat_o","0","imrp","Flat","0","0","0","Open","1","AsymmetricalSameHandshape","Straight","NA","Neutral","Neutral","Neutral","0","flat_o","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.392","0.266","0.046","0.000","0.153","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.316","0.657","0.836","1","0.211","232","3","FEED","feed, food, nurture, provide","FEED","Event","131","38","21"
