EntryID,LemmaID,Code,Batch,List,Item,EnglishWF(lg10),SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),Unknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),Unknown(Native),SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFrequency(N-Nonnative),SignFreq(Z-Nonnative),Unknown(Nonnative),DominantTranslation,DominantTranslationAgreement,DominantTranslationAgreement(Native),DominantTranslationAgreement(Nonnative),NondominantTranslations,Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,IconicityType,D.Iconicity(M),D.Iconicity(SD),D.Iconicity(N),D.Iconicity(Z),D.Iconicity(M-native),D.Iconicity(SD-native),D.Iconicity(Z-native),D.Iconicity(N-native),GuessConsistency,GuessAccuracy,Transparency(M),Transparency SD,Transparency Z,LexicalClass,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,SignOnset(ms),SignOffset(ms),SignDuration(ms),ClipDuration(ms),Handshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0,PhonotacticProbability,Phonological Complexity,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankSemanticField,SignBankReferenceID,InCDI,CDISemanticCategory,bglm_aoa,empirical_aoa 
confident,confident,D_02_035,D,2,35,2.736,4.963,1.531,0.447,27,0,5.118,1.364,0.469,17,0,4.7,1.829,10,0.408,0,,,,,,1.667,1.061,-0.577,30,,Arbitrary,1.65,1.13,26,-0.72,1.56,1.2,-0.73,18,,,,,,Adjective,0,0,0,1,667,1602,934,2202,curved_5,imrp,Curved,1,1,1,Open,1,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,0,curved_5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457,0.449,0.225,0.209,0.554,0.378,0.398,0.122,0.316,0.657,0.836,9,512,0.263,1,CONFIDENT,"brave, confidence, confident, trust",CONFIDENT,None,2544,No,,,
dice,dice,D_02_036,D,2,36,2.728,3.222,1.625,-0.502,27,0,3.059,1.345,-0.628,17,0,3.5,2.068,10,-0.287,0,,,,,,6.129,1.088,1.472,31,,NA,4,1.63,26,0.49,3.72,1.71,0.4,18,,,,,,Verb,0,0,1,2,601,1401,801,1969,s,imrp,FullyClosed,1,NA,0,Closed,1,OneHanded,Straight,1,Neutral,Neutral,Neutral,0,NA,0,5,imrp,FullyOpen,0,1,0,Open,0,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457,0.449,0.067,0.209,0.446,0.378,0,0.878,0.316,0.343,0.836,4,524,-0.038,2,DICE,"bet, dice, gamble, gambling, roll dice",DICE,Event,2740,No,,,
metal,metal,D_02_037,D,2,37,2.997,3.593,1.575,-0.323,27,0,3.765,1.393,-0.248,17,0,3.3,1.889,10,-0.452,0,metal,0.815,0.765,0.9,"garbage, silver, steel, stone, trash",1.097,0.301,-0.847,31,,Arbitrary,1.23,0.43,26,-0.96,1.22,0.43,-0.93,18,,,,,,Noun,0,0,0,1,434,1268,834,2236,bent_1,i,Bent,0,NA,NA,Closed,0,OneHanded,Straight,1,Head,UnderChin,HeadAway,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.006,0.178,0.457,0.261,0.099,0.791,0.446,0.622,0,0,0.684,0.343,0.836,7,342,-0.166,1,METAL,"metal, metallic, steel",METAL,None,2382,No,,,
forfeit,forfeit,D_02_038,D,2,38,2.201,3.8,1.642,-0.281,20,0.222,3.308,1.601,-0.551,13,0.177,4.714,1.38,10,0.22,0.3,forfeit,0.3,0.308,0.286,"decided, excellent, fail class, good, grade F, ok, perfect",1.633,0.89,-0.602,30,,Arbitrary,1.73,1.45,26,-0.69,1.88,1.62,-0.59,18,,,,,,Verb,1,0,0,1,534,1635,1101,2336,f,i,Curved,0,NA,NA,Open,1,OneHanded,Curved,0,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.233,0.261,0.225,0.791,0.554,0.378,0,0,0.316,0.657,0.836,7,284,0.137,2,FORFEIT,"fail, flunk, forfeit, get an F, lose",FORFEIT,Event,2921,No,,,
deny,deny,D_02_039,D,2,39,3.038,4,1.544,-0.089,27,0,3.706,1.448,-0.296,17,0,4.5,1.65,10,0.262,0,deny,0.667,0.647,0.7,denial,2.839,1.715,-0.326,31,,Arbitrary,1.42,0.86,26,-0.85,1.28,0.83,-0.89,18,,,,,,Verb,0,0,0,1,601,1468,868,2135,a,t,NA,NA,NA,NA,Open,NA,SymmetricalOrAlternating,Straight,1,Head,UnderChin,HeadAway,1,a,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.266,0.006,0.178,0.457,0.057,0,0,0.446,0.622,0,0,0,0.657,0.836,6,396,-0.589,2,DENY,"denial, deny, not, refuse",DENY,Event,2737,No,,,
cocacola,cocacola,D_02_040,D,2,40,,2.846,1.592,-0.748,26,0,2.75,1.571,-0.813,16,0,3,1.7,10,-0.645,0,,,,,,1,0,-0.893,31,,Arbitrary,4.69,2.13,26,0.79,4.61,2.25,0.78,18,,,,,,Name,0,0,0,1,701,1468,767,2336,a,t,NA,1,NA,NA,Open,NA,OneHanded,None,1,Arm,UpperArm,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.026,0.005,0,0.153,0.057,0,0.209,0.446,0.622,0,0,0,0.657,0.836,0,34,-0.887,2,COCACOLA,"coca cola, coke, drug, drugs, pop, soda",COCACOLA,Food,2524,No,,,
steak,steak,D_02_041,D,2,41,2.919,2.261,1.287,-1.068,23,0.148,2.077,1.441,-1.126,13,0.235,2.5,1.08,10,-0.993,0,,,,,,1.548,0.81,-0.64,31,,Arbitrary,2.29,1.37,26,-0.42,2.38,1.41,-0.34,18,,,,,,Noun,0,0,1,2,567,1768,1201,2636,f,i,Flat,0,NA,NA,Open,0,AsymmetricalDifferentHandshape,None,0,Hand,PalmBack,NA,1,B,0,curved_l,i,Curved,0,NA,NA,Open,0,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,curved_l,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.024,0,0.153,0.261,0.162,0.791,0.554,0.622,0,0,0.684,0.657,0.836,0,73,-0.19,2,STEAK,"food, meat, steak",STEAK,Food,3134,No,Action Signs,,
helicopter,helicopter,D_02_042,D,2,42,2.907,2.481,1.553,-0.911,27,0,2.176,1.185,-1.112,17,0,3,2,10,-0.57,0,,,,,,4.903,1.375,0.882,31,,Perceptual,5,1.39,26,0.96,4.89,1.49,0.93,18,,,,,,Noun,0,0,0,1,634,1802,1168,2236,5,imrp,FullyOpen,0,1,0,Open,0,AsymmetricalDifferentHandshape,Curved,1,Hand,FingerTip,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.023,0,0.233,0.449,0.409,0.791,0.446,0.622,0.398,0.878,0.684,0.657,0.836,0,216,0.139,3,HELICOPTERix,helicopter,HELICOPTER,None,1771,Yes,Vehicles,27,23
car,car,D_02_043,D,2,43,4.392,6.556,0.892,1.361,27,0,6.588,0.795,1.322,17,0,6.5,1.08,10,1.427,0,,,,,,6.2,1.095,1.495,30,,Pantomimic,6.35,0.98,26,1.67,6.33,0.97,1.7,18,,,,,,Noun,0,0,0,1,534,1602,1068,2569,s,imrp,FullyClosed,0,NA,0,Closed,1,SymmetricalOrAlternating,Curved,1,Neutral,Neutral,Neutral,0,s,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233,0.449,0.067,0.791,0.446,0.378,0,0.878,0.316,0.343,0.836,14,321,-0.022,2,CAR,"automobile, car, drive, steer, vehicle",CAR,None,428,Yes,Vehicles,24,14
drill,drill,D_02_044,D,2,44,2.846,2.808,1.789,-0.735,26,0.037,2.824,1.667,-0.751,17,0,2.778,2.108,10,-0.706,0.1,,,,,,4.419,1.608,0.668,31,,NA,4.48,1.42,26,0.68,4.53,1.55,0.74,18,,,,,,Noun,0,0,0,1,534,1235,701,1802,l,i,FullyOpen,0,NA,NA,Open,0,AsymmetricalDifferentHandshape,Straight,0,Hand,Other,NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.025,0,0.457,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.657,0.836,1,368,0.052,2,DRILL,"drill, electric drill, tool",DRILL,None,2747,No,,,
restaurant,restaurant,D_02_045,D,2,45,3.375,5.889,1.121,0.973,27,0,5.882,1.166,0.897,17,0,5.9,1.101,10,1.102,0,,,,,,1.29,0.588,-0.757,31,,Arbitrary,1.23,0.65,26,-0.97,1.11,0.32,-1,18,,,,,,Noun,1,0,0,1,567,1268,701,1969,r,im,Crossed,0,0,0,Closed,0,OneHanded,Z-shaped,0,Head,Mouth,Mouth,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.046,0.004,0.034,0.14,0.012,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.836,1,25,-0.064,5,RESTAURANT,"deli, delicatessen, eatery, restaurant",RESTAURANT,None,969,Yes,Outside Things and Places to Go,41,28
gun,gun,D_02_046,D,2,46,4.036,3.407,1.474,-0.409,27,0,3.294,1.263,-0.503,17,0,3.6,1.838,10,-0.249,0,,,,,,6.71,1.131,1.764,31,,NA,5.39,1.75,26,1.19,5.56,1.29,1.33,18,,,,,,Noun,0,0,0,1,567,1268,701,1835,a,t,NA,1,NA,NA,Open,NA,OneHanded,None,1,Neutral,Neutral,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153,0.057,0,0.209,0.446,0.378,0,0,0,0.657,0.836,8,178,-0.617,2,GUN,"gun, pistol",GUN,None,2932,No,,,
evening,night,D_02_047,D,2,47,3.789,6.556,0.751,1.369,27,0,6.647,0.493,1.344,17,0,6.4,1.075,10,1.412,0,,,,,,1.387,0.761,-0.72,31,,Arbitrary,1.85,1.05,26,-0.62,1.89,1.18,-0.56,18,,,,,,Noun,0,0,0,1,634,1401,767,1969,flat_b,imrp,Flat,0,0,0,Open,0,AsymmetricalSameHandshape,Straight,1,Hand,PalmBack,NA,1,flat_b,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.25,0.024,0,0.457,0.449,0.162,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,5,391,0.099,1,NIGHT,"night, evening",NIGHT,None,199,No,,,
full,full,D_02_048,D,2,48,3.93,5.852,1.199,0.937,27,0,5.765,1.251,0.809,17,0,6,1.155,10,1.154,0,,,,,,2.667,1.493,-0.137,30,,Arbitrary,2.58,1.36,26,-0.25,2.67,1.46,-0.16,18,,,,,,Adjective,0,0,0,1,567,1335,767,2035,open_b,imrp,FullyOpen,0,0,0,Open,0,AsymmetricalDifferentHandshape,Straight,0,Hand,FingerRadial,HandAway,1,S,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.035,0.155,0.457,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,4,459,0.479,2,FULL,"fed up, filled up, full, not hungry, satiated, stuffed",FULL,Attribute,139,Yes,Descriptive Signs,41,23
believe,believe,D_02_049,D,2,49,4.504,5.37,1.182,0.688,27,0,5.176,1.237,0.498,17,0,5.7,1.059,10,1.011,0,believe,0.926,0.941,0.9,"believable, husband",2.355,1.473,-0.276,31,,Arbitrary,1.85,1.08,26,-0.62,1.61,0.85,-0.71,18,,,,,,Verb,0,0,1,2,601,1735,1134,2503,1,i,FullyOpen,0,NA,NA,Closed,0,OneHanded,None,0,Head,Forehead,NA,1,NA,0,c,imrp,Curved,0,0,0,Open,0,AsymmetricalSameHandshape,Straight,NA,Hand,Palm,NA,1,c,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.039,0,0.153,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.836,46,290,-0.068,0,BELIEVEix,"belief, believe, believeix",BELIEVE,None,1963,No,,,
tired,tired,D_02_050,D,2,50,3.759,6.538,0.706,1.362,26,0,6.438,0.814,1.245,16,0,6.7,0.483,10,1.55,0,,,,,,3.806,1.74,0.389,31,,Arbitrary,2.85,1.38,26,-0.1,2.89,1.45,-0.04,18,2.15,0.421,4.16,1.61,0.26,Adjective,0,0,0,1,701,1802,1101,2402,c,imrp,Curved,0,0,0,Open,0,SymmetricalOrAlternating,Curved,0,Body,Clavicle,NA,1,c,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.094,0.017,0,0.233,0.449,0.225,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,3,121,0.218,2,TIRED,"exhausted, tire, tired, worn out",TIRED,Attribute,297,Yes,Descriptive Signs,30,19
impact,impact,D_02_051,D,2,51,2.682,4.815,1.415,0.393,27,0,4.765,1.48,0.307,17,0,4.9,1.37,10,0.54,0,impact,0.222,0.118,0.4,"coincidence, happenstance, hit, hit a person, hit jackpot, luck out, randomly, strike, sudden hit, suddenly",4.8,1.27,0.738,30,,NA,2.27,1.28,26,-0.43,2.11,1.23,-0.49,18,,,,,,Verb,0,0,0,1,567,1768,1201,2536,s,imrp,FullyClosed,0,NA,0,Closed,1,AsymmetricalDifferentHandshape,BackAndForth,0,Hand,FingerRadial,HandAway,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.035,0.155,0.026,0.449,0.067,0.791,0.554,0.622,0,0.878,0.316,0.343,0.836,0,72,-0.264,4,IMPACT,"beat, coincidence, effect, hit, impact, punch, strike, thrash, to have an impact on",IMPACT,None,149,No,,,
teach,teach,D_02_052,D,2,52,3.57,4.609,1.672,0.227,23,0.148,4.929,1.685,0.396,14,0.177,4.111,1.616,10,-0.036,0.1,,,,,,1.452,0.925,-0.684,31,,Arbitrary,2,1.04,26,-0.57,2,1.13,-0.53,18,,,,,,Verb,0,0,0,1,567,1335,767,2135,o,imrp,Curved,0,0,0,Open,1,SymmetricalOrAlternating,Straight,1,Head,Forehead,HeadAway,0,o,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.266,0.039,0.178,0.457,0.449,0.225,0.791,0.446,0.378,0.602,0.878,0.316,0.657,0.836,1,354,0.131,1,TEACH,"educate, instruct, teach, tutor",TEACH,Event,291,Yes,Action Signs,43,39
newspaper,newspaper,D_02_053,D,2,53,3.082,4.037,1.652,-0.056,27,0,3.882,1.495,-0.2,17,0,4.3,1.947,10,0.189,0,newspaper,0.963,0.941,1,print,1.633,1.066,-0.608,30,,Arbitrary,1.81,1.13,26,-0.63,1.78,1.17,-0.61,18,,,,,,Noun,0,0,0,1,501,1335,834,1869,g,i,Flat,1,NA,NA,Open,1,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,NA,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.077,0,0.457,0.261,0.162,0.209,0.446,0.622,0,0,0.316,0.657,0.836,1,369,-0.427,2,PUBLICATION,"journal, magazine, newspaper, printer, publication",PUBLICATION,None,2010,Yes,Small Household Items,55,35
