Eye,Sign is produced near the eye,ONION,,,,,
CheekNose,Sign is produced on the cheek or nose,FLOWER,,,,,
UpperLip,Sign is produced on the upper lip,THIEF,,,,,
Mouth,Sign is produced on the mouth,SHH,,,,,
Chin,Sign is produced on the chin,FRUSTRATED,,,,,
UnderChin,Sign is produced under the chin,FULL,,,,,
UpperArm,Sign is produced on the upper arm,SCOTCH,,,,,
ElbowFront,Sign is produced in the crook of the elbow,DRUGS,,,,,
ElbowBack,Sign is produced on the outside of the elbow,POOR,,,,,
ForearmBack,Sign is produced on the outside of the forearm,STAGE,,,,,
ForearmFront,Sign is produced on the inside of the forearm,BRIDGE,,,,,
ForearmUlnar,Sign is produced on the ulnar side of the forearm,BASKET,,,,,
WristBack,Sign is produced on the back of the wriset,SLAVE,,,,,
WristFront,Sign is produced on the front of the wrist,DOCTOR,,,,,
Neck,Sign is produced on the neck,BROKE,,,,,
Shoulder,Sign is produced on the shoulder,RESPONSIBILITY,,,,,
Clavicle,Sign is produced on the clavicle,PERSONALITY,,,,,
TorsoTop,Sign is produced in the upper third of the torso,HEART,,,,,
TorsoMid,Sign is produced in the middle third of the torso,SORRY,,,,,
TorsoBottom,Sign is produced in the bottom third of the torso,FEELING,,,,,
Waist,Sign is produced at the waist,RUSSIA,,,,,
Hips,Sign is produced on the hips,NAVY,,,,,
Palm,Sign is produced on the plam of the non-dominant hand,LEARN,,,,,
FingerFront,Sign is produced on the front of the fingers of the non-dominant hand,DISMISS,,,,,
PalmBack,Sign is produced on the back of the palm of the non-dominant hand,TOUCH,,,,,
FingerBack,Sign is produced on the back of the fingers of the non-dominant hand,EASY,,,,,
FingerRadial,Sign is produced on the radial side of the non-dominant hand,WOOD,,,,,
FingerUlnar,Sign is produced on the ulnar side of the non-dominant hand,TICKET,,,,,
FingerTip,Sign is produced on the tip of the fingers of the non-dominant hand,TOP,,,,,
Heel,Sign is produced on the heel of the non-dominant hand,CHEESE,,,,,
Other,Sign is produced in an unspecified location on the body ,TAIL,,,,,
Neutral,Sign is not produced on or near the body,MILK,,,,,
,,,,,,,
,,,,,,,
SELECTED FINGERS,DEFINITION,EXAMPLE,,,,,
imrp,"index, middle, ring, pinky finger",CONCEPT,,,,,
imr,"index, middle, ring finger",WATER,,,,,
mrp,"middle, ring, pinky finger",DIAMOND,,,,,
im,"index, middle finger",DUCK,,,,,
ip,"index, pinky finger",KID,,,,,
mr,"middle, ring finger",STARBUCKS,,,,,
mp,"middle, pinky finger",NA,,,,,
rp,"ring, pinky finger",NA,,,,,
i,index finger,APPLE,,,,,
m,middle finger,FEEL,,,,,
r,ring finger,NA,,,,,
p,pinky,IDEA,,,,,
thumb,thumb,BAR,,,,,
,,,,,,,
,,,,,,,
FLEXION,GLOSSARY,EXAMPLE,,,,,
1,Fully open: no joints of selected fingers are flexed  ,U,,,,,
2,Bent (closed): non-base joints are flexed ,X,,,,,
3,Flat-open: base joints flexed less than 90¼ ,LIGHT-SHINE,,,,,
4,Flat-closed: base joints flexed equal to or more that 90¼ ,Q,,,,,
5,Curved open: base and non-base joints flexed without contact ,C,,,,,
6,Curved closed: base and non-base joints flexed with contact ,O,,,,,
7,Fully closed: base and non-base joints fully flexed ,S,,,,,
Stacked,Stacked: Flexion of selected fingers differs,K,,,,,
Crossed,Crossed ,R,,,,,
,,,,,,,
MOVEMENT,DEFINITION,EXAMPLE,,,,,
Straight,Straight movement of the dominant hand through xyz space,AND,,,,,
Curved,Single arc movement of the dominant hand through xyz space; Hands may or may not make contact with multiple locations,BRIDGE,,,,,
BackAndForth,Sequence of more than one straight or curved movements,BREATHE,,,,,
Circular,Circular movement of the dominant hand through space; Rotation alone does not consitute a circular movement,EMOTION,,,,,
None,Entire sign (or first free morpheme) does not have a path movement,FOUR,,,,,
Other,Sign has another unspecified path movement,GRANDFATHER,,,,,
,,,,,,,
,,,,,,,
ENGLISH TRANSLATIONS,DEFINITION,,,,,,
EntryID,An English word that uniquely identifies each entry in the data set,,,,,,
DominantGloss.Percent,Most dominant English translation for a given sign and percent agreement breakdown for phonological or inflectional variants among participants,,,,,,
PercentGlossAgreement,Percent agreement with the dominant translation for a given sign among participants,,,,,,
NondominantGloss.Percent,Non-dominant English translations and percent agreement with non-dominant translation among participants,,,,,,
AdditionalGloss.Number,All additional translations provided other than the initial translation (number of ocurrences rather than percentage are provided),,,,,,
,,,,,,,
,,,,,,,
NEIGHBORS,DEFINITION,,,,,,
Target,Item gloss ,,,,,,
Neighbor,Sign that shares phonological features with the target,,,,,,
NumberMatchedFeatures,Number of phonological features the target and neighbor share,,,,,,
MatchedFeatures,List of phonological features the target and neighbor share,,,,,,
,,,,,,,
ICONICITY TRIALS,DEFINITION,,,,,,
Participant,Participant,,,,,,
Iconicity(Raw),Iconicity rating provided by the participant (blank cells indicate that participant either had technical difficulties or preferred not to respond),,,,,,
Iconicity(Z),Standardized iconicity rating,,,,,,
ParticipantMeanIconicityRating,Participant's mean iconicity rating,,,,,,
ParticipantIconicitySD,Participant's mean iconicity rating standard deviation,,,,,,
,,,,,,,
FREQUENCY TRIALS,DEFINITION,,,,,,
EntryID,An English word that uniquely identifies each entry in the data set,,,,,,
Participant,Participant,,,,,,
SignFrequencyRating(Raw),Subjective frequency rating provided by the participant,,,,,,
SignFrequency(ParticipantZ),Standardized subjective frequency score,,,,,,
ParticipantMeanFrequencyRating,Participant's mean subjective frequency rating,,,,,,
ParticipantFrequencySD,Participant's mean subjective frequency standard deviation,,,,,,
Gender,Participant's gender,,,,,,
ASLstatus,"Participant's ASL status (early, native)",,,,,,
Age,Participant's age,,,,,,
UnknownSign,"The value of ""1"" assigned to trials with ""cannot rate because do not know the sign"" response",,,,,,
TechnicalDifficultyTrial,"The value of  ""1""assigned to trials with ""cannot rate the sign because of technical difficulties"" response (e.g. could not view video, video or page did not load)",,,,,,
RepeatedTrial,"The value of ""1"" assigned to a repated trial",,,,,,
ExcludedTrial,"The value of ""1"" assigned to a trial excluded from the database",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
