EntryID,LemmaID,Code,Batch,List,Item,YouTube Video,VimeoVideoHTML,VimeoVideo,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),InCDI,CDI Semantic Category,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFreq(Z-Nonnative),SignFrequency(N-Nonnative),PercentGlossAgreement(Nonnative),PercentUnknown(Nonnative),DominantTranslation,Transparency M,Transparency SD,Transparency Z,H index,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,PhonotacticProbability,Iconicity(Z),Iconicity(M),Iconicity(SD),Iconicity(N),Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankSemanticField,SignBankID,Neighborhood Density
bowling_2,bowling_2,K_01_067,,,,,"<iframe src=https://player.vimeo.com/video/341912297?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/341912297,4.074,1.73,0.036000000000000004,27,0.0,3.636,1.433,0.09300000000000001,11,0.0,,,BOWLING,2.737,Verb,534.0,2536.0,2002.0,2069.0,No,,,,,,,,,,2.0,,0,0,0,1,c,0,imrp,Curved,0.0,0.0,0.0,Open,0.0,OneHanded,Curved,0,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,1.89,0.0,16,,0.0,,,,,,0.392,0.363,0.363,0.426,0.233,0.449,0.225,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.602,0.878,0.684,0.657,0.836,7.83,1.12,5.8,1.041,25.0,292,14,,,,,,15
bowtie,bowtie,A_01_044,A,1.0,44.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Rpxz-KENna4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen=""""></iframe>","<iframe src=https://player.vimeo.com/video/344217458?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344217458,1.903,1.399,-1.095,31,0.0,1.778,1.215,-1.107,18,0.0,,,,0.845,Noun,434.0,1001.0,567.0,1068.0,No,Action Signs,5.42,1.82,31.0,1.06,5.53,1.93,19.0,1.14,2.0,,0,0,0,1,s,0,im,FullyClosed,1.0,,0.0,Closed,1.0,SymmetricalOrAlternating,None,0,Body,TorsoTop,,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.66,-1.08,13,,0.0,,,,,,0.345,0.094,0.032,0.0,0.153,0.14,0.067,0.209,0.5539999999999999,0.622,0.0,0.878,0.316,0.34299999999999997,0.836,4.588,0.935,5.077,1.841,39.0,47,0,BOWTIE,"bow, bow tie",BOWTIE,None,716.0,0
box,box,C_03_025,C,3.0,25.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/rUH97pjS0Jw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345798593?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345798593,4.833,1.464,0.28300000000000003,30,0.0,4.944,1.4340000000000002,0.233,18,0.0,,,,3.661,Noun,634.0,1235.0,601.0,2069.0,Yes,Small Household Items,5.7,1.42,30.0,1.52,5.86,1.28,21.0,1.56,0.0,Perceptual,0,0,1,2,open_b,1,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,None,0,Neutral,Neutral,,0,open_b,0,flat_b,1.0,imrp,Flat,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,None,,Neutral,Neutral,,0.0,flat_b,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,23.0,4.67,1.56,0.36,12,,0.0,,4.0,1.21,0.41,1.48,0.345,0.363,0.363,0.0,0.153,0.449,0.409,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.602,0.878,0.684,0.657,0.836,7.461,0.9179999999999999,4.888999999999999,1.7690000000000001,36.0,216,13,BOX,"box, container, package, present",BOX,None,419.0,1
boxing,boxing,F_03_050,F3,3.0,50.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Aj0rqSrX8GY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346601962?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346601962,3.115,1.84,-0.6579999999999999,27,0.037000000000000005,3.571,2.174,-0.401,14,0.0,,,,2.569,Verb,534.0,1568.0,1034.0,2035.0,No,,,,,,,,,,2.0,,0,0,0,1,s,0,imrp,FullyClosed,0.0,,0.0,Closed,1.0,SymmetricalOrAlternating,Circular,1,Neutral,Neutral,Neutral,0,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.24,-0.96,13,,0.077,,,,,,0.345,0.363,0.363,0.426,0.076,0.449,0.067,0.7909999999999999,0.446,0.37799999999999995,0.0,0.878,0.316,0.34299999999999997,0.836,6.0760000000000005,1.4480000000000002,6.75,0.672,32.0,166,14,,,,,,19
boy,boy,B_02_090,B,2.0,90.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/AARv3jPVNuM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345556515?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345556515,6.16,1.143,0.9490000000000001,25,0.0,6.0,1.109,0.7979999999999999,14,0.0,,,,4.4319999999999995,Noun,434.0,868.0,434.0,1435.0,Yes,People,2.0,1.07,31.0,-0.48,1.86,0.99,22.0,-0.53,1.0,Arbitrary,0,0,0,1,flat_o,0,imrp,Flat,1.0,0.0,0.0,Open,1.0,OneHanded,None,1,Head,Forehead,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,23.0,6.36,1.21,1.14,11,,0.0,,3.4,1.39,-0.05,2.38,0.392,0.266,0.039,0.0,0.153,0.449,0.162,0.209,0.446,0.37799999999999995,0.602,0.878,0.316,0.657,0.836,5.7829999999999995,-0.684,1.3330000000000002,0.8440000000000001,30.0,232,1,BOY,"boy, dude, gentleman, guy, male, man, men",BOY,People,377.0,2
boyfriend,boyfriend,G_02_058,G2,2.0,58.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/cjwe4YjbGY4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346744029?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346744029,5.407,1.3090000000000002,0.634,27,0.0,5.832999999999999,1.193,0.887,12,0.0,,,,3.5660000000000003,Noun,501.0,1301.0,801.0,1702.0,No,,,,,,,,,,1.0,Arbitrary,0,0,1,2,flat_o,0,imrp,Flat,1.0,0.0,0.0,Open,1.0,OneHanded,None,0,Head,HeadAway,,0,,0,bent_1,1.0,i,Bent,0.0,,,Closed,0.0,SymmetricalOrAlternating,Other,,Neutral,Neutral,Neutral,1.0,bent_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,1.34,0.43,15,,0.0,,,,,,0.392,0.266,0.066,0.0,0.153,0.449,0.162,0.209,0.5539999999999999,0.37799999999999995,0.602,0.878,0.316,0.657,0.836,5.917000000000001,-0.861,1.719,1.276,32.0,232,0,BOYFRIEND,"boyfriend, sweetheart",BOYFRIEND,People,3312.0,3
bra,bra,A_03_028,A,3.0,28.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/8NXoXpC66qA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344226404?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344226404,3.24,1.535,-0.419,25,0.0,3.267,1.3869999999999998,-0.353,15,0.0,0.8,0.8,,2.747,Noun,267.0,1001.0,734.0,1335.0,No,,4.81,1.91,31.0,0.71,4.84,2.14,19.0,0.73,1.0,,0,0,0,1,l,0,i,FullyOpen,0.0,,,Open,0.0,SymmetricalOrAlternating,Straight,1,Body,TorsoMid,TorsoMid,1,l,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.81,-0.52,10,0.8,0.0,bra,,,,,0.345,0.094,0.006,0.01,0.457,0.261,0.409,0.7909999999999999,0.446,0.622,0.0,0.0,0.684,0.657,0.836,5.617000000000001,1.22,6.19,1.25,21.0,142,2,BRA,"bra, brassiere, bikini, bathing suit",BRA,None,2449.0,0
bra_2,bra_2,K_01_090,,,,,"<iframe src=https://player.vimeo.com/video/341915304?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/341915304,4.08,1.891,0.016,27,0.07400000000000001,3.0,0.816,-0.326,11,0.091,,,BRA,2.747,Noun,567.0,2402.0,1835.0,2903.0,No,,,,,,,,,,1.0,,0,0,0,1,curved_l,1,i,Curved,0.0,,,Open,0.0,OneHanded,Straight,0,Body,TorsoMid,TorsoMid,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,2.08,0.25,16,,0.063,,,,,,0.392,0.094,0.006,0.01,0.457,0.261,0.225,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.657,0.836,5.5889999999999995,0.618,4.84,1.65,25.0,127,1,,,,,,0
bra_3,bra_3,K_02_039,,,,,"<iframe src=https://player.vimeo.com/video/342132523?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342132523,4.28,1.99,0.059000000000000004,25,0.0,3.091,1.7,-0.239,11,0.0,,,BRA,2.747,Noun,601.0,1502.0,901.0,2002.0,No,,,,,,,,,,1.0,,0,0,0,1,c,0,imrp,Curved,0.0,0.0,0.0,Open,0.0,OneHanded,Straight,0,Body,TorsoMid,TorsoMid,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,1.72,0.29,14,,0.0,,,,,,0.392,0.094,0.006,0.01,0.457,0.449,0.225,0.7909999999999999,0.5539999999999999,0.622,0.602,0.878,0.684,0.657,0.836,7.256,0.612,4.875,2.0709999999999997,24.0,159,8,,,,,,2
bracelet,bracelet,A_03_024,A,3.0,24.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/46auxdfDZMA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344226114?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344226114,3.48,1.584,-0.264,25,0.0,3.4,0.91,-0.268,15,0.0,0.52,0.33299999999999996,,2.6010000000000004,Noun,400.0,1001.0,601.0,1101.0,No,,5.58,1.54,31.0,1.13,5.42,1.71,19.0,1.07,1.0,,0,0,0,1,open_f,1,i,Curved,0.0,,,Open,0.0,OneHanded,Straight,1,Arm,WristBack,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.32,-0.26,10,0.8,0.0,bracelet,,,,,0.392,0.026000000000000002,0.004,0.0,0.457,0.261,0.225,0.7909999999999999,0.446,0.622,0.0,0.0,0.684,0.657,0.836,5.401,1.405,6.571000000000001,0.6759999999999999,21.0,49,5,BRACELET,"band, bracelet, strap, watch, wristband",BRACELET,None,1979.0,3
brag,brag,B_03_011,B,3.0,11.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/X7qzFFndiaM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,,3.72,1.568,-0.557,25,0.0,3.571,1.828,-0.618,14,0.0,,,,2.255,Verb,334.0,934.0,601.0,1635.0,No,,1.58,0.99,31.0,-0.7,1.64,1.14,22.0,-0.64,2.0,Arbitrary,0,0,0,1,a,0,t,,,,,Open,,SymmetricalOrAlternating,Straight,1,Body,Waist,BodyAway,1,a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,1.22,-0.48,11,,0.0,,3.15,1.5,-0.27,2.7,0.345,0.094,0.002,0.045,0.457,0.057,0.0,0.0,0.446,0.622,0.0,0.0,0.0,0.657,0.836,3.5610000000000004,0.445,3.733,1.837,30.0,192,6,BRAGa,"arrogant, brag, braggart, boast, pompous, show off",BRAG,None,2406.0,0
braids,braids,K_03_125,,,,,"<iframe src=https://player.vimeo.com/video/342307762?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342307762,3.48,2.1630000000000003,-0.385,25,0.0,2.727,1.489,-0.612,11,0.0,,,BRAIDS,1.6130000000000002,Noun,567.0,1568.0,1001.0,2069.0,No,,,,,,,,,,3.0,,0,0,0,1,r,1,im,Crossed,0.0,0.0,0.0,Closed,0.0,SymmetricalOrAlternating,Straight,0,Head,Other,HeadAway,1,r,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,2.46,-0.21,14,,0.0,,,,,,0.345,0.266,0.025,0.17800000000000002,0.457,0.14,0.012,0.7909999999999999,0.5539999999999999,0.622,0.602,0.878,0.684,0.34299999999999997,0.16399999999999998,6.06,-0.099,3.615,1.577,26.0,327,0,,,,,,0
braille,braille,F_01_078,F1,1.0,78.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/MXatlHQ5TcM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346490044?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346490044,2.148,1.5119999999999998,-1.159,27,0.0,1.929,1.73,-1.295,14,0.0,,,,1.462,Noun,400.0,1568.0,1168.0,2102.0,No,,,,,,,,,,3.0,,0,0,0,1,y,1,imr,FullyOpen,0.0,0.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,FingerFront,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,1.26,-1.01,13,,0.0,,,,,,0.175,0.25,0.077,0.016,0.457,0.002,0.409,0.7909999999999999,0.446,0.622,0.602,0.878,0.684,0.657,0.836,6.901,0.142,4.061,1.936,33.0,366,1,BRAILLE,braille,BRAILLE,None,2131.0,0
brainstorm,brainstorm,J_01_103,J,1.0,103.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/oNZQtYIjrx8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346924707?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346924707,4.167,1.821,0.013999999999999999,30,0.0,4.2,1.781,-0.018000000000000002,15,0.0,1.0,1.0,,1.6130000000000002,Verb,534.0,2002.0,1468.0,2436.0,No,,,,,,,,,,0.0,Arbitrary,0,0,1,2,1,0,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,None,0,Head,Forehead,,1,,0,s,0.0,imrp,FullyClosed,1.0,,1.0,Closed,1.0,SymmetricalOrAlternating,Straight,,Neutral,Neutral,Neutral,0.0,s,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,1.92,0.05,15,1.0,0.0,brainstorm,,,,,0.392,0.266,0.039,0.0,0.153,0.261,0.409,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.836,5.35,0.28800000000000003,3.708,1.4880000000000002,24.0,290,46,BRAINSTORM,"brainstorm, contribute, ideas, think of, to throw in",BRAINSTORM,Event,2133.0,45
brainwash,brainwash,E_01_030,E1,1.0,30.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/1knh7k8NuDY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346015671?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346015671,3.7430000000000003,2.147,-0.262,35,0.0,3.0,1.9269999999999998,-0.6609999999999999,15,0.0,1.0,1.0,,1.3619999999999999,Verb,501.0,1935.0,1435.0,2569.0,No,,,,,,,,,,0.0,,0,0,1,2,1,0,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,None,0,Head,Forehead,,1,,0,a,0.0,t,,,,,Open,,AsymmetricalSameHandshape,Circular,1.0,Hand,FingerBack,FingerBack,1.0,a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,2.18,0.04,20,1.0,0.0,brainwash,,,,,0.392,0.266,0.039,0.0,0.153,0.261,0.409,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.836,5.35,0.47,4.692,2.168,26.0,290,46,,,,,,45
brave,brave,B_03_050,B,3.0,50.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6Y87neEkazI?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345564051?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345564051,4.522,1.238,-0.083,23,0.0,4.583,0.996,-0.078,12,0.0,0.565,0.583,,3.2089999999999996,Adjective,367.0,834.0,467.0,1435.0,No,,2.03,1.35,31.0,-0.44,1.86,1.25,22.0,-0.48,1.0,Arbitrary,0,0,0,1,curved_5,0,imrp,Curved,1.0,1.0,1.0,Open,1.0,SymmetricalOrAlternating,Straight,0,Body,Shoulder,BodyAway,1,curved_5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,1.51,-0.09,11,0.545,0.0,brave,3.79,1.51,-0.02,2.13,0.345,0.094,0.008,0.045,0.457,0.449,0.225,0.209,0.5539999999999999,0.622,0.39799999999999996,0.122,0.316,0.657,0.836,5.337000000000001,-0.161,2.533,1.525,30.0,180,5,BRAVE,"bold, brave, confidence, confident, courage, courageous, heal, health, healthy, recover",BRAVE,Attribute,2134.0,1
bread,bread,A_02_058,A,2.0,58.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/c_cb_vioDfA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344223522?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344223522,5.2589999999999995,1.43,0.755,27,0.0,5.308,1.3769999999999998,0.794,13,0.0,,,,3.16,Noun,400.0,1001.0,601.0,1335.0,Yes,Food and Drink,1.94,1.18,31.0,-0.7,1.74,1.05,19.0,-0.73,2.0,Arbitrary,0,0,0,1,open_e,1,imrp,Bent,0.0,0.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,PalmBack,HandAway,1,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,23.0,5.21,1.53,0.72,14,,0.0,,,,,,0.175,0.25,0.024,0.155,0.457,0.449,0.099,0.7909999999999999,0.446,0.622,0.602,0.878,0.684,0.657,0.16399999999999998,6.452999999999999,-0.7829999999999999,1.433,0.935,30.0,343,0,BREAD,"bread, food",BREAD,Food,2618.0,0
break,break,D_01_069,D,1.0,69.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/kkTjGonN4aY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345805943?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345805943,5.148,1.406,0.544,27,0.0,5.375,1.4080000000000001,0.622,16,0.0,,,,4.052,Verb,667.0,1468.0,801.0,2269.0,Yes,Action Signs,4.46,1.53,26.0,0.7,4.17,1.65,18.0,0.6,2.0,Pantomimic,0,0,0,1,s,0,imrp,FullyClosed,0.0,,0.0,Closed,1.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,s,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,21.0,4.82,1.4,0.43,11,,0.0,,5.16,1.61,0.85,0.44,0.345,0.363,0.363,0.426,0.233,0.449,0.067,0.7909999999999999,0.5539999999999999,0.622,0.0,0.878,0.316,0.34299999999999997,0.16399999999999998,5.912999999999999,1.5530000000000002,5.9670000000000005,1.771,30.0,321,10,BREAK,"break, broken, violate",BREAK,Event,420.0,10
