"EntryID","LemmaID","Code","YouTube Video","SignFrequency(M)","SignFrequency(SD)","SignFrequency(Z)","SignFrequency(N)","PercentUnknown","SignFrequency(M-Native)","SignFrequency(SD-Native)","SignFreq(Z-native)","SignFrequency(N-Native)","PercentUnknown(Native)","PercentGlossAgreement","PercentGlossAgreement(Native)","Iconicity(M)","Iconicity(SD)","Iconicity(Z)","Iconicity(N)","Iconicity_ID","SubtLexUSLog10WF","LexicalClass","SignOnset(ms)","SignOffset(ms)","SignLength(ms)","ClipLength(ms)","D.Iconicity(M) all","D.Iconicity(SD) all","D.Iconicity(N) all","D.Iconicity(Z) all","D.Iconicity(M) native","D.Iconicity(SD) native","D.Iconicity(N) native","D.Iconicity(Z) native","IconicityType","Initialized.2.0","FingerspelledLoanSign.2.0","Compound.2.0","NumberOfMorphemes.2.0","Handshape.2.0","MarkedHandshape.2.0","SelectedFingers.2.0","Flexion.2.0","FlexionChange.2.0","Spread.2.0","SpreadChange.2.0","ThumbPosition.2.0","ThumbContact.2.0","SignType.2.0","Movement.2.0","MajorLocation.2.0","MinorLocation.2.0","SecondMinorLocation.2.0","Contact.2.0","NonDominantHandshape.2.0","UlnarRotation.2.0","HandshapeM2.2.0","MarkedHandshapeM2.2.0","SelectedFingersM2.2.0","FlexionM2.2.0","FlexionChangeM2.2.0","SpreadM2.2.0","SpreadChangeM2.2.0","ThumbPositionM2.2.0","ThumbContactM2.2.0","SignTypeM2.2.0","MovementM2.2.0","MajorLocationM2.2.0","MinorLocationM2.2.0","SecondMinorLocationM2.2.0","ContactM2.2.0","NonDominantHandshapeM2.2.0","UlnarRotationM2.2.0","HandshapeM3.2.0","MarkedHandshapeM3.2.0","SelectedFingersM3.2.0","FlexionM3.2.0","FlexionChangeM3.2.0","SpreadM3.2.0","SpreadChangeM3.2.0","ThumbPositionM3.2.0","ThumbContactM3.2.0","SignTypeM3.2.0","MovementM3.2.0","MajorLocationM3.2.0","MinorLocationM3.2.0","SecondMinorLocationM3.2.0","ContactM3.2.0","NonDominantHandshapeM3.2.0","UlnarRotationM3.2.0","HandshapeM4.2.0","MarkedHandshapeM4.2.0","SelectedFingersM4.2.0","FlexionM4.2.0","FlexionChangeM4.2.0","SpreadM4.2.0","SpreadChangeM4.2.0","ThumbPositionM4.2.0","ThumbContactM4.2.0","SignTypeM4.2.0","MovementM4.2.0","MajorLocationM4.2.0","MinorLocationM4.2.0","SecondMinorLocationM4.2.0","ContactM4.2.0","NonDominantHandshapeM4.2.0","UlnarRotationM4.2.0","HandshapeM5.2.0","MarkedHandshapeM5.2.0","SelectedFingersM5.2.0","FlexionM5.2.0","FlexionChangeM5.2.0","SpreadM5.2.0","SpreadChangeM5.2.0","ThumbPositionM5.2.0","ThumbContactM5.2.0","SignTypeM5.2.0","MovementM5.2.0","MajorLocationM5.2.0","MinorLocationM5.2.0","SecondMinorLocationM5.2.0","ContactM5.2.0","NonDominantHandshapeM5.2.0","UlnarRotationM5.2.0","HandshapeM6.2.0","MarkedHandshapeM6.2.0","SelectedFingersM6.2.0","FlexionM6.2.0","FlexionChangeM6.2.0","SpreadM6.2.0","SpreadChangeM6.2.0","ThumbPositionM6.2.0","ThumbContactM6.2.0","SignTypeM6.2.0","MovementM6.2.0","MajorLocationM6.2.0","MinorLocationM6.2.0","SecondMinorLocationM6.2.0","ContactM6.2.0","NonDominantHandshapeM6.2.0","UlnarRotationM6.2.0","bglm_aoa","empirical_aoa","SignType.2.0Frequency","MajorLocation.2.0Frequency","MinorLocation.2.0Frequency","SecondMinorLocation.2.0Frequency","Movement.2.0Frequency","SelectedFingers.2.0Frequency","Flexion.2.0Frequency","FlexionChange.2.0Frequency","RepeatedMovement.2.0Frequency","Contact.2.0Frequency","Spread.2.0Frequency","SpreadChange.2.0Frequency","ThumbContact.2.0Frequency","ThumbPosition.2.0Frequency","UlnarRotation.2.0Frequency","Transparency M","Transparency SD","Transparency Z","H index","SignBankID","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","DominantTranslation","SignBankID","SignBankReferenceID","SignBankLemmaID","SignBankAnnotationID","SignBankSemanticField","SignBankEnglishTranslations","Complexity"
"breathe","breathe","D_03_051","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/r67Ux25lNIY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.038","1.371","-0.056","26","0","4.313","1.302","0.061","16","0.00","","","5.391","2.009","1.201","23","","3.394","Verb","567.00","1602.00","1034.00","2336.00","5.81","1.10","26","1.39","5.61","1.09","18","1.32","NA","0","0","0","1","5","0","imrp","FullyOpen","0","1","0","Open","0","SymmetricalOrAlternating","BackAndForth","Body","TorsoTop","BodyAway","1","5","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.345","0.094","0.032","0.045","0.026","0.449","0.409","0.791","0.554","0.622","0.398","0.878","0.684","0.657","0.836","","","","","BREATHE","29","1","29","1","","BREATHE","2135","BREATHE","BREATHE","Event","breath, breathe, breathing, chest, exhale, inhale, sigh","3"
"brick","brick","H_02_085","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/2Q51lZ8Y9f0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.679","1.307","0.333","28","0","4.786","1.188","0.383","14","0.00","1","1","3.913","1.474","0.288","23","","2.716","Noun","467.00","1268.00","801.00","1835.00","","","","","","","","","Arbitrary","0","0","0","1","curved_l","1","i","Curved","1","NA","NA","Open","1","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","1","f","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.345","0.363","0.363","0.426","0.457","0.261","0.225","0.209","0.554","0.622","0.000","0.000","0.316","0.657","0.836","","","","","BRICK","491","6","491","6","card","BRICK","2136","BRICK","BRICK","None","block, brick","1"
"bridesmaid","bridesmaid","A_03_016","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hsmq4K_EomM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.000","1.956","-0.474","24","0","2.800","1.859","-0.577","15","0.00","1","1","2.333","1.821","-0.619","30","","2.100","Noun","767.00","1401.00","634.00","1969.00","2.79","1.47","31","-0.30","2.44","1.34","19","-0.42","Arbitrary","0","0","0","1","s","0","imrp","FullyClosed","0","NA","0","Closed","1","SymmetricalOrAlternating","Straight","Neutral","Neutral","NA","1","s","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.345","0.363","0.363","0.000","0.457","0.449","0.067","0.791","0.446","0.622","0.000","0.878","0.316","0.343","0.836","","","","","BRIDESMAID","524","16","524","16","bridesmaid","BRIDESMAID","2450","BRIDESMAID","BRIDESMAID","None","bouquet, bridesmaid, flowers, wedding","1"
"bridge","bridge","A_03_081","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/zY7jODVyGoE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.200","1.658","0.115","25","0","4.333","1.345","0.215","15","0.00","","","3.286","2.153","-0.142","21","","3.368","Noun","1201.00","1735.00","534.00","2803.00","4.13","1.96","31","0.40","3.95","2.04","19","0.35","Arbitrary","0","0","0","1","h","1","im","FullyOpen","0","0","0","Closed","0","OneHanded","Curved","Arm","ForearmFront","ForearmFront","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.026","0.001","0.001","0.233","0.140","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","","","","","BRIDGE","43","1","43","1","","BRIDGE","662","BRIDGE","BRIDGE","None","bridge","3"
"bridge_2","bridge_2","K_01_018","","4.520","1.851","0.043","27","0","4.111","2.028","-0.121","11","0.18","","","2.833","1.659","-0.410","24","BRIDGE","3.368","Noun","667.00","1768.00","1101.00","2436.00","","","","","","","","","","0","0","0","1","curved_v","1","im","Curved","0","1","0","Closed","0","OneHanded","Curved","Arm","ForearmFront","ElbowBack","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.026","0.001","0.004","0.233","0.140","0.225","0.791","0.554","0.622","0.398","0.878","0.684","0.343","0.836","","","","","BRIDGE","27","2","27","2","","BRIDGE","","","","","","3"
"bright","bright","F_03_028","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/lzlOhq5shpk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","5.630","1.182","0.757","27","0","5.643","1.151","0.745","14","0.00","","","5.531","1.565","0.317","32","","3.355","Adjective","601.00","1368.00","767.00","2069.00","","","","","","","","","NA","0","0","0","1","o","0","imrp","Curved","1","0","1","Open","1","SymmetricalOrAlternating","Curved","Neutral","Neutral","Neutral","1","o","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.345","0.363","0.363","0.426","0.233","0.449","0.225","0.209","0.554","0.622","0.602","0.122","0.316","0.657","0.836","","","","","","284","8","284","8","","","","","","","","2"
"bring","bring","F_03_004","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TL8zEHfOWAw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","6.185","1.039","1.037","27","0","6.286","0.914","1.070","14","0.00","","","5.156","1.919","0.200","32","","4.222","Verb","434.00","1301.00","868.00","1935.00","","","","","","","","","Pantomimic","0","0","0","1","open_b","1","imrp","FullyOpen","0","0","0","Open","0","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","0","open_b","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33","26","0.345","0.363","0.363","0.426","0.457","0.449","0.409","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.836","","","","","BRING","541","24","541","24","","BRING","51","BRING","BRING","Event","bring, carry, deliver, delivery","1"
"brother","brother","B_01_065","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/yJOco5GL-Gw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","5.480","1.418","0.533","25","0","5.357","1.646","0.430","14","0.00","","","1.074","2.016","-0.877","27","","4.161","Noun","434.00","1001.00","567.00","1635.00","1.55","0.85","31","-0.71","1.41","0.73","22","-0.75","Arbitrary","0","0","1","2","a","0","t","NA","NA","NA","NA","Open","NA","OneHanded","None","Head","Forehead","NA","1","NA","0","l","0","i","FullyOpen","0","NA","NA","Open","0","AsymmetricalSameHandshape","Straight","Hand","FingerRadial","NA","1","l","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","19","0.392","0.266","0.039","0.000","0.153","0.057","0.000","0.000","0.554","0.622","0.000","0.000","0.000","0.657","0.836","2","1","-1","-0.18","BROTHERal","258","12","258","12","","BROTHERal","","","","","","2"
"brown","brown","D_03_045","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/kcGh8d83Ybw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.923","1.412","0.425","26","0","5.125","1.310","0.483","16","0.00","","","1.240","2.009","-0.849","25","","3.487","Adjective","501.00","1268.00","767.00","2002.00","1.04","0.20","26","-1.07","1.00","0.00","18","-1.06","Arbitrary","1","0","0","1","closed_b","0","imrp","FullyOpen","0","0","0","Closed","0","OneHanded","Straight","Head","Chin","Chin","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28","28","0.392","0.266","0.037","0.012","0.457","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","","","","","BROWN","341","8","341","8","","BROWN","53","BROWN","BROWN","Color","brown, color","1"
"brush","brush","A_01_072","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/9PHoBydY3es?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.733","2.258","-0.179","30","0","4.056","2.261","0.005","18","0.00","","","6.622","2.048","1.711","37","","2.859","Noun","467.00","1301.00","834.00","2169.00","5.71","1.74","31","1.21","5.16","1.98","19","0.94","Pantomimic","0","0","0","1","baby_o","1","i","Bent","0","NA","NA","Open","1","OneHanded","Straight","Head","HeadAway","HeadAway","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29","16","0.392","0.266","0.066","0.178","0.457","0.261","0.099","0.791","0.446","0.378","0.000","0.000","0.316","0.657","0.836","","","","","BRUSH-HAIRs","353","10","353","10","","BRUSH-HAIRs","55","BRUSH","BRUSH-HAIRs","None","brush, brush-hair, comb, hairbrush, to brush, to brush hair","1"
"bubbles","bubbles","E_02_052","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/sTdhH6q5GKk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","2.393","1.595","-1.098","32","0","2.308","1.182","-1.151","15","0.13","1","1","4.419","2.078","-0.005","31","","2.486","Noun","567.00","1568.00","1001.00","2202.00","","","","","","","","","Both","0","0","0","1","s","0","imrp","FullyClosed","1","NA","1","Closed","1","SymmetricalOrAlternating","Straight","Head","Mouth","HeadAway","1","s","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","32","19","0.345","0.266","0.046","0.178","0.457","0.449","0.067","0.209","0.446","0.622","0.000","0.122","0.316","0.343","0.836","","","","","BALLOONcc","388","0","388","0","blow_baloon","BALLOONcc","2088","BALLOON","BALLOONcc","-","balloon, blow up, inflate","1"
"buckle_1","buckle_1","K_02_056","","4.760","1.690","0.327","25","0","4.182","1.662","0.325","11","0.00","","","4.292","1.601","0.275","24","BUCKLE","2.412","Noun","534.00","1702.00","1168.00","2236.00","","","","","","","","","","0","0","0","1","h","1","im","FullyOpen","0","0","0","Closed","0","DominanceViolation","Curved","Hand","HandAway","FingerBack","1","DominanceConditionViolation","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.023","0.250","0.035","0.010","0.233","0.140","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","","","","","","198","0","198","0","","","","","","","","3"
"buckle_2","buckle_2","K_03_073","","3.440","1.805","-0.396","25","0","3.091","1.514","-0.391","11","0.00","","","2.192","1.386","-0.846","26","BUCKLE","2.412","Noun","534.00","1635.00","1101.00","2236.00","","","","","","","","","","0","0","0","1","h","1","im","FullyOpen","1","0","0","Closed","0","AsymmetricalDifferentHandshape","Curved","Hand","HandAway","PalmBack","1","Lax","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.175","0.250","0.035","0.011","0.233","0.140","0.409","0.209","0.554","0.622","0.602","0.878","0.684","0.343","0.836","","","","","","198","0","198","0","","","","","","","","4"
"budget","budget","E_01_099","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/iTOynkDcz-I?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.286","1.564","-0.012","35","0","4.467","1.598","0.096","15","0.00","1","1","1.600","1.000","-0.900","25","","2.711","Noun","534.00","1535.00","1001.00","2102.00","","","","","","","","","Arbitrary","0","0","0","1","open_b","1","imrp","FullyOpen","0","0","0","Open","0","AsymmetricalSameHandshape","Other","Hand","Palm","Palm","1","open_b","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.059","0.250","0.077","0.025","0.017","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","","","","","","86","16","86","16","budget","","","","","","","3"
"buffalo","buffalo","F_03_033","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/K9cy7Gr6XBI?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.192","2.040","-0.562","27","0","3.308","2.287","-0.500","14","0.07","","","4.000","1.934","-0.060","32","","2.784","Noun","567.00","1335.00","767.00","1902.00","","","","","","","","","NA","0","0","0","1","y","1","p","FullyOpen","0","NA","NA","Open","0","OneHanded","None","Head","Forehead","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.266","0.039","0.000","0.153","0.033","0.409","0.791","0.446","0.622","0.000","0.000","0.684","0.657","0.164","","","","","BUFFALO","240","1","240","1","","BUFFALO","2432","BUFFALO","BUFFALO","Animal","animal, bison, buffalo, buffalo sauce, bull, cow, mammal","2"
"bug","bug","B_01_067","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/0LoYsQ4omAY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.360","1.411","-0.149","25","0","4.214","1.369","-0.241","14","0.00","1","1","2.963","2.016","0.055","27","","3.029","Noun","934.00","1335.00","400.00","2302.00","1.94","1.15","31","-0.50","1.77","1.11","22","-0.55","Arbitrary","0","0","0","1","3","1","im","FullyOpen","1","1","0","Open","0","OneHanded","None","Head","CheekNose","NA","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28","19","0.392","0.266","0.035","0.000","0.153","0.140","0.409","0.209","0.446","0.622","0.398","0.878","0.684","0.657","0.836","4","1","0","-0.18","BUG","227","1","227","1","bug","BUG","422","BUG","BUG","Animal","bug, insect, pest","2"
"building","building","A_03_088","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/kCFTCWjpt0o?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","5.360","1.440","0.724","25","0","5.467","1.302","0.810","15","0.00","","","2.857","2.153","-0.336","21","","3.706","Noun","601.00","1368.00","767.00","2636.00","2.65","1.54","31","-0.35","2.32","1.64","19","-0.47","Arbitrary","0","0","0","1","flat_h","1","im","Flat","0","0","0","Open","0","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","1","flat_h","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","36","34","0.345","0.363","0.363","0.426","0.457","0.140","0.162","0.791","0.446","0.622","0.602","0.878","0.684","0.657","0.836","","","","","BUILDING","450","1","450","1","","BUILDING","58","BUILDING","BUILDING","None","build, building, construct, construction, structure","2"
"bull","bull","E_01_098","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/0F9ECwjT81M?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","2.613","1.542","-0.870","35","0","2.400","1.549","-1.028","15","0.00","","","5.760","1.640","0.853","25","","3.147","Noun","567.00","1201.00","634.00","1835.00","","","","","","","","","NA","0","0","0","1","y","1","p","FullyOpen","0","NA","NA","Open","0","OneHanded","Straight","Head","Forehead","NA","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.266","0.039","0.000","0.457","0.033","0.409","0.791","0.446","0.622","0.000","0.000","0.684","0.657","0.836","","","","","","331","5","331","5","","","","","","","","2"
