target,neighbor,num_matched_features,matched_features,num_missed_features,missed_features
A_01_004,H_03_21,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_01_034,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_01_095,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_01_097,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_01_103,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_01_110,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_010,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_038,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_060,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_067,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_085,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_107,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_02_83,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_03_083,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,J_03_105,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_009,A_03_082,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_009,E_02_61,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_009,F_01_26,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_009,H_02_79,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_020,A_01_004,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_020,A_01_055,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
