Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
E_03_12,alcohol,5.333,1.531,6,1
H_02_22,align,4.750,1.913,7,5
C_03_088,all,5.300,2.800,5,1
H_02_93,all_day,5.464,3.304,3,2
J_03_021,all_gone,4.690,2.682,0,2
H_01_96,all_of_sudden,4.370,4.800,3,2
J_02_064,all_over,4.433,4.583,0,2
H_03_78,all_over_body,3.407,6.208,3,5
J_01_044,all_together,4.567,4.000,0,5
H_01_84,all_way,4.083,3.792,3,2
G_03_72,allergy,2.067,1.550,6,5
D_02_024,alone,3.963,2.161,2,2
H_01_1,alone_2,4.429,3.560,3,2
B_02_024,alphabet,3.880,2.633,6,2
J_03_025,alright,5.310,1.909,0,1
J_03_076,always,6.103,3.227,0,2
D_02_093,amazing,4.778,3.097,2,2
C_02_006,america,4.500,1.593,4,5
G_02_75,analyze,5.259,2.129,7,5
B_03_072,and,5.208,1.567,5,2
A_03_085,angel,3.167,4.667,6,5
B_01_070,angry,4.960,2.741,2,5
B_03_002,animal,5.400,1.600,6,5
C_01_086,announce,4.600,4.200,7,5
E_03_65,answer,5.067,2.700,7,5
F_01_27,antlers,3.538,6.030,6,5
G_01_16,any,5.259,1.867,5,2
H_01_59,anyone,4.214,2.037,5,2
E_02_33,apart,4.719,5.067,2,5
C_03_064,appear,4.900,2.361,7,3
A_03_054,apple,5.720,1.619,6,2
C_01_088,appointment,5.033,1.767,6,1
H_02_70,april,3.786,1.261,4,2
G_03_60,archeology,2.333,2.476,6,3
H_02_15,area,5.071,2.783,6,3
F_03_72,argue,5.222,3.469,7,5
J_03_022,arizona,3.552,1.136,0,2
C_03_043,arm,2.900,6.514,6,2
K_01_095,ARM_2,0,0,0,2
K_02_002,ARM_3,0,0,0,2
B_01_059,army,3.760,3.037,6,5
H_03_74,arrest_1,2.963,5.917,7,5
K_01_023,ARREST_2,0,0,0,5
K_03_036,ARREST_3,0,0,0,2
D_01_073,arrive,5.333,2.324,7,1
C_01_075,art,4.767,3.067,6,3
J_02_041,article,4.633,3.125,0,3
J_01_014,articulate_sign,4.833,2.840,0,5
A_01_078,asia,4.516,1.730,6,2
B_02_023,ask,5.240,2.133,7,2
J_03_096,assembly,2.643,1.455,0,2
H_02_36,assign,3.250,3.174,7,2
J_03_093,assist,4.793,1.727,0,1
F_03_76,assistant,4.778,1.813,6,1
F_02_13,astronaut,2.407,1.226,6,3
J_01_055,at,2.643,2.040,0,1
J_03_068,athlete,3.586,1.273,0,2
K_03_107,ATLANTA,0,0,0,2
A_03_089,attention,5.800,4.810,6,5
J_03_091,attitude,4.345,1.636,0,2
F_01_72,audience,4.538,2.156,6,5
F_02_21,auditorium,4.185,1.839,6,5
E_02_27,aunt,3.625,1.833,6,2
J_03_035,australia,3.069,1.182,0,5
F_03_11,autism,3.481,1.970,6,5
K_01_040,autism_2,0,0,0,3
J_01_048,automatic,4.067,1.680,0,3
G_03_50,average,5.154,2.300,2,1
E_01_40,avoid,5.314,2.000,7,1
G_01_78,awake,5.259,4.300,2,5
K_01_114,AWARD,0,0,0,5
F_02_71,away,4.481,5.742,5,2
