Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
A_01_014,dentist,2.677,3.923,6,2
K_03_027,DENTIST_2,0,0,0,2
D_02_039,deny,4.000,2.839,7,5
A_01_086,deodorant,3.968,6.583,6,2
C_02_033,department,4.567,1.630,6,5
H_03_76,depend_on,4.786,1.667,7,5
E_02_59,depress,5.000,3.448,7,5
F_02_18,depth,4.556,5.097,6,3
A_03_008,desert,2.917,1.810,6,2
J_03_104,design,4.241,2.091,0,3
F_01_94,dessert,4.630,1.606,6,5
E_03_52,destroy,4.000,3.267,7,5
J_03_092,develop_1,4.690,2.273,0,1
H_01_050,develop_2,2.714,2.480,7,3
A_01_079,devil,3.355,3.378,6,2
K_01_047,DEVOUR,0,0,0,5
A_01_066,diamond,2.613,1.816,6,3
A_02_002,diaper,3.407,3.300,6,5
D_02_036,dice,3.222,6.129,7,2
F_03_35,dictionary,3.926,2.333,6,3
D_02_021,die,4.346,2.839,7,5
E_03_95,different,5.517,3.625,2,5
J_01_075,different_situation,4.345,1.560,0,2
K_02_119,DIG,0,0,0,3
G_02_19,dig_up,3.556,6.469,7,5
J_01_003,dilemma,3.400,2.920,0,5
F_02_49,dining_room,3.400,2.100,6,2
G_03_44,dinner,4.846,3.048,6,2
J_02_023,dinner_2(d),4.655,2.417,0,2
A_01_031,dinosaur,2.333,3.564,6,2
K_03_047,DINOSAUR_2,0,0,0,2
J_01_063,dip,3.633,5.400,0,3
K_01_065,DIP_2,0,0,0,3
K_02_052,DIP_3,0,0,0,3
H_01_14,director,4.185,2.143,6,5
C_03_026,dirty,5.533,2.750,2,2
B_02_066,disagreement,5.200,2.333,6,2
D_01_036,disappear,3.741,3.000,7,3
G_03_18,disappoint,5.296,2.600,7,2
H_01_17,disconnect,4.786,4.560,7,5
E_03_81,discuss,5.767,2.172,7,3
F_03_6,dislike,5.444,3.152,7,2
D_03_035,disney,3.167,1.200,4,2
G_02_102,dispatch,0.000,3.364,7,1
E_03_76,disrupt,5.200,3.000,7,5
J_03_019,dissect,0.000,4.636,0,3
J_03_081,dissolve,4.655,2.818,0,5
D_02_029,dive,2.370,4.065,7,3
E_02_18,divide,4.563,4.700,7,5
C_01_063,divorce,4.100,2.933,6,5
H_02_102,dizzy,3.214,4.875,2,2
E_01_96,do_do,6.400,1.885,7,5
A_03_020,doctor,4.130,3.810,6,2
K_03_015,DOCTOR_2,0,0,0,2
H_01_97,document,5.036,3.375,7,3
F_03_31,doesnt_matter,6.074,5.030,7,5
A_01_056,dog,6.258,1.737,6,2
K_01_055,DOG_2,0,0,0,2
J_02_068,dog_3(slap),5.167,1.583,0,2
H_02_103,dog_4(slapsnap),4.500,1.750,6,2
C_02_049,doll,3.333,1.222,6,2
A_03_057,dolphin,2.500,5.952,6,2
K_02_021,DOLPHIN_2,0,0,0,2
K_03_032,DOLPHIN_3,0,0,0,2
J_01_087,dominant,4.833,3.840,0,5
J_01_012,donkey,2.533,3.880,0,5
G_03_82,dont_care,5.538,3.450,7,2
J_01_005,dont_feel_like,5.033,2.080,0,2
E_03_49,dont_know,6.133,5.774,7,5
F_01_33,dont_like,6.111,5.242,7,2
B_03_033,dont_mind,5.840,3.433,7,2
H_01_104,dont_need,5.714,3.833,2,2
E_02_14,dont_want,6.031,5.267,7,5
F_01_71,donut_1,3.259,3.000,6,5
E_02_48,donut_2,4.273,2.966,6,5
A_03_052,door,6.320,3.619,6,1
A_01_059,dormitory,4.323,1.108,6,2
H_03_84,double,4.857,3.250,1,3
B_01_057,doubt,5.440,2.185,7,2
G_03_55,down,4.615,6.800,5,2
H_03_12,downhill,3.821,5.917,2,1
C_03_046,download,3.138,2.667,7,5
C_01_055,downsize_1,2.308,5.484,7,5
D_02_058,downsize_2,4.111,5.226,7,5
K_01_022,DRAG,0,0,0,2
J_02_039,drag,2.500,5.042,0,5
F_01_11,dragon,2.556,4.121,6,2
D_02_063,draw,4.741,5.000,7,3
A_01_082,drawer,2.286,3.417,6,5
G_02_69,dreadlocks,2.296,5.000,6,5
B_02_044,dream,4.583,3.233,6,2
A_03_046,dress,4.720,5.048,6,5
J_03_057,dress_up,4.655,2.045,0,5
F_03_75,dresser,3.333,2.406,6,5
K_02_074,DRIBBLE,0,0,0,2
D_02_044,drill,2.808,4.419,6,3
B_02_012,drink,6.348,7.000,6,2
K_03_092,DRINK_2,0,0,0,2
F_02_102,drip,3.038,4.000,7,2
E_02_53,drive,5.813,2.767,7,5
C_03_052,drop,4.333,5.500,7,5
D_01_017,drown,1.875,2.611,7,3
K_01_093,DROWN_2,0,0,0,3
K_02_111,DROWN_3,0,0,0,3
K_03_077,DROWN_4,0,0,0,3
K_01_045,DROWN_5,0,0,0,3
F_01_40,drug,3.417,3.000,6,2
A_03_075,drum,2.000,6.048,6,5
C_03_077,drunk,3.967,1.639,2,2
F_03_5,dry,5.593,1.875,2,2
C_01_007,dryer,3.333,3.400,6,2
D_01_079,duck,3.370,4.500,6,2
K_02_068,DUCK_2,0,0,0,2
H_03_11,due,4.185,2.875,2,3
A_02_028,dumb,4.963,4.333,2,2
H_03_87,dust,1.500,3.625,6,2
H_03_8,duty,3.296,0,6,3
F_02_92,dye,4.296,2.710,7,5
F_02_59,each,5.222,2.645,5,1
H_02_76,each_other,4.179,2.417,5,5
D_03_066,eagle,2.846,2.292,6,2
K_03_021,EAGLE_2,0,0,0,2
D_02_071,ear,2.704,6.833,6,2
G_01_18,early,4.040,1.586,2,3
F_03_16,earmuffs,2.880,6.382,6,5
C_03_055,earn,4.207,1.618,7,3
C_03_011,earring,3.867,6.528,6,5
E_02_99,ears_up,4.241,4.138,7,5
C_03_002,earth,3.600,1.417,6,3
A_03_039,earthquake,3.640,3.810,6,3
F_01_44,easel,5.000,2.781,6,3
D_03_082,east,4.077,2.375,6,2
E_03_32,easter,3.100,1.933,6,5
D_01_070,easy,5.630,2.000,2,1
G_02_73,easy_to_do,5.615,2.781,7,1
B_02_002,eat_1,6.840,6.100,7,2
B_03_082,eat_2,6.680,5.867,7,2
F_02_15,eclipse,1.917,3.129,6,5
E_03_99,edge,2.889,4.563,6,1
F_01_68,edit_1,3.852,1.517,7,5
G_02_57,edit_2,3.154,1.844,7,5
G_02_44,effect,4.000,1.969,6,3
A_03_011,egg,5.440,1.571,6,5
E_01_7,egg_beater,2.059,6.154,7,2
D_01_014,ego,2.200,3.194,6,2
C_02_042,egypt,2.276,2.222,4,2
J_02_099,eight,4.379,1.583,0,2
J_01_085,either,5.333,2.680,0,1
A_02_005,electrician,3.148,1.300,6,5
K_01_096,ELECTROCUTE,0,0,0,5
D_03_042,elegance,4.231,1.875,6,2
J_01_070,elementary_school,4.138,1.360,0,3
A_02_059,elephant,3.259,5.500,6,2
E_03_72,elevator_1,2.720,4.094,6,3
G_03_36,elevator_2,4.519,3.950,6,3
K_03_002,ELEVATOR_3,0,0,0,3
E_01_52,eleven,5.857,4.560,1,2
B_03_083,email,5.292,1.333,6,3
C_01_014,embarrass,3.700,3.667,7,5
B_03_005,emotion,4.960,2.733,6,5
C_03_005,emperor,1.407,2.250,6,2
F_03_86,emphasis,4.926,2.063,6,3
E_02_72,empty_1,4.000,2.233,2,3
J_01_077,empty_2,2.900,5.400,0,5
E_01_74,end,5.514,4.458,7,1
E_02_45,enemy,4.406,2.133,6,5
G_02_56,energy,5.111,1.688,6,2
B_01_084,engagement,2.200,2.630,6,3
E_01_36,engine_start,4.686,1.192,7,5
A_03_014,engineer,3.480,1.857,6,1
A_01_011,english,4.645,1.026,6,1
D_03_033,enjoy,5.692,3.958,7,5
D_01_084,enough,4.741,3.694,3,3
E_02_76,enter,5.063,3.900,7,1
D_02_020,envelope,1.913,3.806,6,2
K_02_100,ENVELOPE_2,0,0,0,2
K_03_062,ENVELOPE_3,0,0,0,5
K_01_041,ENVELOPE_4,0,0,0,5
K_02_107,ENVELOPE_5,0,0,0,2
J_01_022,environment,4.867,1.720,0,3
C_01_052,equal,4.700,4.533,2,5
J_03_085,erase,4.250,5.227,0,3
K_03_098,ERASE_2,0,0,0,2
K_01_099,ERASE_3,0,0,0,2
K_02_042,ERASE_4,0,0,0,2
K_03_095,ERASE_5,0,0,0,2
C_01_072,eraser,4.633,4.533,6,3
H_03_17,erupt,3.346,6.250,0,3
K_01_119,ERUPT_2,0,0,0,5
H_01_33,escalate,2.200,4.208,0,2
F_01_36,escalator,3.889,4.879,6,2
G_01_12,escape,5.000,2.933,7,3
G_03_100,especially,4.923,2.043,3,4
C_02_010,europe,3.138,1.037,4,2
A_03_015,evaluate,4.760,2.952,7,5
F_03_57,even_1,4.593,0,3,5
D_02_047,evening,6.556,1.387,6,1
F_03_49,event,5.577,1.813,6,5
J_02_058,every_night,5.000,1.833,0,4
H_02_41,every_year,5.321,1.417,0,3
E_01_84,everyday,5.943,1.120,2,2
F_03_84,everything,5.630,2.600,5,5
G_03_103,evidence,4.577,2.609,6,3
G_02_24,example,5.704,2.548,6,3
H_01_102,excited,6.036,3.821,0,5
D_03_052,excuse,4.269,1.667,6,3
C_01_084,exercise,4.900,4.700,6,5
F_02_68,expect,5.370,1.548,7,2
C_01_064,expensive,5.000,2.433,2,3
B_02_064,experience,4.800,1.233,6,2
H_03_2,experiment,4.214,1.833,0,5
F_02_23,expert,5.407,1.200,2,2
J_03_099,expert(candoanything),3.750,1.545,0,5
C_02_053,explanation,5.967,1.852,6,5
H_01_53,explode,3.333,4.444,0,5
J_01_009,express(produce),4.667,3.240,0,5
H_03_39,eye-turn,4.179,5.292,0,5
A_01_012,eyeglasses,3.905,6.407,6,5
C_01_062,eyes,4.967,6.833,6,2
G_01_41,eyes_awake,4.320,2.897,7,5
E_01_53,face,5.114,6.560,6,2
J_02_061,faculty,4.200,1.792,0,2
J_02_053,fade,4.400,2.708,0,5
H_01_77,fail,4.400,2.143,0,1
G_03_46,faint,2.542,1.714,7,2
G_01_80,fair,5.704,3.387,7,5
G_03_80,fake,4.769,2.150,7,2
B_03_074,fall_1,4.680,1.300,6,2
C_03_007,fall_2,3.733,3.200,7,2
E_03_6,falling_asleep,4.250,1.818,7,5
C_01_025,family,5.967,2.000,6,5
E_03_85,famous,4.233,2.000,2,5
F_03_55,fan,2.926,3.094,6,3
J_01_045,fantasy,3.536,3.040,0,5
D_03_007,far,4.115,3.625,3,1
B_01_086,farm,3.625,1.037,6,2
E_01_87,fascinated,4.057,1.808,7,5
J_01_010,fashion,1.133,1.760,0,5
C_03_016,fast,5.034,1.361,3,5
C_01_011,fat,4.133,6.300,2,5
B_01_077,father,6.360,1.259,6,2
D_01_065,faucet,2.577,3.838,6,5
C_01_051,fault,4.800,2.567,6,2
B_01_024,favorite,5.480,1.633,6,2
G_02_46,feather,2.048,2.781,6,2
D_01_093,february,3.963,1.189,4,2
E_01_47,fed_up,5.886,4.760,7,2
G_03_58,feed,5.038,4.100,7,2
K_02_035,FEED_2,0,0,0,2
J_01_002,feedback,4.167,1.680,0,5
C_02_001,feel,5.655,3.630,7,2
G_01_6,fence,4.074,3.103,6,5
K_03_037,FENCE_2,0,0,0,5
F_01_83,fencing,1.926,5.750,7,2
C_02_067,few,4.429,2.370,5,2
F_03_34,fiance,4.407,4.000,6,3
J_03_046,fifth,4.250,3.818,0,2
B_03_058,fight,4.417,4.333,7,5
C_01_016,figure,3.690,1.871,7,5
J_03_102,file(catalog),3.517,2.909,0,3
K_01_038,FILE_3,0,0,0,5
K_02_036,FILE_4,0,0,0,2
H_01_99,fill_out,4.893,3.520,0,3
B_01_037,film,4.440,2.355,7,3
F_01_59,filter,3.593,2.706,7,5
D_01_012,finally,5.222,2.243,3,5
F_02_47,finance,4.407,1.258,6,3
B_03_076,find,5.280,1.800,7,2
C_01_043,fine_1,6.100,3.000,2,2
D_02_067,fine_2,6.185,3.452,2,2
G_02_97,finger,2.348,5.516,6,2
J_01_006,fingers_crossed_E,4.867,6.800,0,5
B_01_048,fingerspell,5.320,1.846,7,2
B_03_065,fingerspelling,5.400,2.700,6,2
B_03_025,finish,5.800,2.933,7,5
E_03_58,fins,2.308,5.357,6,5
B_03_090,fire,3.400,3.467,6,5
J_03_058,fired,4.069,2.091,0,3
A_02_039,fireman,2.913,2.067,6,2
K_03_052,FIREMAN_2,0,0,0,2
F_02_101,firetruck_1,2.222,1.903,6,2
C_01_033,first,5.767,4.867,1,2
A_03_040,fish,4.560,4.476,6,1
A_02_035,fishing,3.185,6.100,6,4
K_01_050,FISHING_2,0,0,0,3
E_02_7,fit,4.344,3.000,3,5
G_03_43,fix,5.440,2.667,7,5
B_01_036,flag,3.667,5.407,6,2
G_02_92,flag_2,4.519,5.750,6,2
A_03_084,flashlight,2.920,2.571,6,2
K_02_099,FLASHLIGHT_1,0,0,0,2
K_03_030,FLASHLIGHT_2,0,0,0,2
K_01_057,FLASHLIGHT_3,0,0,0,2
K_02_092,FLASHLIGHT_4,0,0,0,2
H_02_88,flip,3.607,5.667,0,2
E_01_66,flip_switch(sameasLIGHT_SWITCH),3.886,6.000,7,2
F_03_77,flipflops,3.692,3.452,6,3
E_03_43,float,1.929,4.828,7,2
K_03_007,FLOAT_2,0,0,0,2
K_01_082,FLOAT_3,0,0,0,2
D_01_062,floor,3.720,3.857,6,5
A_03_017,flower,4.920,1.857,6,2
E_02_36,flute,2.125,6.533,6,5
D_03_070,fly,2.885,6.680,7,5
J_03_056,focus,4.034,5.818,0,5
F_02_19,fold,4.115,6.032,7,5
K_02_072,FOLD_2,0,0,0,1
G_01_58,follow,5.481,3.345,7,5
H_03_29,follow_2,2.885,3.000,0,5
K_01_113,FOLLOW_3,0,0,0,3
K_03_016,FOLLOW_4,0,0,0,5
J_01_079,fond,2.105,1.680,0,2
J_02_102,fool,4.267,1.833,0,3
A_02_027,football,5.370,1.767,6,5
B_03_049,for,5.080,1.500,5,2
D_03_089,forbid,4.231,3.160,7,3
C_01_077,foreigner_1,2.407,1.200,6,2
C_03_067,foreigner_2,2.933,1.083,6,2
G_01_38,forest,5.630,3.897,6,2
D_03_072,forever,3.500,2.633,3,2
E_02_25,forever_2,4.500,1.867,6,2
D_02_038,forfeit,3.800,1.633,7,2
D_02_017,forgetful,4.519,4.323,2,2
E_01_49,fork,4.714,4.040,6,3
K_02_050,FORK_2,0,0,0,3
K_03_003,FORK_3,0,0,0,3
K_01_027,FORK_4,0,0,0,3
G_03_23,form,2.920,3.000,6,5
J_02_066,former,5.067,1.667,0,2
J_01_049,foul,2.550,1.480,0,2
C_01_029,four,5.333,6.900,1,2
H_03_4,fourth,4.607,5.500,0,2
A_03_041,fox,2.640,2.095,6,2
F_02_24,fraction,2.667,4.433,6,3
G_02_34,frame,2.263,5.581,6,5
D_02_078,france,3.111,1.452,4,2
D_02_070,fraud,2.526,1.233,6,2
G_02_9,freak_out,4.630,1.969,7,2
B_01_083,freckles,2.667,3.519,6,5
G_01_27,free,4.630,3.034,2,5
E_02_1,freedom(sameasRELEASE),4.344,2.536,6,5
B_03_001,freeway,3.840,1.667,6,5
F_03_10,freeze,4.630,3.424,7,5
C_02_022,french,2.571,1.259,6,2
A_01_085,frenchfries,4.645,2.139,6,2
B_02_020,friday,6.320,1.033,4,2
D_03_010,friend,6.462,2.250,6,5
C_02_031,friendly,3.933,4.630,2,5
J_03_034,friends_no_more,1.696,3.227,0,2
K_02_070,FRISK,0,0,0,5
D_03_059,frog,2.731,2.250,6,2
D_01_059,from,4.889,2.600,5,3
H_02_40,from_then_on,4.929,3.500,0,1
C_01_039,front,4.241,4.567,5,2
F_02_57,frown,5.593,5.935,7,2
K_03_115,FROWN_2,0,0,0,5
C_02_083,fruit,5.300,1.519,6,2
C_02_050,frustrate,4.667,2.296,7,2
H_01_69,fry,5.500,2.571,0,1
D_02_048,full,5.852,2.667,2,3
E_02_57,fun,5.969,1.700,2,2
J_02_071,function,3.966,1.792,0,3
E_03_38,funny,5.552,3.800,2,2
C_02_059,furniture,3.261,1.000,6,2
C_03_080,future,4.900,2.833,6,2
K_02_123,FUZZY,0,0,0,3
B_02_010,gallaudet,4.200,1.067,4,2
F_01_51,gamble,3.593,5.636,7,2
C_03_047,game,5.833,1.583,6,5
A_03_022,garage,4.280,2.000,6,3
G_02_28,garlic,3.696,1.774,6,2
A_03_090,gas,6.080,3.857,6,3
E_03_64,gate,3.759,5.875,6,1
E_02_73,gate_close,4.000,5.267,7,1
D_03_011,gay,4.692,1.250,2,2
H_01_32,generation,4.750,2.560,0,5
H_02_24,genius,4.071,3.167,0,2
D_02_088,germany,2.926,1.033,4,5
J_03_086,gesture,4.241,2.909,0,5
B_03_007,get,5.760,4.533,7,5
J_03_010,get_in_bed,4.172,2.273,0,3
E_01_57,get_information_out_of,3.152,1.920,7,1
H_01_93,get_off,4.107,3.560,0,3
F_03_47,get_through,5.333,6.188,7,3
J_02_073,get_together,4.833,4.833,0,5
E_01_32,ghost,3.800,1.269,6,5
E_01_55,gift,5.143,1.920,6,5
A_03_049,giraffe,2.636,4.762,6,1
C_03_073,girl,4.552,1.528,6,2
F_01_23,give,5.667,4.909,7,2
H_03_28,give_up,3.857,5.000,0,5
E_01_90,glass,5.657,5.080,6,3
K_01_115,GLASS_2,0,0,0,2
K_02_059,GLASS_3,0,0,0,2
B_03_036,glasses,3.750,5.200,6,5
A_02_087,glove,3.846,6.367,6,1
A_02_026,gloves,2.885,6.267,6,1
K_03_049,GLOVES_2,0,0,0,3
K_01_012,GLOVES_3,0,0,0,3
K_02_105,GLOVES_4,0,0,0,1
D_03_093,glow,2.696,2.760,6,5
K_03_117,GLUE_1,0,0,0,3
F_01_96,glue_2,3.385,3.438,7,5
C_03_056,go,6.033,5.583,7,5
J_01_041,go_ahead,6.067,2.880,0,5
H_01_52,go_back_and_forth,3.731,4.741,0,5
E_01_75,go_on,5.886,5.520,7,5
J_03_017,go_through(list),4.517,3.227,0,3
F_03_99,go_to_jail,3.926,2.563,7,5
E_03_48,goal,5.000,4.000,6,5
A_02_024,goat,2.037,3.200,6,2
G_01_74,goatee,2.250,5.067,6,2
D_02_068,god,4.519,2.448,4,2
G_03_21,going_through_a_hard_time,4.000,2.650,7,5
D_02_009,gold,3.231,1.032,6,2
A_02_017,golf,3.333,5.567,6,4
G_03_51,gone,5.308,2.190,2,3
B_01_052,good,6.440,1.630,2,2
G_03_83,goody_goody,4.038,2.050,2,2
J_01_072,goody_goody_shoe_opposite,1.714,1.320,0,2
G_03_96,goosebumps,3.769,3.409,6,2
A_02_044,gorilla,2.593,6.800,6,5
D_01_029,gossip,4.222,3.162,6,5
H_02_72,gotcha,4.393,2.792,0,2
B_02_062,government,4.480,1.300,6,2
E_03_39,grab,3.967,6.400,7,5
F_02_76,grade,4.077,1.484,6,3
B_03_081,graduate,4.240,1.267,7,3
H_02_52,graduate_school,4.214,1.375,0,2
J_03_078,grammar,3.966,1.227,0,5
B_02_036,grandfather,4.360,1.267,6,2
C_02_027,grandmother,4.500,1.333,6,2
H_01_89,grandparents,4.429,1.778,0,5
A_02_089,grapes,4.333,2.133,6,3
K_01_010,GRAPES_2,0,0,0,3
E_01_6,grasp,2.406,6.308,7,2
A_03_031,grass,4.880,1.762,6,2
F_01_80,gray,4.037,1.781,2,5
J_03_016,great,4.621,1.773,0,5
C_02_048,greece,2.429,1.037,4,2
B_02_085,green,5.400,1.067,2,2
G_02_1,green_beans,3.148,2.031,6,2
J_01_042,greet,3.133,6.200,0,5
K_02_095,GREET_2,0,0,0,2
E_02_10,grenade,1.786,6.069,6,1
E_03_100,grieve,4.200,2.000,7,5
J_02_094,grind,4.172,5.375,0,1
J_01_001,group,4.867,2.560,0,5
B_02_042,grow,4.840,5.467,7,3
J_01_036,grow_up,5.500,5.600,0,2
C_01_057,guess_1,4.897,2.233,7,2
D_02_013,guess_2,4.815,1.806,7,2
E_03_57,guide,5.000,3.200,7,4
G_01_8,guillotine_1,2.150,4.867,6,2
F_01_93,guillotine_2,2.148,5.424,7,2
D_03_085,guilty,3.538,1.708,2,2
A_02_077,guitar,2.630,6.967,6,2
C_02_058,gullible,3.433,1.423,2,2
G_02_10,gum,5.037,3.452,6,2
D_02_046,gun,3.407,6.710,6,2
K_03_105,GUN_2,0,0,0,2
K_01_069,GUN_3,0,0,0,2
G_03_3,gym,4.000,2.800,6,5
E_03_67,habit,5.100,1.548,6,5
H_01_90,had_enough,4.500,5.542,0,2
G_02_103,haha,5.556,2.667,5,2
A_02_056,hair,5.444,6.900,6,2
K_02_053,HAIR_2,0,0,0,2
E_02_80,hair_clipper,2.194,4.133,7,2
C_02_081,haircut,3.000,1.185,6,5
G_03_16,hairdresser,4.444,4.000,6,5
B_02_078,hairdryer,3.200,4.067,6,2
K_03_056,HAIRDRYER_2,0,0,0,2
K_01_091,HAIRDRYER_3,0,0,0,2
F_03_40,half,5.000,3.788,6,2
J_02_024,half_hour,4.933,2.625,0,1
F_01_97,hall,3.556,3.485,6,5
G_03_11,halloween_1,3.407,2.200,6,5
G_02_35,halloween_2,3.815,2.656,6,5
A_01_004,hamburger,4.429,3.640,6,5
C_02_021,hammer,2.500,5.968,6,2
E_03_73,hamster_1,3.067,1.406,6,2
G_01_89,hand_soap,3.593,6.333,7,3
G_01_88,handcuffs,2.889,5.667,6,2
G_01_65,hands,4.815,4.379,6,1
H_02_27,hands_off,4.786,3.000,0,5
J_03_018,handsome,2.167,1.909,0,2
F_01_3,handsome_1,4.346,2.394,2,2
G_01_98,handsome_2,2.158,1.935,2,2
E_03_41,handsome_3,3.067,1.633,2,2
E_02_63,hang,2.565,5.750,7,2
K_02_069,HANG_CLOTHES,0,0,0,5
G_02_30,hanukkah,3.667,3.548,6,5
B_03_080,happen,5.208,1.867,7,5
C_03_078,happy,5.700,3.250,2,2
C_01_036,hard,5.793,2.233,2,5
J_01_050,hard_of_hearing,4.367,1.520,0,2
G_03_54,harmonica,1.750,6.143,6,5
F_02_73,harp,1.667,6.548,6,2
A_02_045,hat,4.407,5.033,6,2
K_03_099,HAT_2,0,0,0,5
J_03_106,hatbrim,3.345,5.136,0,2
J_02_069,hatch,1.824,3.292,0,5
K_01_007,HATCH_2,0,0,0,5
F_02_78,hate,5.407,4.000,7,5
B_03_057,have,6.125,3.533,7,5
J_03_054,hawaii,3.793,1.227,0,2
F_02_44,he,6.407,3.226,5,2
E_03_44,head,4.367,5.207,6,2
H_03_100,head_back,4.154,2.250,0,2
E_03_33,head_grind,3.276,3.167,7,2
B_01_027,headache,5.480,4.926,6,5
J_02_025,headcold,4.600,4.292,0,2
C_01_054,headphones,1.630,6.500,6,5
B_02_083,health,4.720,1.733,7,5
H_03_96,heap,4.286,4.792,0,2
E_01_97,hear,5.029,6.360,7,2
J_02_006,hear_2(3),3.533,6.625,0,2
C_02_023,hearing,5.857,1.000,7,2
B_01_015,hearing_aid,4.708,5.370,6,2
B_03_066,heart,3.480,5.400,6,5
E_03_97,heart_touch,5.067,4.125,7,2
H_02_63,heartbody,4.080,5.208,0,2
A_02_075,heaven,3.333,2.667,6,5
F_01_85,heavy,4.222,5.094,2,5
D_02_042,helicopter,2.481,4.903,6,3
K_02_004,HELICOPTER_2,0,0,0,0
K_03_063,HELICOPTER_3,0,0,0,0
G_03_8,hell,3.333,1.700,6,2
D_02_055,hello,6.519,5.167,5,2
D_02_034,helmet,2.360,6.323,6,5
K_01_066,HELMET_2,0,0,0,0
D_01_042,help,6.148,1.472,7,3
G_02_41,hen,1.962,1.833,6,2
D_01_089,here,5.704,1.943,3,5
G_02_25,hide,4.889,2.839,7,2
C_02_045,high,4.400,3.731,2,2
F_02_8,high_heels_1,2.565,3.097,6,3
C_02_060,high_school,5.033,1.000,6,2
G_01_20,highlighter,5.000,3.967,6,3
G_03_41,hinge,1.273,4.950,6,1
C_01_069,hippo,1.692,3.333,6,5
K_02_060,HIPPO_2,0,0,0,0
K_03_074,HIPPO_3,0,0,0,0
F_02_58,his,5.778,2.387,5,2
A_02_036,history,4.778,1.200,6,2
F_02_5,hit,4.111,6.323,7,2
K_01_111,HIT_2,0,0,0,0
J_02_034,hitchhike,2.464,6.250,0,2
B_01_035,hockey,3.000,1.630,6,3
G_01_7,hoe,1.842,4.129,6,1
F_02_80,hold,3.875,5.968,7,5
K_02_124,HOLD_2,0,0,0,0
E_03_93,hold_accountable,3.852,2.875,7,2
H_02_75,hold_hands,3.222,6.522,0,5
E_02_3,hold_together,3.781,4.621,7,5
D_03_031,holiday,3.846,1.360,6,5
G_01_72,holy,2.385,1.968,6,3
B_03_063,home,6.480,1.100,3,2
A_03_003,homework,5.440,1.143,6,2
B_01_028,honest,4.833,1.630,2,3
F_02_64,honey,4.346,1.355,6,2
J_03_052,honey_2,2.118,1.227,0,2
G_02_4,hongkong,2.667,1.500,6,2
H_01_74,honk,2.792,5.852,0,2
C_03_079,honor,3.667,1.778,6,5
H_03_104,hood,3.250,5.417,0,5
K_02_122,HOODIE,0,0,0,0
K_02_044,HOODIE,0,0,0,0
E_03_25,hop,3.467,6.125,7,2
D_02_085,hope,4.741,1.258,7,2
D_03_049,horrible,3.923,2.640,2,5
A_01_029,horse,3.516,1.769,6,2
E_02_54,hose,2.844,5.133,6,2
B_02_026,hospital,4.480,1.400,6,2
J_02_022,hospital_2(head),2.964,1.792,0,2
F_02_93,hot,6.296,2.226,2,2
E_01_26,hot_competition,5.171,2.346,2,5
B_03_067,hotdog,3.680,2.467,6,5
B_01_053,hotel,4.080,1.148,6,3
C_02_072,hour,5.333,3.000,6,3
D_03_086,house,5.385,5.217,6,5
D_02_082,how,5.556,3.267,5,5
F_02_86,how_2,5.815,1.452,3,1
J_02_019,howl,2.000,5.208,0,2
G_02_36,hug,6.148,6.645,7,5
A_01_009,humble,3.200,1.846,2,2
K_01_125,HUMMINGBIRD,0,0,0,0
H_03_63,humor,3.083,2.000,0,2
H_03_27,hundred,1.833,1.792,0,2
C_01_010,hungry,5.767,3.133,2,2
B_01_025,hunt,2.500,4.778,7,5
F_02_12,hurdle_1,2.120,3.933,6,3
G_01_36,hurdle_2,2.391,3.966,7,3
F_02_61,hurricane,3.481,1.871,6,5
G_01_75,hurry,5.296,3.233,7,5
E_01_2,hurt,4.886,1.308,7,5
D_01_082,husband,5.000,1.278,6,2
F_03_24,hypocrite,4.308,1.576,2,5
F_01_102,I_love_you,6.889,3.848,7,2
G_03_20,ice,4.667,2.000,6,2
A_02_013,icecream,4.741,4.552,6,2
D_01_085,idea,5.111,5.400,6,2
H_03_71,identity,4.500,1.500,0,3
G_03_17,if,5.926,1.450,5,2
D_03_069,ignore,4.731,2.696,7,2
B_03_018,imagine,4.600,3.800,7,5
K_03_020,IMAGINE_2,0,0,0,0
G_01_82,immature,4.667,2.103,2,2
E_02_32,immerse,2.800,2.333,7,2
D_02_051,impact,4.815,4.800,7,3
B_01_081,important,5.840,1.963,2,5
B_01_032,impossible,4.542,2.296,2,3
F_02_32,impress,5.593,2.633,7,3
H_02_3,improve,5.107,2.087,0,2
E_03_62,in,4.867,5.900,5,3
H_01_56,inch,1.385,2.000,0,1
J_03_080,incredible,3.286,2.091,0,5
J_03_040,independent,4.793,2.364,0,5
C_03_009,indian,3.138,2.167,2,2
J_02_032,inept,3.741,1.583,0,1
H_02_57,infection,4.500,1.261,0,2
H_02_31,influence,4.571,2.130,0,3
J_03_048,inhale,3.536,4.955,0,2
D_03_009,inject,2.654,6.333,7,2
G_02_62,innocent,4.667,1.594,2,5
H_01_47,inside,5.536,5.407,0,1
G_02_51,inspire,4.815,3.788,7,5
F_01_95,inspiring,4.481,4.273,2,2
H_03_83,instagram,3.625,1.292,0,2
H_01_79,instead,5.107,2.519,0,5
J_02_047,institute,4.833,1.792,0,1
A_03_006,insult,4.400,2.714,7,2
D_02_030,insurance,4.926,1.065,6,2
H_02_80,intelligent,4.222,3.783,0,2
G_02_40,intentional,4.889,2.344,2,2
