Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,NeighborhoodDensity
B_03_028,cry,4.44,6.567,Verb,31
K_01_003,cry_2,3.926,4.84,Verb,5
K_02_040,cry_3,4.2,6.25,Verb,2
K_03_060,cry_4,4.125,7.16,Verb,8
H_01_051,culture,5.786,1.9,Noun,6
A_01_010,cup,5.742,2.8970000000000002,Noun,9
F_03_051,curious,5.852,1.8439999999999999,Adjective,0
J_01_052,curl,1.818,3.375,Verb,1
K_01_072,curl_2,2.25,4.88,Verb,1
H_02_007,curly_hair,2.6189999999999998,4.625,Adjective,2
A_02_025,curtain,2.444,4.9,Noun,1
K_02_006,curtsey_1,2.667,6.5,Verb,0
K_03_038,curtsey_2,3.667,4.04,Verb,1
E_02_046,cut_1,3.241,6.419,Verb,5
F_01_065,cut_2,4.444,5.516,Verb,3
B_03_087,cute_1,5.2,3.267,Adjective,4
C_01_045,cute_2,4.5,1.533,Adjective,4
F_01_098,damn,4.7780000000000005,2.839,Minor,37
B_02_063,dance,3.96,3.4,Noun,14
A_02_034,dancer,3.185,2.4,Noun,14
E_02_067,danger,4.25,2.065,Noun,12
E_01_012,dark_1,5.6,2.0,Adjective,21
J_03_094,dark_2,5.483,3.783,Adjective,14
C_03_029,dart,1.643,6.389,Noun,22
G_01_031,date,5.222,2.25,Noun,37
E_02_023,daughter,5.5,2.742,Noun,1
C_01_044,day,4.733,2.7,Noun,19
F_03_038,deaf_1,6.769,4.094,Adjective,11
E_03_098,deaf_2,2.167,4.294,Adjective,31
H_01_022,deaf_school,5.429,3.0,Noun,62
J_02_074,deal_cards,2.048,3.48,Verb,11
A_01_076,death,4.484,2.568,Noun,25
B_02_074,decide_1,4.24,2.3,Verb,62
D_03_057,decide_2,4.962,1.87,Verb,10
F_01_001,decline,3.444,3.906,Verb,0
K_01_073,decorate_1,5.481,2.16,Verb,6
K_02_030,decorate_2,3.125,1.583,Verb,8
F_03_085,dedicate_1,5.296,2.188,Verb,62
G_03_094,dedicate_2,2.792,1.7000000000000002,Verb,6
C_03_006,deep,3.567,4.5,Adjective,4
A_03_060,deer,3.36,5.381,Noun,10
G_03_090,defeat,3.2,2.85,Verb,21
E_01_079,deflate,4.571,4.6,Verb,28
J_01_021,degree,4.167,2.167,Noun,22
H_03_001,delegate,2.13,1.583,Verb,0
H_02_009,deliberate,4.786,2.875,Verb,6
B_01_082,delicious,5.48,2.259,Adjective,1
F_02_003,delinquent,4.593,1.774,Noun,15
D_03_080,demand,4.5,2.0,Noun,14
J_03_031,demote,3.586,3.957,Verb,10
H_02_030,dent,2.632,4.417,Verb,1
A_01_014,dentist,2.677,3.923,Noun,15
K_03_027,dentist_2,5.2,4.48,Noun,5
D_02_039,deny,4.0,2.839,Verb,12
A_01_086,deodorant,3.968,6.583,Noun,3
C_02_033,department,4.567,1.63,Noun,19
H_03_076,depend_on,4.786,1.667,Verb,37
E_02_059,depress,5.0,3.806,Verb,4
F_02_018,depth,4.556,5.097,Noun,30
A_03_008,desert,2.917,1.81,Noun,31
J_03_104,design,4.241,2.174,Verb,3
F_01_094,dessert,4.63,1.645,Noun,37
E_03_052,destroy,4.0,3.7880000000000003,Verb,1
J_03_092,develop_1,4.69,2.304,Verb,8
H_01_050,develop_2,2.714,2.6,Verb,30
A_01_079,devil,3.355,3.378,Noun,3
K_01_047,devour,5.7780000000000005,5.32,Verb,1
A_01_066,diamond,2.613,1.816,Noun,30
A_02_002,diaper,3.407,3.3,Noun,0
D_02_036,dice,3.222,6.129,Verb,38
F_03_035,dictionary,3.926,2.344,Noun,15
D_02_021,die,4.346,2.839,Verb,25
E_03_095,different,5.517,3.941,Adjective,37
J_01_075,different_situation,4.345,1.458,Noun,1
K_02_119,dig,2.96,6.0,Verb,6
G_02_019,dig_up,3.556,6.484,Verb,5
J_01_003,dilemma,3.4,2.833,Noun,10
F_02_049,dining_room,3.4,2.323,Noun,16
G_03_044,dinner_1,4.846,3.35,Noun,16
J_02_023,dinner_2,4.655,2.4,Noun,0
A_01_031,dinosaur,2.333,3.564,Noun,19
K_03_047,dinosaur_2,2.826,2.0,Noun,4
J_01_063,dip_1,3.633,5.458,Verb,3
K_01_065,dip_2,3.273,4.96,Verb,1
K_02_052,dip_3,3.476,5.208,Verb,4
H_01_014,director,4.185,2.35,Noun,16
C_03_026,dirty,5.533,2.75,Adjective,11
B_02_066,disagreement,5.2,2.333,Noun,62
D_01_036,disappear,3.741,3.0,Verb,30
G_03_018,disappoint,5.296,3.15,Verb,31
H_01_017,disconnect,4.786,4.65,Verb,37
E_03_081,discuss,5.767,3.176,Verb,30
F_03_006,dislike,5.444,3.375,Verb,12
D_03_035,disney,3.167,1.2,Name,62
G_02_102,dispatch,4.63,3.387,Verb,7
E_03_076,disrupt,5.2,3.529,Verb,33
J_03_019,dissect,3.517,4.652,Verb,24
J_03_081,dissolve,4.655,2.87,Verb,3
F_02_098,distracted,4.192,1.871,Verb,1
D_02_029,dive_1,2.37,6.625,Verb,1
E_02_018,divide,4.563,4.839,Verb,25
C_01_063,divorce,4.1,2.933,Noun,37
H_02_102,dizzy,3.214,4.875,Adjective,2
E_01_096,do_do,6.4,1.88,Verb,11
A_03_020,doctor,4.13,3.81,Noun,0
K_03_015,doctor_2,5.0,2.2800000000000002,Noun,0
H_01_097,document,5.036,3.35,Noun,8
F_03_031,doesnt_matter,6.074,5.063,Verb,41
A_01_056,dog,6.258,1.737,Noun,1
K_01_055,dog_2,4.259,1.4,Noun,12
J_02_068,dog_3,5.167,1.6,Noun,1
H_02_103,dog_4,4.5,1.75,Noun,12
C_02_049,doll,3.333,1.222,Noun,9
A_03_057,dolphin,2.5,5.952,Noun,0
K_02_021,dolphin_2,4.28,4.25,Noun,0
K_03_032,dolphin_3,3.435,4.154,Noun,0
J_01_087,dominant,4.833,3.792,Adjective,38
J_01_012,donkey,2.533,3.75,Noun,8
G_03_082,dont_care,5.538,3.9,Verb,9
J_01_005,dont_feel_like,5.033,2.0,Verb,11
E_03_049,dont_know,6.133,5.97,Verb,8
F_01_033,dont_like,6.111,5.323,Verb,3
B_03_033,dont_mind,5.84,3.433,Verb,62
H_01_104,dont_need,5.714,3.9,Verb,2
E_02_014,dont_want,6.031,5.3870000000000005,Verb,10
F_01_071,donut,3.259,3.0,Noun,0
A_03_052,door,6.32,3.6189999999999998,Noun,11
A_01_059,dormitory,4.323,1.108,Noun,11
H_03_084,double,4.857,3.25,Adjective,2
B_01_057,doubt,5.44,2.185,Verb,3
G_03_055,down,4.615,6.9,Minor,37
H_03_012,downhill,3.821,5.917,Adverb,12
C_03_046,download,3.138,2.667,Verb,37
C_01_055,downsize_1,2.308,5.484,Verb,10
D_02_058,downsize_2,4.111,5.226,Verb,10
K_01_022,drag,3.76,3.7199999999999998,Verb,38
J_02_039,drag,2.5,5.08,Verb,33
F_01_011,dragon,2.556,4.29,Noun,4
D_02_063,draw,4.741,5.0,Verb,1
A_01_082,drawer,2.286,3.417,Noun,33
G_02_069,dreadlocks,2.296,5.065,Noun,0
B_02_044,dream,4.583,3.233,Noun,31
A_03_046,dress,4.72,5.048,Noun,9
J_03_057,dress_up,4.655,2.043,Verb,9
F_03_075,dresser,3.333,2.406,Noun,1
K_02_074,dribble,3.5,4.375,Verb,19
D_02_044,drill,2.808,4.419,Noun,5
B_02_012,drink,6.348,7.0,Noun,7
K_03_092,drink_2,4.087,6.692,Verb,2
F_02_102,drip,3.038,4.0,Verb,4
E_02_053,drive,5.813,2.968,Verb,38
C_03_052,drop,4.333,5.5,Verb,38
D_01_017,drown,1.875,2.6109999999999998,Verb,1
K_01_093,drown_2,4.259,3.92,Verb,17
K_02_111,drown_3,3.333,3.167,Verb,24
K_03_077,drown_4,4.2,3.2,Verb,3
K_01_045,drown_5,2.0,3.24,Verb,11
F_01_040,drug,3.417,3.032,Noun,0
A_03_075,drum,2.0,6.048,Noun,11
C_03_077,drunk,3.967,1.639,Adjective,6
F_03_005,dry,5.593,2.219,Adjective,31
C_01_007,dryer,3.333,3.4,Noun,31
D_01_079,duck,3.37,4.5,Noun,4
K_02_068,duck_2,4.087,5.292,Noun,9
H_03_011,due,4.185,2.875,Adjective,30
A_02_028,dumb,4.963,4.333,Adjective,12
H_03_008,duty,3.296,,Noun,0
F_02_092,dye,4.296,2.71,Verb,22
F_02_059,each,5.222,2.645,Minor,0
H_02_076,each_other,4.179,2.417,Minor,5
D_03_066,eagle,2.846,2.292,Noun,4
K_03_021,eagle_2,3.9130000000000003,1.8399999999999999,Noun,0
D_02_071,ear,2.7039999999999997,6.833,Noun,17
G_01_018,early,4.04,1.857,Adjective,10
F_03_016,earmuffs,2.88,6.406,Noun,17
C_03_055,earn,4.207,1.6179999999999999,Verb,5
C_03_011,earring,3.867,6.5280000000000005,Noun,8
E_02_099,ears_up,4.241,4.452,Verb,15
C_03_002,earth,3.6,1.417,Noun,2
A_03_039,earthquake,3.64,3.81,Noun,2
F_01_044,easel,5.0,3.032,Noun,3
D_03_082,east,4.077,2.375,Noun,1
E_03_032,easter,3.1,2.375,Noun,0
D_01_070,easy,5.63,2.0,Adjective,28
G_02_073,easy_to_do,5.615,2.903,Verb,5
B_02_002,eat_1,6.84,6.089,Verb,16
B_03_082,eat_2,6.68,5.867,Verb,16
F_02_015,eclipse,1.917,3.129,Noun,3
E_03_099,edge,2.8890000000000002,4.824,Noun,28
F_01_068,edit_1,3.852,2.516,Verb,8
G_02_057,edit_2,3.154,2.0,Verb,16
G_02_044,effect,4.0,2.161,Verb,6
A_03_011,egg,5.44,1.5710000000000002,Noun,4
E_01_007,egg_beater,2.059,6.12,Verb,0
D_01_014,ego,2.2,3.194,Noun,2
C_02_042,egypt,2.276,2.222,Name,9
J_02_099,eight,4.379,1.6400000000000001,Number,11
J_01_085,either,5.333,2.542,Minor,1
A_02_005,electrician,3.148,1.3,Noun,8
K_01_096,electrocute,4.2,2.16,Verb,0
D_03_042,elegance,4.231,1.875,Noun,9
J_01_070,elementary_school,4.138,1.25,Noun,0
A_02_059,elephant,3.259,5.5,Noun,0
E_03_072,elevator_1,2.7199999999999998,4.382,Noun,3
G_03_036,elevator_2,4.519,4.25,Noun,3
K_03_002,elevator_3,4.2,4.077,Noun,3
E_01_052,eleven,5.857,4.8,Number,5
B_03_083,email,5.292,1.333,Noun,30
C_01_014,embarrass,3.7,3.667,Verb,0
B_03_005,emotion,4.96,2.733,Noun,0
C_03_005,emperor,1.407,2.584,Noun,0
F_03_086,emphasis,4.926,2.063,Noun,1
E_02_072,empty_1,4.0,2.452,Adjective,10
J_01_077,empty_2,2.9,5.458,Adjective,12
E_01_074,end,5.514,4.84,Verb,28
E_02_045,enemy,4.406,2.355,Noun,19
G_02_056,energy,5.111,1.935,Noun,0
B_01_084,engagement,2.2,2.63,Noun,0
E_01_036,engine_start,4.686,1.2,Verb,33
A_03_014,engineer,3.48,1.857,Noun,0
A_01_011,english,4.645,1.026,Noun,9
D_03_033,enjoy,5.692,3.958,Verb,2
D_01_084,enough,4.741,3.694,Adverb,28
E_02_076,enter,5.063,4.065,Verb,19
D_02_020,envelope,1.913,3.806,Noun,2
K_02_100,envelope_2,5.04,4.208,Noun,13
K_03_062,envelope_3,3.474,3.32,Noun,14
K_01_041,envelope_4,4.05,3.24,Noun,6
K_02_107,envelope_5,2.917,4.25,Noun,13
J_01_022,environment,4.867,1.625,Noun,0
C_01_052,equal,4.7,4.533,Adjective,19
J_03_085,erase,4.25,5.304,Verb,24
K_03_098,erase_2,4.417,5.68,Verb,0
K_01_099,erase_3,1.944,5.16,Verb,2
K_02_042,erase_4,5.16,4.458,Verb,5
K_03_095,erase_5,3.958,5.68,Verb,1
C_01_072,eraser,4.633,4.533,Noun,17
H_03_017,erupt_1,3.346,6.25,Verb,8
K_01_119,erupt_2,3.48,6.28,Verb,0
H_01_033,escalate,2.2,4.3,Verb,8
F_01_036,escalator,3.8890000000000002,5.065,Noun,10
G_01_012,escape,5.0,2.9290000000000003,Verb,30
C_02_010,europe,3.138,1.037,Name,0
A_03_015,evaluate,4.76,2.952,Verb,1
F_03_057,even_1,4.593,4.719,Adverb,19
D_02_047,evening,6.556,1.387,Noun,12
F_03_049,event,5.577,2.031,Noun,3
J_02_058,every_night,5.0,1.92,Adverb,19
H_02_041,every_year,5.321,1.417,Adverb,17
E_01_084,everyday,5.943,1.44,Adverb,12
F_03_084,everything,5.63,2.6,Minor,19
G_03_103,evidence,4.577,2.45,Noun,3
G_02_024,example,5.704,2.774,Noun,30
H_01_102,excited,6.036,3.8,Adjective,3
D_03_052,excuse,4.269,1.667,Noun,12
C_01_084,exercise,4.9,4.7,Noun,0
F_02_068,expect,5.37,1.548,Verb,62
C_01_064,expensive,5.0,2.433,Adjective,1
B_02_064,experience,4.8,1.233,Noun,10
F_02_023,experienced,5.407,1.452,Adjective,2
H_03_002,experiment,4.214,1.833,Noun,0
J_03_099,expert,3.75,1.522,Adjective,11
C_02_053,explanation,5.967,1.8519999999999999,Noun,22
H_01_053,explode,3.333,4.3,Verb,3
J_01_009,express,4.667,3.208,Verb,3
H_03_039,eye_turn,4.179,5.292,Verb,14
A_01_012,eyeglasses,3.9050000000000002,6.187,Noun,4
C_01_062,eyes,4.967,6.833,Noun,11
G_01_041,eyes_awake,4.32,2.893,Verb,7
E_01_053,face,5.114,6.64,Noun,8
J_02_061,faculty,4.2,1.8,Noun,7
J_02_053,fade,4.4,2.8,Verb,3
H_01_077,fail,4.4,2.2,Verb,4
G_03_046,faint,2.542,2.1,Verb,62
G_01_080,fair,5.704,3.393,Verb,19
G_03_080,fake,4.769,2.45,Verb,11
B_03_074,fall_1,4.68,1.3,Noun,0
C_03_007,fall_2,3.733,3.2,Verb,5
E_03_006,falling_asleep,4.25,2.229,Verb,3
C_01_025,family,5.967,2.0,Noun,11
E_03_085,famous,4.233,2.778,Adjective,31
F_03_055,fan,2.926,3.313,Noun,4
J_01_045,fantasy,3.536,3.0,Adjective,0
D_03_007,far,4.115,3.625,Adverb,12
B_01_086,farm,3.625,1.037,Noun,10
E_01_087,fascinated,4.057,1.8399999999999999,Verb,17
J_01_010,fashion,1.133,1.583,Noun,1
C_03_016,fast,5.034,1.361,Adverb,10
C_01_011,fat,4.133,6.3,Adjective,13
B_01_077,father,6.36,1.259,Noun,10
D_01_065,faucet,2.577,3.838,Noun,10
C_01_051,fault,4.8,2.567,Noun,5
B_01_024,favorite,5.48,1.633,Noun,5
D_01_093,february,3.963,1.189,Name,3
E_01_047,fed_up,5.886,4.92,Verb,8
G_03_058,feed_1,5.038,4.65,Verb,9
K_02_035,feed_2,3.0,2.917,Verb,1
J_01_002,feedback,4.167,1.583,Noun,22
C_02_001,feel,5.655,3.63,Verb,3
G_01_006,fence_1,4.074,3.321,Noun,7
K_03_037,fence_2,3.88,2.4,Noun,7
F_01_083,fencing,1.9260000000000002,5.806,Verb,5
C_02_067,few,4.429,2.37,Minor,1
F_03_034,fiance,4.407,4.094,Noun,1
J_03_046,fifth,4.25,3.826,Number,8
B_03_058,fight,4.417,4.333,Verb,21
C_01_016,figure,3.69,1.871,Verb,5
J_03_102,file_2,3.517,2.826,Verb,4
K_01_038,file_3,2.792,4.708,Verb,1
K_02_036,file_4,3.0,2.958,Verb,0
H_01_099,fill_out,4.893,3.6,Verb,8
B_01_037,film,4.44,2.355,Verb,8
F_01_059,filter,3.593,2.774,Verb,21
D_01_012,finally,5.222,2.243,Adverb,8
F_02_047,finance,4.407,1.258,Noun,7
B_03_076,find,5.28,1.8,Verb,22
C_01_043,fine_1,6.1,3.0,Adjective,9
D_02_067,fine_2,6.185,3.452,Adjective,9
G_02_097,finger,2.348,5.742,Noun,11
J_01_006,fingers_crossed,4.867,6.833,Minor,0
B_01_048,fingerspell,5.32,1.846,Verb,8
B_03_065,fingerspelling,5.4,2.7,Noun,1
B_03_025,finish,5.8,2.933,Verb,8
E_03_058,fins,2.308,5.813,Noun,41
B_03_090,fire,3.4,3.467,Noun,5
J_03_058,fired,4.069,2.043,Verb,19
A_02_039,fireman,2.9130000000000003,2.067,Noun,5
K_03_052,fireman_2,3.318,1.88,Noun,2
F_02_101,firetruck,2.222,1.903,Noun,5
C_01_033,first,5.767,4.867,Number,11
A_03_040,fish,4.5600000000000005,4.476,Noun,5
A_02_035,fishing,3.185,6.1,Noun,16
K_01_050,fishing_2,4.111,5.24,Verb,3
E_02_007,fit,4.344,3.194,Verb,33
G_03_043,fix,5.44,2.95,Verb,19
B_01_036,flag,3.667,5.407,Noun,41
G_02_092,flag_2,4.519,5.806,Noun,41
A_03_084,flashlight,2.92,2.571,Noun,62
K_02_099,flashlight_1,5.458,3.208,Noun,10
K_01_057,flashlight_3,3.667,1.92,Noun,62
K_02_092,flashlight_4,3.409,3.917,Noun,1
H_02_088,flip,3.607,5.667,Verb,5
E_01_066,flip_switch,3.886,6.0,Verb,16
F_03_077,flipflops,3.692,3.625,Noun,30
E_03_043,float_1,1.929,5.333,Verb,1
K_03_007,float_2,3.36,4.615,Verb,0
K_01_082,float_3,3.08,3.0,Verb,0
D_01_062,floor,3.7199999999999998,3.857,Noun,41
A_03_017,flower,4.92,1.857,Noun,3
E_02_036,flute,2.125,6.6129999999999995,Noun,2
D_03_070,fly,2.885,6.68,Verb,12
J_03_056,focus,4.034,5.8260000000000005,Verb,15
F_02_019,fold,4.115,6.032,Verb,25
K_02_072,fold_2,5.36,6.292,Verb,19
G_01_058,follow_1,5.481,3.357,Verb,19
H_03_029,follow_2,2.885,3.0,Verb,37
K_01_113,follow_3,3.12,4.44,Verb,1
K_03_016,follow_4,4.52,2.769,Verb,1
J_01_079,fond,2.105,1.542,Adjective,6
J_02_102,fool,4.267,1.8399999999999999,Verb,24
A_02_027,football,5.37,1.767,Noun,21
B_03_049,for,5.08,1.5,Minor,11
D_03_089,forbid,4.231,3.16,Verb,0
C_01_077,foreigner_1,2.407,1.2,Noun,0
C_03_067,foreigner_2,2.933,1.083,Noun,0
G_01_038,forest,5.63,3.893,Noun,13
D_03_072,forever,3.5,2.633,Adverb,62
E_02_025,forever_2,4.5,2.097,Noun,9
D_02_038,forfeit,3.8,1.633,Verb,11
D_02_017,forgetful,4.519,4.323,Adjective,15
E_01_049,fork_1,4.714,4.24,Noun,14
K_02_050,fork_2,3.955,3.333,Noun,0
K_03_003,fork_3,4.44,3.731,Noun,1
K_01_027,fork_4,4.615,2.96,Noun,14
G_03_023,form,2.92,3.3,Noun,0
J_02_066,former,5.067,1.76,Adjective,0
J_01_049,foul,2.55,1.417,Adjective,31
C_01_029,four,5.333,6.9,Number,7
H_03_004,fourth,4.607,5.5,Name,1
A_03_041,fox,2.64,2.095,Noun,2
F_02_024,fraction,2.667,4.5809999999999995,Noun,4
G_02_034,frame,2.263,5.839,Noun,0
D_02_078,france,3.111,1.452,Name,11
D_02_070,fraud,2.526,1.233,Noun,1
G_02_009,freak_out,4.63,2.161,Verb,62
B_01_083,freckles,2.667,3.519,Noun,0
G_01_027,free,4.63,3.071,Adjective,11
E_02_001,freedom,4.344,2.536,Noun,21
B_03_001,freeway,3.84,1.667,Noun,21
F_03_010,freeze,4.63,3.531,Verb,21
C_02_022,french,2.571,1.259,Noun,11
A_01_085,frenchfries,4.645,2.1390000000000002,Noun,11
B_02_020,friday,6.32,1.033,Name,1
D_03_010,friend,6.462,2.25,Noun,0
C_02_031,friendly,3.933,4.63,Adjective,15
J_03_034,friends_no_more_1,1.6960000000000002,3.13,,2
G_02_046,fringe,2.048,3.032,Noun,0
K_02_070,frisk,3.261,5.333,Verb,4
D_03_059,frog,2.731,2.25,Noun,15
D_01_059,from,4.889,2.6,Minor,3
H_02_040,from_then_on,4.929,3.5,Minor,19
C_01_039,front,4.241,4.567,Minor,15
F_02_057,frown_1,5.593,5.9350000000000005,Verb,17
K_03_115,frown_2,4.72,6.8,Verb,1
C_02_083,fruit,5.3,1.5190000000000001,Noun,8
C_02_050,frustrate,4.667,2.296,Verb,8
H_01_069,fry ,5.5,2.65,Verb,5
D_02_048,full,5.852,2.667,Adjective,28
E_02_057,fun,5.969,1.935,Adjective,4
J_02_071,function,3.966,1.8399999999999999,Noun,0
E_03_038,funny,5.552,4.125,Adjective,4
C_02_059,furniture,3.261,1.0,Noun,22
C_03_080,future,4.9,2.833,Noun,14
K_02_123,fuzzy,4.64,2.958,Adjective,0
B_02_010,gallaudet,4.2,1.067,Name,12
F_01_051,gamble,3.593,5.742,Verb,38
C_03_047,game,5.833,1.583,Noun,19
A_03_022,garage,4.28,2.0,Noun,4
G_02_028,garlic,3.696,2.226,Noun,8
A_03_090,gas,6.08,3.857,Noun,24
E_03_064,gate,3.759,6.059,Noun,11
E_02_073,gate_close,4.0,5.3870000000000005,Verb,11
D_03_011,gay,4.692,1.25,Adjective,12
H_01_032,generation,4.75,2.75,Noun,0
D_02_088,germany,2.926,1.033,Name,8
J_03_086,gesture,4.241,3.087,Verb,5
B_03_007,get,5.76,4.533,Verb,19
J_03_010,get_in_bed,4.172,2.478,Verb,5
E_01_057,get_information_out_of,3.152,1.92,Verb,3
H_01_093,get_off,4.107,3.6,Verb,1
F_03_047,get_through,5.333,6.344,Verb,28
J_02_073,get_together,4.833,4.84,Verb,17
E_01_032,ghost,3.8,1.28,Noun,22
E_01_055,gift,5.143,2.2,Noun,6
A_03_049,giraffe,2.636,4.7620000000000005,Noun,7
C_03_073,girl,4.552,1.528,Noun,6
F_01_023,give,5.667,4.9030000000000005,Verb,5
H_03_028,give_up,3.857,5.0,Verb,15
E_01_090,glass_1,5.657,5.2,Noun,9
K_01_115,glass_2,4.88,3.48,Noun,62
K_02_059,glass_3,5.64,1.042,Noun,5
B_03_036,glasses,3.75,5.2,Noun,12
A_02_087,glove,3.846,6.367,Noun,1
A_02_026,gloves,2.885,6.267,Noun,1
K_03_049,gloves_2,4.391,5.115,Noun,0
K_01_012,gloves_3,3.731,6.375,Noun,13
K_02_105,gloves_4,3.609,4.333,Noun,8
D_03_093,glow,2.696,2.76,Noun,5
K_03_117,glue_1,4.28,2.423,Verb,5
F_01_096,glue_2,3.385,3.742,Verb,4
C_03_056,go,6.033,5.583,Verb,19
J_01_041,go_ahead,6.067,2.792,Verb,19
H_01_052,go_back_and_forth,3.731,4.95,Verb,33
J_03_017,go_through,4.517,3.13,Verb,12
F_03_099,go_to_jail,3.926,2.563,Verb,1
E_03_048,goal,5.0,4.455,Noun,31
A_02_024,goat,2.037,3.2,Noun,1
G_01_074,goatee,2.25,5.0,Noun,7
D_02_068,god,4.519,2.448,Name,1
G_03_021,going_through_a_hard_time,4.0,2.65,Verb,1
D_02_009,gold,3.231,1.032,Noun,1
A_02_017,golf,3.333,5.567,Noun,11
G_03_051,gone,5.308,2.7,Adjective,8
B_01_052,good,6.44,1.63,Adjective,15
G_03_083,goody_goody,4.038,2.35,Adjective,0
J_01_072,goody_goody_shoe_opposite,1.714,1.208,Minor,0
G_03_096,goosebumps,3.769,3.3,Noun,0
A_02_044,gorilla,2.593,6.8,Noun,13
D_01_029,gossip,4.222,3.162,Noun,0
H_02_072,gotcha,4.393,2.792,Minor,1
B_02_062,government,4.48,1.3,Noun,8
E_03_039,grab,3.967,6.563,Verb,8
F_02_076,grade,4.077,1.484,Noun,8
B_03_081,graduate,4.24,1.267,Verb,0
H_02_052,graduate_school,4.214,1.375,Noun,1
J_03_078,grammar,3.966,1.217,Noun,6
B_02_036,grandfather,4.36,1.267,Noun,11
C_02_027,grandmother,4.5,1.333,Noun,11
H_01_089,grandparents,4.429,1.8,Noun,11
A_02_089,grapes,4.333,2.133,Noun,0
K_01_010,grapes_2,2.615,2.0,Noun,0
E_01_006,grasp,2.406,6.28,Verb,17
A_03_031,grass,4.88,1.762,Noun,6
F_01_080,gray,4.037,1.806,Adjective,21
J_03_016,great,4.621,1.7389999999999999,Adjective,4
C_02_048,greece,2.429,1.037,Name,12
B_02_085,green,5.4,1.067,Adjective,4
G_02_001,green_beans,3.148,2.161,Noun,4
J_01_042,greet,3.133,6.292,Verb,15
K_02_095,greet_2,4.12,6.292,Verb,15
E_02_010,grenade,1.786,6.258,Noun,17
E_03_100,grieve,4.2,2.412,Verb,9
J_02_094,grind,4.172,5.32,Verb,3
J_01_001,group,4.867,2.458,Noun,1
B_02_042,grow,4.84,5.467,Verb,8
J_01_036,grow_up,5.5,5.667,Verb,41
C_01_057,guess_1,4.897,2.233,Verb,7
D_02_013,guess_2,4.815,1.806,Verb,7
E_03_057,guide,5.0,3.563,Verb,24
G_01_008,guillotine_1,2.15,4.929,Noun,5
F_01_093,guillotine_2,2.148,5.452,Verb,5
D_03_085,guilty,3.5380000000000003,1.708,Adjective,2
A_02_077,guitar,2.63,6.967,Noun,0
C_02_058,gullible,3.433,1.423,Adjective,6
G_02_010,gum,5.037,3.613,Noun,4
D_02_046,gun,3.407,6.71,Noun,10
K_03_105,gun_2,3.76,6.846,Noun,10
K_01_069,gun_3,4.269,6.458,Verb,4
G_03_003,gym,4.0,3.2,Noun,1
E_03_067,habit,5.1,2.206,Noun,33
H_01_090,had_enough,4.5,5.75,Adjective,8
G_02_103,haha,5.556,2.774,Minor,0
A_02_056,hair,5.444,6.9,Noun,12
K_02_053,hair_2,3.739,5.042,Noun,0
E_02_080,hair_clipper,2.194,4.29,Verb,0
C_02_081,haircut,3.0,1.185,Noun,4
G_03_016,hairdresser,4.444,4.35,Noun,4
B_02_078,hairdryer,3.2,4.067,Noun,6
K_03_056,hairdryer_2,3.091,4.231,Noun,1
K_01_091,hairdryer_3,3.286,3.2800000000000002,Verb,0
F_03_040,half,5.0,3.844,Noun,37
J_02_024,half_hour,4.933,2.64,Noun,11
F_01_097,hall,3.556,3.581,Noun,41
G_03_011,halloween_1,3.407,2.65,Noun,6
G_02_035,halloween_2,3.815,2.839,Noun,4
A_01_004,hamburger,4.429,3.714,Noun,15
C_02_021,hammer,2.5,5.968,Noun,16
E_03_073,hamster,3.067,1.853,Noun,2
G_01_089,hand_soap,3.593,6.286,Verb,2
G_01_088,handcuffs,2.8890000000000002,5.679,Noun,0
G_01_065,hands,4.815,4.607,Noun,5
H_02_027,hands_off,4.786,3.0,Adjective,2
F_01_003,handsome_1,4.346,2.484,Adjective,8
G_01_098,handsome_2,2.158,1.929,Adjective,3
E_03_041,handsome_3,3.067,2.094,Adjective,0
J_03_018,handsome_4,2.273,1.87,Adjective,1
E_02_063,hang,2.565,6.065,Verb,1
K_02_069,hang_clothes,3.76,3.667,Verb,22
G_02_030,hanukkah,3.667,3.968,Noun,1
B_03_080,happen,5.208,1.867,Verb,19
C_03_078,happy,5.7,3.25,Adjective,3
C_01_036,hard,5.793,2.233,Adjective,10
J_01_050,hard_of_hearing,4.367,1.417,Adjective,4
G_03_054,harmonica,1.75,6.45,Noun,8
F_02_073,harp,1.667,6.548,Noun,1
A_02_045,hat,4.407,5.033,Noun,15
K_03_099,hat_2,4.52,6.731,Noun,4
J_03_106,hatbrim,3.345,5.087,Noun,3
J_02_069,hatch_1,1.824,3.36,Verb,3
K_01_007,hatch_2,1.65,3.16,Verb,17
F_02_078,hate,5.407,4.0,Verb,5
B_03_057,have,6.125,3.533,Verb,7
J_03_054,hawaii,3.793,1.217,Name,1
F_02_044,he,6.407,3.226,Minor,37
E_03_044,head,4.367,5.563,Noun,8
H_03_100,head_back,4.154,2.25,Verb,38
E_03_033,head_grind,3.276,3.531,Verb,62
B_01_027,headache,5.48,4.926,Noun,4
J_02_025,headcold,4.6,4.32,Noun,17
C_01_054,headphones,1.63,6.5,Noun,17
B_02_083,health,4.72,1.733,Verb,5
H_03_096,heap,4.286,4.792,Noun,0
E_01_097,hear_1,5.029,6.5600000000000005,Verb,62
J_02_006,hear_2,3.533,6.5600000000000005,Verb,7
C_02_023,hearing,5.857,1.0,Verb,8
