EntryID,Code
bullshit,J_03_053
BUMPY,K_01_123
BUN_HAIR,K_03_121
burn,J_02_037
burp,F_03_9
BURY,K_01_081
BURY_1,K_02_014
BURY_2,K_03_018
BURY_3,K_02_093
bus,E_01_4
business,D_01_022
busted,G_01_22
busy,E_02_40
but,D_03_030
butter,A_01_034
butterfly,A_03_056
buttons,F_02_25
buy,D_03_074
bye,E_01_58
cabbage,B_01_073
cabinet,B_03_030
cafeteria,A_02_054
cake,D_01_033
calculator,E_03_103
calendar,D_02_061
california,H_02_38
call,C_02_061
call_2,J_02_048
call_attention,C_01_038
call_tty,B_03_026
calm,G_03_4
camcorder,E_03_21
camel_2,G_01_42
camera,B_03_073
cameraman,E_02_34
camping,A_01_045
can,D_03_027
CAN_2,K_02_027
canada,C_03_034
cancellation,C_02_017
cancer_1,G_03_56
cancer_2,F_01_47
candle,C_03_060
candy_1,A_01_018
candy_2,D_02_079
cannon,G_02_37
cannot,E_02_94
canoe,D_01_045
cape,F_01_4
caption,C_02_086
capture,H_03_48
car,D_02_043
car_accident,E_03_29
car_battery,E_01_39
cards,J_03_065
careful,B_03_039
carousel,E_01_63
carrot,A_02_083
CARROT_2,K_01_105
CARROT_3,K_03_075
carry,J_02_042
CARVE,K_02_026
castle,A_01_008
CASTLE_2,K_01_017
CASTLE_3,K_02_019
CASTLE_4,K_03_110
casual,H_02_50
cat,A_01_023
CAT_2,K_02_047
CAT_3,K_03_087
catapult,E_03_83
catch,G_02_33
catch_2,J_01_073
CATCH_3,K_03_109
catch_3,H_03_15
CATCH_BASEBALL,K_02_058
category,E_01_34
catepillar,G_01_25
catholic,B_03_052
caught,H_02_69
cause,D_01_088
ceiling,J_01_091
celebrate,J_02_100
celery_2,G_02_48
CELLPHONE,K_01_128
cemetary,H_01_37
center,C_01_027
cereal,A_02_014
certificate,B_01_080
chain,E_02_55
chair,A_01_017
challenge,B_03_051
champ,J_03_030
champion,G_01_81
chance,A_03_080
change,E_01_31
channel,C_03_023
chaos,F_01_37
character,B_02_088
charge,F_01_25
charge_card_1,E_02_56
chase,F_03_17
chat,C_01_079
cheap,F_02_56
cheat_1,A_02_008
cheat_2,D_01_027
check,B_03_040
cheek,G_03_52
cheer,J_03_060
cheerleader,H_02_45
CHEERLEADER_2,K_01_016
cheese,A_02_021
cheese_grater,F_03_64
cherish,J_02_033
cherry,C_01_083
CHERRY_2,K_02_113
chew,G_02_91
chew_2(5),J_02_027
CHEW_2_mouth,K_01_100
CHEW_3,K_02_041
CHEW_4,K_03_094
chicago,D_01_043
child,F_03_101
children,C_02_066
chimney,E_02_64
chin_1,E_01_20
chin_2,F_02_70
china,D_03_061
chisel,F_03_41
chocolate,B_01_002
choke,G_01_79
chop,F_02_99
chopsticks,G_01_63
christmas_1,F_03_29
christmas_2,G_03_97
christmas_3(1-handed),J_03_061
church,C_02_018
churn,E_01_46
cigar,B_02_055
cigarette,C_01_059
circle,E_02_62
circus_1,F_01_29
circuswheel,H_02_65
city,B_01_029
CITY_2,K_02_076
clap,G_01_96
CLASH,K_01_032
class,B_03_068
clause,F_03_13
claw,G_02_71
clean,E_03_82
clear,D_01_006
cleftchin_1,E_01_54
cleftchin_2,E_01_45
click,G_01_47
client,J_01_031
climb_ladder,F_01_103
clip,J_01_083
clock,D_02_076
CLOCK_2,K_02_038
close,G_03_84
close_door,H_03_61
close_eyes,E_01_68
closet_1,F_03_97
closet_2,E_01_91
clothes,E_03_96
cloud_1,A_01_077
cloud_2,D_01_092
CLOUD_3,K_02_071
CLOUD_4,K_03_059
clown,A_03_026
clueless,F_03_82
coach,H_02_83
cocacola,D_02_040
cocaine,F_03_44
coconut,A_02_088
coffee,A_01_032
coins,D_01_018
cold,C_02_068
college,B_01_009
color,C_02_039
comb,C_02_070
COMB_2,K_03_065
come,C_03_074
come_here_E,H_02_74
come_out,E_02_20
comfortable,H_03_58
comment,H_01_5
committee,J_03_072
communication,B_03_013
community,J_01_015
commute,H_02_44
compass,G_02_12
complain,G_01_23
complex,C_01_061
computer,A_01_054
computer_mouse,C_01_073
concept,A_03_086
concerned,G_02_47
CONDUCT_1,K_01_060
CONDUCT_2,K_02_091
CONDUCT_3,K_03_057
cone,E_02_5
confident,D_02_035
confidential,G_02_22
conflict,J_02_084
confused_1,J_01_110
confused_2,J_02_067
congratulations,B_02_022
connection,E_03_60
consume,J_01_101
contact,D_03_022
contact_lens,E_02_74
continue,D_03_032
convince,G_01_48
convince_2,H_03_13
cook,D_03_078
cookie,B_03_008
cool_1,F_01_14
cool_2,G_03_45
cool_3,H_03_99
cool_4,H_03_32
cool_5,J_01_004
cooperate,E_01_10
copy,D_01_064
corkscrew,D_01_053
CORKSCREW_2,K_01_085
corn_1,A_02_084
corn_2,C_02_026
CORN_3,K_02_078
corner,J_03_071
"correct(grade,criticize)",J_02_040
cost,E_03_20
couch_1,G_02_13
cough,C_02_071
counselor,B_01_005
count,G_02_54
country,C_03_058
cousin,C_01_023
cover_up,C_03_038
cow,A_01_033
cowboy,F_01_18
crack,F_03_67
cracker,C_01_081
CRACKER_2,K_03_093
CRANKY,H_02_104
crash,J_02_017
CRASH_PLANE,K_01_034
crawl,D_01_068
CRAWL_2,K_02_088
crazy,D_03_040
cream,F_02_10
CREAM_2,K_01_046
create,D_03_076
credit_card,B_02_057
CREWCUT,K_02_127
criticize,F_03_83
crocodile,D_01_081
cross,C_01_067
cross_2,H_01_7
CROSS_3,K_03_028
cross_heart,J_01_064
crown,F_01_16
CRUMPLE,K_01_124
cry,B_03_028
CRY_2,K_01_003
CRY_3,K_02_040
CRY_4,K_03_060
culture,H_01_51
cup,A_01_010
curious,F_03_51
curl,J_01_052
CURL_2,K_01_072
curly_hair,H_02_7
curtain,A_02_025
CURTSEY_1,K_02_006
CURTSEY_2,K_03_038
cut_1,E_02_46
cut_2,F_01_65
cute_1,B_03_087
cute_2,C_01_045
damn,F_01_98
dance,B_02_063
dancer,A_02_034
danger,E_02_67
dark,E_01_12
dark_2(b),J_03_094
dart,C_03_029
date_1,G_01_31
daughter,E_02_23
day,C_01_044
deaf_1,F_03_38
deaf_2,E_03_98
deaf_school,H_01_22
deal_cards,J_02_074
death,A_01_076
decide_1,B_02_074
decide_2,D_03_057
decline,F_01_1
DECORATE_1,K_01_073
DECORATE_2,K_02_030
dedicate_1,F_03_85
dedicate_2,G_03_94
deep,C_03_006
deer,A_03_060
defeat_2,G_03_90
definition,G_02_61
deflate,E_01_79
degree,J_01_021
delegate,H_03_1
deliberate,H_02_9
delicious,B_01_082
delinquent,F_02_3
demand,D_03_080
demote,J_03_031
dent,H_02_30
dentist,A_01_014
DENTIST_2,K_03_027
deny,D_02_039
deodorant,A_01_086
department,C_02_033
depend_on,H_03_76
depress,E_02_59
depth,F_02_18
desert,A_03_008
design,J_03_104
dessert,F_01_94
destroy,E_03_52
develop_1,J_03_092
develop_2,H_01_050
devil,A_01_079
DEVOUR,K_01_047
diamond,A_01_066
diaper,A_02_002
dice,D_02_036
dictionary,F_03_35
die,D_02_021
different,E_03_95
different_situation,J_01_075
DIG,K_02_119
dig_up,G_02_19
dilemma,J_01_003
dining_room,F_02_49
dinner,G_03_44
dinner_2(d),J_02_023
dinosaur,A_01_031
DINOSAUR_2,K_03_047
