"EntryID","LemmaID","Code","YouTube Video","Vimeo Video","SignFrequency(M)","SignFrequency(SD)","SignFrequency(Z)","SignFrequency(N)","PercentUnknown","SignFrequency(M-Native)","SignFrequency(SD-Native)","SignFreq(Z-native)","SignFrequency(N-Native)","PercentUnknown(Native)","PercentGlossAgreement","PercentGlossAgreement(Native)","Iconicity(M)","Iconicity(SD)","Iconicity(Z)","Iconicity(N)","Iconicity_ID","SubtLexUSLog10WF","LexicalClass","SignOnset(ms)","SignOffset(ms)","SignLength(ms)","ClipLength(ms)","D.Iconicity(M) all","D.Iconicity(SD) all","D.Iconicity(N) all","D.Iconicity(Z) all","D.Iconicity(M) native","D.Iconicity(SD) native","D.Iconicity(N) native","D.Iconicity(Z) native","IconicityType","Initialized.2.0","FingerspelledLoanSign.2.0","Compound.2.0","NumberOfMorphemes.2.0","Handshape.2.0","MarkedHandshape.2.0","SelectedFingers.2.0","Flexion.2.0","FlexionChange.2.0","Spread.2.0","SpreadChange.2.0","ThumbPosition.2.0","ThumbContact.2.0","SignType.2.0","Movement.2.0","MajorLocation.2.0","MinorLocation.2.0","SecondMinorLocation.2.0","Contact.2.0","NonDominantHandshape.2.0","UlnarRotation.2.0","HandshapeM2.2.0","MarkedHandshapeM2.2.0","SelectedFingersM2.2.0","FlexionM2.2.0","FlexionChangeM2.2.0","SpreadM2.2.0","SpreadChangeM2.2.0","ThumbPositionM2.2.0","ThumbContactM2.2.0","SignTypeM2.2.0","MovementM2.2.0","MajorLocationM2.2.0","MinorLocationM2.2.0","SecondMinorLocationM2.2.0","ContactM2.2.0","NonDominantHandshapeM2.2.0","UlnarRotationM2.2.0","HandshapeM3.2.0","MarkedHandshapeM3.2.0","SelectedFingersM3.2.0","FlexionM3.2.0","FlexionChangeM3.2.0","SpreadM3.2.0","SpreadChangeM3.2.0","ThumbPositionM3.2.0","ThumbContactM3.2.0","SignTypeM3.2.0","MovementM3.2.0","MajorLocationM3.2.0","MinorLocationM3.2.0","SecondMinorLocationM3.2.0","ContactM3.2.0","NonDominantHandshapeM3.2.0","UlnarRotationM3.2.0","HandshapeM4.2.0","MarkedHandshapeM4.2.0","SelectedFingersM4.2.0","FlexionM4.2.0","FlexionChangeM4.2.0","SpreadM4.2.0","SpreadChangeM4.2.0","ThumbPositionM4.2.0","ThumbContactM4.2.0","SignTypeM4.2.0","MovementM4.2.0","MajorLocationM4.2.0","MinorLocationM4.2.0","SecondMinorLocationM4.2.0","ContactM4.2.0","NonDominantHandshapeM4.2.0","UlnarRotationM4.2.0","HandshapeM5.2.0","MarkedHandshapeM5.2.0","SelectedFingersM5.2.0","FlexionM5.2.0","FlexionChangeM5.2.0","SpreadM5.2.0","SpreadChangeM5.2.0","ThumbPositionM5.2.0","ThumbContactM5.2.0","SignTypeM5.2.0","MovementM5.2.0","MajorLocationM5.2.0","MinorLocationM5.2.0","SecondMinorLocationM5.2.0","ContactM5.2.0","NonDominantHandshapeM5.2.0","UlnarRotationM5.2.0","HandshapeM6.2.0","MarkedHandshapeM6.2.0","SelectedFingersM6.2.0","FlexionM6.2.0","FlexionChangeM6.2.0","SpreadM6.2.0","SpreadChangeM6.2.0","ThumbPositionM6.2.0","ThumbContactM6.2.0","SignTypeM6.2.0","MovementM6.2.0","MajorLocationM6.2.0","MinorLocationM6.2.0","SecondMinorLocationM6.2.0","ContactM6.2.0","NonDominantHandshapeM6.2.0","UlnarRotationM6.2.0","bglm_aoa","empirical_aoa","SignType.2.0Frequency","MajorLocation.2.0Frequency","MinorLocation.2.0Frequency","SecondMinorLocation.2.0Frequency","Movement.2.0Frequency","SelectedFingers.2.0Frequency","Flexion.2.0Frequency","FlexionChange.2.0Frequency","RepeatedMovement.2.0Frequency","Contact.2.0Frequency","Spread.2.0Frequency","SpreadChange.2.0Frequency","ThumbContact.2.0Frequency","ThumbPosition.2.0Frequency","UlnarRotation.2.0Frequency","Transparency M","Transparency SD","Transparency Z","H index","SignBankID","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","DominantTranslation","SignBankID"
"every_year","every_year","H_02_041","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Q5jXaD5evdo?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","5.321","1.188","0.746","28","0","5.214","1.369","0.692","14","0.00","","","1.417","0.776","-0.926","24","every year","","Adverb","467.00","1335.00","868.00","1835.00","","","","","","","","","Arbitrary","0","0","0","1","s","0","i","FullyClosed","1","NA","NA","Open","1","AsymmetricalDifferentHandshape","Straight","Hand","FingerRadial","HandAway","1","S","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","476","682","94","298","1245","712","173","532","1215","1694","0","0","812","1790","2276","","","","","	EVERY-YEAR","17","0","17","0","","	EVERY-YEAR"
"everyday","everyday","E_01_084","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/sbr9abOLIfE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/346053736"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","5.943","1.282","0.924","35","0","6.000","1.134","0.960","15","0.00","","","1.440","1.635","-1.017","25","","2.745","Adverb","467.00","1235.00","767.00","1768.00","","","","","","","","","Arbitrary","0","0","0","1","a","0","t","NA","NA","NA","NA","Open","NA","OneHanded","Straight","Head","CheekNose","HeadAway","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","1068","725","96","342","1245","156","0","0","1215","1694","0","0","0","1790","2276","","","","","","12","6","12","6","",""
"everything","everything","F_03_084","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/lhasCJ_5Aa4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","5.630","1.363","0.764","27","0","5.500","1.401","0.677","14","0.00","","","2.600","2.108","-0.483","15","","4.524","Minor","400.00","1502.00","1101.00","2035.00","","","","","","","","","Arbitrary","0","0","1","2","a","0","t","NA","NA","NA","NA","Open","NA","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","1","a","0","5","0","imrp","FullyOpen","0","1","0","Open","0","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","0","5","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","989","990","818","1245","156","0","0","1509","1694","0","0","0","1790","2276","","","","","EVERYTHING","19","7","19","7","","EVERYTHING"
"evidence","evidence","G_03_103","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/McXGkWeNwB0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","4.577","1.701","0.232","27","0","4.364","1.433","0.178","12","0.08","","","2.450","1.669","-0.561","20","","3.637","Noun","501.00","1335.00","834.00","2035.00","","","","","","","","","Arbitrary","1","0","0","1","e","1","imrp","Bent","0","0","0","Closed","1","AsymmetricalDifferentHandshape","Straight","Hand","Palm","NA","1","B","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","476","682","210","0","1245","1222","253","2010","1215","1694","839","1391","812","934","2276","","","","","EVIDENCE","3","3","3","3","","EVIDENCE"
"example","example","G_02_024","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/O-KuRjbk87U?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","5.704","1.265","0.816","27","0","5.750","1.055","0.864","12","0.00","","","2.774","1.746","-0.477","31","","3.184","Noun","400.00","1201.00","801.00","1768.00","","","","","","","","","Arbitrary","0","0","0","1","1","0","i","FullyOpen","0","NA","NA","Closed","0","AsymmetricalDifferentHandshape","Straight","Hand","Heel","NA","1","B","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","476","682","13","0","1245","712","1051","2010","1215","1694","0","0","1756","934","2276","","","","","EXAMPLEix","30","4","30","4","","EXAMPLEix"
"excited","excited","H_01_102","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/WCu7QDJmTKE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","6.036","0.881","1.146","28","0","6.000","0.877","1.135","14","0.00","","","3.800","1.989","0.051","20","","3.394","Adjective","300.00","1134.00","834.00","1602.00","","","","","","","","","Arbitrary","0","0","0","1","open_8","1","m","Flat","0","NA","NA","Open","0","SymmetricalOrAlternating","Curved","Body","TorsoTop","BodyAway","1","open_8","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","256","87","86","634","123","415","2010","1215","1694","0","0","1756","1790","2276","","","","","EXCITED","3","2","3","2","","EXCITED"
"excuse","excuse","D_03_052","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/dJ8NHkERqMU?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345984842"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","4.269","1.710","0.077","26","0","4.313","1.448","0.048","16","0.00","","","1.667","2.009","-0.663","24","","4.274","Noun","567.00","1268.00","701.00","1935.00","1.65","0.98","26","-0.75","1.61","1.04","18","-0.73","Arbitrary","0","0","0","1","flat_b","1","imrp","Flat","0","0","0","Open","0","AsymmetricalDifferentHandshape","Straight","Hand","Palm","HandAway","1","B","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","476","682","210","298","1245","1222","415","2010","1215","1694","839","1391","1756","1790","2276","","","","","EXCUSE","12","5","12","5","","EXCUSE"
"exercise","exercise","C_01_084","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/nFHE6ex8nrk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345579775"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","4.900","1.348","0.295","30","0","5.111","1.367","0.327","18","0.00","","","4.700","1.921","0.927","30","","2.957","Noun","534.00","968.00","434.00","2135.00","4.03","1.61","30","0.65","4.20","1.61","21","0.69","NA","0","0","0","1","s","0","imrp","FullyClosed","0","NA","0","Closed","1","SymmetricalOrAlternating","Circular","Body","BodyAway","BodyAway","0","s","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","256","44","86","208","1222","173","2010","1215","1030","0","1391","812","934","2276","4","2","1","-0.19","EXERCISEsup","0","6","0","6","","EXERCISEsup"
"expect","expect","F_02_068","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/JKTqmRCzBEc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","5.370","1.334","0.598","27","0","5.357","1.550","0.585","14","0.00","","","1.548","0.888","-0.530","31","","3.724","Verb","567.00","1401.00","834.00","2035.00","","","","","","","","","Arbitrary","0","0","1","2","1","0","i","FullyOpen","0","NA","NA","Closed","0","OneHanded","None","Head","Forehead","NA","1","NA","0","flat_b","1","imrp","Flat","1","0","0","Open","0","SymmetricalOrAlternating","None","Head","HeadAway","NA","0","flat_b","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","1068","725","107","0","416","712","1051","2010","1509","1694","0","0","1756","934","2276","","","","","","62","49","62","49","",""
"expensive","expensive","C_01_064","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/qoPlk_K2K1Q?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345578937"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","5.000","1.313","0.374","30","0","5.333","1.188","0.483","18","0.00","","","2.433","1.921","-0.226","30","","3.154","Adjective","400.00","1034.00","634.00","2002.00","2.10","1.35","30","-0.41","2.24","1.51","21","-0.39","Arbitrary","0","0","0","1","flat_o","0","imrp","Flat","0","0","0","Open","1","AsymmetricalDifferentHandshape","BackAndForth","Hand","Palm","HandAway","1","B","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","476","682","210","298","72","1222","415","2010","1509","1694","839","1391","812","1790","448","4","2","0","-0.22","EXPENSIVE","1","0","1","0","","EXPENSIVE"
"experience","experience","B_02_064","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Rh2pFgXWC-Y?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345540169"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","4.800","1.607","0.105","25","0","4.357","1.447","-0.185","14","0.00","1","1","1.233","2.045","-0.737","30","","3.490","Noun","400.00","868.00","467.00","1602.00","1.45","1.03","31","-0.75","1.46","1.10","22","-0.72","Arbitrary","0","0","0","1","5","0","imrp","FullyOpen","1","1","0","Open","1","OneHanded","Straight","Head","CheekNose","HeadAway","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","1068","725","96","342","1245","1222","1051","532","1215","1694","554","1391","812","1790","2276","3","2","0","-0.17","EXPERIENCE","10","0","10","0","experience","EXPERIENCE"
"experienced","experienced","F_02_023","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/PxeyYQ4h5_Q?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","5.407","1.279","0.619","27","0","5.429","1.453","0.604","14","0.00","","","1.452","1.480","-0.595","31","","2.708","Adjective","467.00","1368.00","901.00","2402.00","","","","","","","","","Arbitrary","0","0","0","1","flatspread_5","1","imrp","Flat","1","1","1","Open","1","OneHanded","Straight","Head","CheekNose","CheekNose","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","1068","725","96","16","1245","1222","415","532","1215","1694","554","194","812","1790","2276","","","","","EXPERIENCE","2","0","2","0","","EXPERIENCE"
"experiment","experiment","H_03_002","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/BjR9E_aRoMQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","4.214","1.500","0.077","28","0","3.929","1.592","-0.136","14","0.00","","","1.833","1.049","-0.654","24","","2.918","Noun","434.00","1969.00","1535.00","2402.00","","","","","","","","","Arbitrary","1","0","0","1","e","1","imrp","Bent","0","0","0","Closed","1","SymmetricalOrAlternating","Circular","Neutral","Neutral","Neutral","0","e","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","989","990","818","208","1222","253","2010","1215","1030","839","1391","812","934","2276","","","","","EXPERIMENT","0","1","0","1","","EXPERIMENT"
"expert","expert","J_03_099","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/HMoa3Rkb7zM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","3.750","2.069","-0.282","29","0","4.308","2.016","0.023","15","0.13","1","1","1.522","0.730","-0.665","23","","3.053","Adjective","801.00","1835.00","1034.00","2402.00","","","","","","","","","Arbitrary","0","0","0","1","1","0","m","Curved","0","NA","NA","Open","1","SymmetricalOrAlternating","None","Neutral","Neutral","NA","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","989","990","0","416","123","579","2010","1215","1030","0","0","812","1790","2276","","","","","","11","2","11","2","pei-pei",""
"explanation","explanation","C_02_053","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/8BL6dAA4Rm0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345588854"" width=""280"" height=""160"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>","5.967","1.033","0.931","30","0","6.222","0.943","0.962","18","0.00","","","1.852","2.025","-0.461","27","","3.010","Noun","601.00","1101.00","501.00","2736.00","1.73","1.14","30","-0.59","1.81","1.17","21","-0.59","Arbitrary","0","0","0","1","f","1","i","Curved","0","NA","NA","Open","1","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","0","f","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","989","990","818","1245","712","579","2010","1215","1030","0","0","812","1790","2276","2","1","-1","-0.16","EXPLANATION","22","9","22","9","","EXPLANATION"
"explode","explode","H_01_053","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/-vRlWEB83NQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","3.333","1.776","-0.492","28","0","3.429","1.950","-0.415","14","0.00","","","4.300","1.750","0.379","20","","2.699","Verb","434.00","1034.00","601.00","1635.00","","","","","","","","","Perceptual","0","0","0","1","flat_o","0","imrp","Flat","1","0","0","Open","1","SymmetricalOrAlternating","Straight","Neutral","Neutral","Neutral","1","flat_o","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","989","990","818","1245","1222","415","532","1509","1694","839","1391","812","1790","2276","","","","","EXPLODE","3","2","3","2","","EXPLODE"
"express","express","J_01_009","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/4e4QH4VGv5A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","4.667","1.539","0.304","30","0","4.467","1.598","0.158","15","0.00","","","3.208","1.719","-0.013","24","","2.961","Verb","501.00","1401.00","901.00","1869.00","","","","","","","","","Arbitrary","0","0","0","1","s","0","imrp","FullyClosed","1","NA","1","Closed","1","SymmetricalOrAlternating","Curved","Body","TorsoMid","BodyAway","1","s","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","256","15","86","634","1222","173","532","1509","1694","0","194","812","934","2276","","","","","EXPRESS","3","0","3","0","","EXPRESS"
"eye_turn","eye_turn","H_03_039","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/PTc9tjK_9_8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","","4.179","1.416","0.024","28","0","4.000","1.414","-0.087","14","0.00","1","1","5.292","1.546","0.949","24","turn and look","","Verb","567.00","1502.00","934.00","2102.00","","","","","","","","","Both","0","0","0","1","f","1","i","Curved","0","NA","NA","Open","1","SymmetricalOrAlternating","Straight","Head","HeadAway","HeadAway","0","f","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","939","725","179","342","1245","712","579","2010","1509","1030","0","0","812","1790","2276","","","","","EYE-TURN	","14","3","14","3","distract","EYE-TURN	"
