SignFrequency(M),Iconicity(M),LexicalClass,SignType
6.160,1.333,3,3
5.407,1.719,3,3
3.240,6.190,3,4
0,0,0,3
0,0,0,3
3.480,6.571,3,3
3.720,3.733,5,4
0,0,0,4
2.148,4.061,3,2
4.167,3.680,0,3
3.743,4.692,5,3
4.522,2.533,6,4
5.259,1.433,3,2
5.148,5.967,5,4
5.037,4.182,5,4
4.333,3.741,5,4
6.037,2.375,3,3
4.679,1.680,0,3
5.414,2.720,0,2
4.038,5.391,5,4
4.679,3.913,3,4
3.000,2.333,3,4
4.200,3.286,3,3
0,0,0,3
5.630,5.545,6,4
6.185,5.030,5,4
3.500,1.750,0,2
5.480,1.074,3,3
4.923,1.240,6,3
3.733,6.622,3,3
2.393,4.103,3,4
0,0,0,6
0,0,0,2
4.286,1.577,3,6
3.192,4.000,3,3
4.360,2.963,3,3
5.360,2.857,3,4
2.613,5.808,3,3
2.852,3.083,3,2
5.172,1.636,0,3
0,0,0,2
0,0,0,3
2.893,3.625,0,4
1.529,4.645,5,3
0,0,0,4
0,0,0,2
0,0,0,6
0,0,0,4
5.200,1.115,3,3
5.185,1.444,3,6
4.593,2.759,6,4
5.656,2.367,6,6
5.654,2.250,1,4
5.065,1.944,3,2
3.720,6.571,3,4
3.000,6.200,3,3
5.577,3.080,5,2
6.057,6.960,3,3
4.000,1.074,3,3
2.900,3.233,3,6
4.519,1.767,3,3
3.296,2.000,3,2
3.074,3.438,3,2
5.296,1.839,3,6
5.107,1.217,2,3
4.967,6.481,5,3
4.467,1.458,0,6
4.500,1.700,5,2
3.400,1.267,5,2
5.148,4.400,6,4
4.700,2.656,3,3
2.600,4.241,3,3
4.800,6.700,3,2
2.281,4.097,3,6
4.355,2.667,3,4
6.000,1.680,5,4
0,0,0,2
3.600,1.056,2,3
3.933,4.778,3,2
4.423,2.095,3,3
3.963,1.606,3,2
3.733,3.639,3,2
4.419,1.897,3,3
4.654,1.233,3,3
2.577,3.625,3,3
5.813,3.483,5,6
2.222,5.806,3,4
1.600,3.576,3,4
5.200,2.630,3,4
4.250,4.542,5,2
6.556,6.200,3,4
3.933,3.933,5,4
3.314,1.880,3,4
4.103,6.455,0,6
5.320,1.467,6,4
2.000,2.880,3,4
3.296,3.533,3,3
0,0,0,3
0,0,0,3
0.000,4.792,0,4
0,0,0,2
1.579,3.481,3,4
0,0,0,4
0,0,0,4
0,0,0,4
5.250,1.826,6,4
5.097,4.618,3,3
0,0,0,4
0,0,0,4
1.500,6.097,5,3
3.667,5.438,5,4
2.778,5.680,5,3
0,0,0,3
4.500,5.708,0,3
0,0,0,2
6.314,1.346,3,4
2.760,4.172,3,2
2.920,5.100,6,3
4.037,5.391,5,2
3.778,2.028,5,4
2.759,5.000,0,4
4.933,2.208,0,4
2.704,4.438,3,3
0,0,0,3
3.000,1.893,3,4
3.433,3.333,3,6
4.741,1.467,3,3
4.583,1.846,3,4
3.375,4.414,3,4
5.714,2.200,3,6
4.480,3.276,3,4
5.448,1.500,0,2
5.815,1.742,3,2
4.208,1.381,3,4
6.371,3.231,5,4
2.933,3.484,3,3
5.185,2.250,3,4
3.625,1.500,3,3
5.296,3.469,5,2
5.406,3.433,3,2
4.815,3.333,5,6
5.500,1.867,5,4
5.926,2.194,6,6
4.037,1.533,5,2
2.560,1.333,5,3
5.000,6.000,5,2
