SignFrequency(M),Iconicity(M),LexicalClass,SignType
5.333,3.000,3,2
5.385,5.217,3,4
5.556,3.267,1,4
5.815,1.452,7,6
2.000,5.208,0,3
6.148,6.645,5,4
3.200,1.846,6,3
0,0,0,0
3.083,2.000,0,3
1.833,1.792,0,3
5.767,3.133,6,3
2.500,4.778,5,4
2.120,3.933,3,2
2.391,3.966,5,2
3.481,1.871,3,4
5.296,3.233,5,4
4.886,1.308,5,4
5.000,1.278,3,3
4.308,1.576,6,4
6.889,3.848,5,3
4.667,2.000,3,3
4.741,4.552,3,3
5.111,5.400,3,3
4.500,1.500,0,2
5.926,1.450,1,3
4.731,2.696,5,3
4.600,3.800,5,4
0,0,0,0
4.667,2.103,6,3
2.800,2.333,5,3
4.815,4.800,5,2
5.840,1.963,6,4
4.542,2.296,6,2
5.593,2.633,5,2
5.107,2.087,0,3
4.867,5.900,1,2
1.385,2.000,0,6
3.286,2.091,0,4
4.793,2.364,0,4
3.138,2.167,6,3
3.741,1.583,0,6
4.500,1.261,0,3
4.571,2.130,0,2
3.536,4.955,0,3
2.654,6.333,5,3
4.667,1.594,6,4
5.536,5.407,0,6
4.815,3.788,5,4
4.481,4.273,6,3
3.625,1.292,0,3
5.107,2.519,0,4
4.833,1.792,0,6
4.400,2.714,5,3
4.926,1.065,3,3
4.222,3.783,0,3
4.889,2.344,6,3
4.920,1.900,3,4
5.630,1.581,6,4
6.167,1.407,3,4
4.933,1.917,0,4
6.148,1.419,3,6
4.700,2.920,0,6
4.357,2.870,0,4
4.519,2.595,5,4
5.111,2.656,6,3
3.889,1.969,5,2
3.080,1.600,6,4
4.367,3.111,5,3
0,0,0,0
2.423,5.657,3,2
0,0,0,0
0,0,0,0
3.161,1.718,3,2
5.333,2.207,6,3
2.320,1.033,3,3
2.920,1.733,2,3
3.143,6.480,0,3
4.133,5.222,3,4
0,0,0,0
0,0,0,0
0,0,0,0
2.565,1.114,2,4
3.296,6.033,3,2
4.333,3.750,0,3
3.433,1.444,6,3
2.391,1.815,3,2
1.958,4.682,3,3
2.000,4.250,0,4
3.267,1.889,6,3
3.000,1.741,3,4
4.852,2.700,5,2
4.962,1.348,5,6
5.267,2.767,3,3
4.040,2.733,3,4
1.778,6.371,5,4
2.867,6.800,3,4
2.778,1.600,3,3
3.593,1.850,3,3
3.828,5.407,5,2
3.148,6.483,3,4
3.517,1.318,0,6
1.958,5.080,3,4
0,0,0,0
0,0,0,0
5.107,1.667,0,6
4.720,5.700,3,2
3.950,6.233,3,4
3.808,2.913,5,6
0,0,0,0
5.733,1.314,3,3
3.444,2.556,5,2
4.571,1.250,0,2
3.067,2.067,3,3
5.846,2.935,3,3
3.633,6.375,5,3
0,0,0,0
5.862,1.636,0,3
4.556,4.750,3,3
6.038,1.500,3,2
2.037,4.633,3,2
0,0,0,0
2.192,2.440,0,3
2.533,4.111,5,2
4.280,3.067,3,6
0,0,0,0
1.188,4.643,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.958,4.042,5,4
0,0,0,0
0,0,0,0
3.296,6.848,5,3
2.400,3.833,0,3
5.767,4.633,5,3
4.750,3.609,0,3
4.600,3.083,0,2
4.731,3.625,3,3
0,0,0,0
3.192,4.094,3,4
5.387,1.579,3,4
5.793,2.917,3,6
4.875,1.519,4,6
5.714,2.429,0,2
5.067,1.700,6,3
5.333,2.750,7,3
5.267,4.750,5,4
5.074,2.000,3,2
3.080,3.800,3,4
3.840,1.476,3,2
3.533,3.833,0,2
5.407,1.567,6,3
5.000,2.080,0,2
2.680,1.419,3,6
0,0,0,0
3.357,1.708,0,4
4.000,3.933,5,6
6.200,3.259,5,2
4.344,3.310,5,3
2.333,1.719,3,3
4.320,2.467,5,4
3.560,2.375,0,4
4.733,1.833,3,3
4.464,5.000,0,3
4.452,1.514,3,3
0,0,0,0
3.333,3.040,0,4
4.143,2.625,0,3
4.438,4.433,6,2
4.038,3.323,3,2
5.259,4.600,5,4
5.296,2.226,5,4
6.486,3.923,5,3
4.567,1.800,3,3
4.484,1.444,3,3
4.963,1.448,3,3
0,0,0,0
2.043,3.387,5,2
3.538,2.967,5,3
0,0,0,0
0,0,0,0
4.917,1.433,5,3
3.654,5.906,5,4
0,0,0,0
0,0,0,0
0,0,0,0
3.867,2.667,6,4
3.481,6.710,3,3
3.038,4.867,3,3
4.667,3.419,5,4
6.222,3.563,5,3
5.370,3.000,6,4
3.733,5.630,3,4
3.926,1.583,0,4
3.320,3.810,3,3
4.567,4.733,5,3
3.593,6.438,3,3
3.720,5.967,3,3
4.852,4.889,3,2
0,0,0,0
4.440,1.733,5,4
5.440,2.000,5,4
3.778,1.452,3,3
2.900,3.917,0,4
0,0,0,0
2.923,4.833,3,4
0,0,0,0
0,0,0,0
4.778,3.257,3,6
4.179,6.826,0,2
0,0,0,0
0,0,0,0
3.281,4.806,3,3
3.720,1.867,6,3
5.963,2.467,6,3
5.500,2.240,0,3
4.593,4.400,3,4
5.138,2.000,0,3
4.143,4.087,0,4
4.680,5.633,5,3
5.080,5.185,5,3
4.192,1.871,5,3
4.833,3.240,0,3
5.520,3.400,5,3
5.259,3.800,5,4
5.444,3.650,5,3
4.077,1.478,5,2
3.867,2.074,5,2
4.828,2.000,0,4
3.808,3.226,7,4
5.333,2.125,6,3
6.556,5.967,5,4
3.038,2.720,6,3
2.692,1.583,0,3
4.704,1.290,6,3
5.593,2.313,3,3
4.778,2.531,3,3
3.423,4.931,3,4
4.720,1.333,3,4
5.593,4.000,6,3
4.519,1.300,3,2
2.538,3.652,3,4
2.250,3.857,3,4
0,0,0,0
0,0,0,0
0,0,0,0
3.000,5.600,5,3
0,0,0,0
3.478,1.679,3,3
4.815,2.767,3,3
0,0,0,0
3.444,1.226,3,3
4.310,2.227,0,4
3.900,1.320,0,6
5.567,2.867,5,4
5.300,2.708,0,3
5.231,2.400,5,3
5.750,1.833,3,3
3.679,1.920,0,4
5.423,3.783,1,4
1.833,1.250,0,3
2.828,2.400,0,4
1.913,5.875,3,4
3.333,4.258,5,4
2.769,5.667,3,3
3.185,5.280,0,4
4.111,3.571,5,4
5.320,1.476,3,4
6.040,5.867,7,4
2.259,5.267,2,3
6.760,7.000,1,3
0,0,0,0
4.400,1.367,6,4
5.000,1.300,5,1
2.818,2.708,0,3
3.179,1.889,3,6
0,0,0,0
2.474,1.548,3,2
4.960,2.097,3,2
3.680,2.429,3,2
2.741,5.270,3,2
4.900,1.771,3,2
4.033,5.440,0,4
0,0,0,0
0,0,0,0
5.423,5.452,5,4
5.621,2.889,3,4
2.800,5.217,3,4
3.704,1.750,3,2
4.481,3.061,5,4
4.963,2.065,3,3
0.000,3.250,5,3
4.300,4.156,5,3
3.333,2.182,0,3
5.000,1.682,0,4
3.593,1.097,3,3
2.167,1.586,3,2
1.643,1.500,0,3
4.333,1.375,0,3
2.630,6.677,3,3
1.667,5.714,3,4
2.038,5.806,3,6
0,0,0,0
3.778,1.867,3,4
4.857,3.286,0,2
6.233,4.211,3,3
0,0,0,0
2.048,2.087,3,4
4.583,6.481,3,3
4.133,3.280,0,3
0,0,0,0
0.000,1.955,0,6
4.792,2.593,3,2
4.880,6.429,3,3
4.188,2.733,6,4
5.423,2.875,5,3
4.938,2.000,5,2
4.533,2.889,5,3
4.679,5.739,0,4
0,0,0,0
0,0,0,0
2.800,1.700,5,3
3.071,2.565,0,3
3.167,1.625,0,2
2.100,1.542,0,4
5.690,1.029,2,3
6.033,3.233,3,2
0,0,0,0
2.619,5.880,3,4
2.773,6.545,3,4
6.097,1.378,3,6
4.323,2.833,3,3
3.346,5.581,3,4
3.615,4.640,3,4
0,0,0,0
6.458,1.767,1,4
6.100,2.444,3,3
2.250,4.000,0,2
5.657,1.923,1,6
6.600,1.200,3,3
4.813,2.300,3,4
5.037,2.750,5,4
3.704,5.472,3,6
4.226,2.526,3,6
0,0,0,0
3.360,2.952,3,3
3.233,6.370,3,3
5.000,5.217,5,4
1.733,5.276,5,4
5.370,1.543,3,6
5.400,1.667,3,6
5.320,4.889,1,4
4.154,4.600,3,4
3.846,3.065,5,2
4.148,4.600,3,3
2.517,2.065,3,4
4.125,3.613,3,2
4.133,1.657,3,3
6.407,3.355,5,3
2.261,6.846,3,4
6.310,6.133,1,3
5.154,6.500,1,3
3.556,6.250,5,2
3.914,6.840,5,2
4.643,1.583,0,2
5.926,1.257,3,6
4.130,4.857,3,3
2.000,6.281,3,3
2.619,1.792,0,4
5.333,3.567,1,6
3.667,6.742,3,3
3.074,5.600,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.400,2.000,5,3
2.750,4.609,0,3
4.933,2.200,0,2
2.621,1.108,3,3
3.926,2.031,6,3
2.375,2.750,3,4
4.933,2.542,0,4
4.167,2.571,6,3
4.800,2.000,7,3
5.600,1.167,6,2
3.680,1.000,3,2
5.040,1.920,0,4
4.037,1.633,3,2
4.900,5.600,1,6
2.448,2.182,0,2
4.704,5.382,1,6
5.414,2.000,0,6
5.692,2.476,6,6
1.808,1.040,3,3
6.032,1.919,3,6
5.067,1.719,4,3
6.433,1.314,1,3
5.107,4.417,0,4
4.531,4.033,3,4
3.167,1.917,0,2
4.296,2.050,3,3
5.308,4.188,3,3
2.320,6.125,3,3
5.556,1.567,6,2
4.800,1.267,3,3
4.154,6.900,3,3
0,0,0,0
5.600,2.192,1,3
4.800,2.083,0,3
5.423,4.400,1,3
5.941,2.600,5,3
4.778,2.667,5,3
5.074,3.276,5,4
3.519,2.875,7,4
5.519,1.857,7,3
6.320,3.037,3,4
5.719,3.033,1,4
4.393,2.773,0,4
5.800,1.722,7,4
5.700,1.111,3,4
4.000,2.257,3,3
4.259,1.667,3,3
0,0,0,0
4.448,1.636,0,3
5.000,3.069,6,4
4.346,3.700,3,4
2.720,4.879,3,2
5.200,3.385,1,3
4.889,3.250,7,2
4.692,2.680,5,3
5.486,1.920,7,3
5.333,1.676,3,4
5.133,2.000,0,2
6.771,3.960,5,3
1.458,2.348,0,2
0,0,0,0
0,0,0,0
6.519,4.290,1,3
5.038,2.371,6,3
5.000,1.500,0,3
5.233,3.394,1,6
5.133,4.167,0,2
6.148,6.970,3,3
4.964,3.083,0,2
4.833,3.560,0,3
4.821,2.565,0,2
5.280,4.286,3,3
5.286,3.074,0,3
3.769,5.565,1,3
5.000,5.604,5,4
4.844,6.200,5,4
2.862,4.472,5,4
4.593,2.219,5,6
5.033,2.560,0,3
3.652,2.667,0,3
4.933,1.917,0,4
5.593,2.636,3,2
4.185,0,1,5
4.300,4.429,6,3
4.962,1.600,3,3
4.821,4.438,3,4
4.731,2.933,3,3
4.600,4.444,3,4
4.467,1.750,3,3
4.414,1.682,0,4
2.053,3.313,3,2
5.500,2.367,6,3
5.815,2.188,1,3
4.813,4.517,1,2
5.367,1.742,1,3
5.074,0,1,6
5.593,3.333,5,3
5.033,2.320,0,6
3.567,2.917,0,2
4.769,4.100,6,4
4.600,3.700,5,2
2.731,4.167,3,4
4.640,3.917,5,4
5.897,4.682,0,3
4.929,4.478,0,4
4.556,2.448,3,2
2.538,5.043,0,3
4.500,1.429,3,4
4.074,5.189,5,6
2.963,4.100,3,2
4.643,3.958,0,6
4.577,3.850,3,6
3.677,4.421,3,4
0,0,0,0
6.484,3.051,3,6
2.560,4.857,3,6
1.548,5.829,5,1
0,0,0,0
0,0,0,0
2.680,1.700,3,4
3.484,1.833,3,2
3.607,4.833,0,6
4.500,3.875,0,4
6.560,1.333,3,3
5.200,1.645,5,2
5.333,2.806,3,4
4.720,4.281,3,4
3.833,2.542,0,6
4.778,2.063,5,3
2.939,2.520,3,2
4.276,3.567,1,3
3.625,1.185,3,3
5.560,1.423,6,3
4.889,1.733,6,3
5.038,2.594,5,2
3.333,2.606,5,2
3.600,2.481,3,4
3.581,2.189,3,3
0,0,0,0
2.417,4.063,3,2
4.438,1.700,3,3
2.400,1.194,3,2
1.150,1.939,3,2
2.600,2.903,3,2
0,0,0,0
2.548,6.759,3,4
2.760,3.958,0,2
0,0,0,0
0,0,0,0
1.192,3.300,5,1
0,0,0,0
0,0,0,0
5.500,5.806,3,2
4.296,3.967,3,3
2.889,6.242,3,4
3.963,1.333,3,3
2.808,1.162,3,3
6.000,2.100,3,4
3.000,3.167,3,3
2.500,1.433,2,3
3.900,3.167,0,4
3.483,2.407,3,3
3.654,2.100,6,4
2.556,2.533,3,3
3.222,6.667,5,3
3.833,3.542,0,3
4.769,2.167,3,4
5.200,2.840,6,4
4.840,1.370,3,4
4.821,2.393,0,2
3.423,1.586,3,4
3.630,4.909,5,2
0,0,0,0
2.061,1.240,3,2
3.370,1.261,0,3
3.316,1.833,0,3
4.667,4.920,0,4
3.067,1.788,3,4
2.160,6.381,3,4
0,0,0,0
3.786,1.542,0,3
2.923,1.300,3,4
6.259,2.167,3,3
3.581,4.514,3,2
3.885,1.467,3,3
3.417,5.200,3,4
3.880,3.370,3,3
2.593,5.000,3,4
0,0,0,0
0,0,0,0
2.667,5.581,5,3
2.893,5.840,0,3
0,0,0,0
2.000,0,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.467,1.233,6,3
1.909,4.267,3,3
0,0,0,0
0,0,0,0
0,0,0,0
2.720,5.333,3,3
5.286,3.542,0,3
2.185,2.621,3,3
4.133,1.472,3,4
4.250,1.667,3,4
5.188,1.733,3,3
1.875,4.690,3,4
3.500,1.563,3,3
5.778,2.107,3,4
1.444,2.185,0,4
3.900,2.645,6,3
5.633,2.000,5,4
4.222,1.424,3,2
4.829,3.000,3,2
4.889,2.774,3,4
3.933,5.719,3,4
5.967,2.400,5,4
4.731,2.095,3,4
3.778,1.600,3,4
6.160,2.667,7,3
4.371,2.577,6,2
3.040,4.486,3,3
0.000,4.435,0,4
0,0,0,0
4.485,2.200,3,2
0,0,0,0
3.808,5.350,5,2
2.727,5.750,3,4
4.517,6.591,0,6
3.577,4.486,3,2
0,0,0,0
0.000,5.435,0,6
4.258,4.211,3,3
0,0,0,0
4.000,1.227,0,2
2.310,5.000,0,2
0.000,3.875,0,4
2.038,5.194,3,2
5.286,3.833,0,6
3.833,1.704,6,3
1.696,4.125,5,2
0,0,0,0
0,0,0,0
0,0,0,0
3.778,3.000,3,4
2.000,4.882,3,4
5.200,1.480,0,2
1.444,2.929,3,2
5.233,4.917,0,6
4.792,1.700,6,4
3.536,2.125,0,6
5.107,2.321,0,6
4.800,1.143,3,2
3.333,6.500,5,3
0,0,0,0
3.536,6.250,0,3
3.966,2.139,3,3
5.519,2.121,5,2
3.500,6.833,3,4
2.630,1.147,3,3
5.071,1.542,0,3
4.963,1.727,5,2
3.520,1.577,5,3
3.821,5.370,0,4
4.462,1.355,3,4
3.417,5.417,0,2
4.844,3.600,5,3
3.192,1.667,5,3
5.533,3.933,7,3
4.033,2.037,3,2
5.419,2.571,3,3
2.538,2.391,3,3
1.741,2.269,3,3
4.214,1.583,0,2
4.920,2.815,3,2
4.867,1.720,0,2
3.500,3.324,3,4
5.033,1.750,3,4
5.542,2.033,3,4
4.267,3.933,5,4
4.370,1.909,0,4
4.357,4.542,0,3
5.259,0,3,2
4.700,1.400,0,2
4.839,3.595,5,3
3.462,3.694,5,4
4.719,2.966,3,6
2.292,3.091,3,2
2.130,2.654,3,4
4.929,4.542,0,4
3.533,3.500,3,4
3.857,3.542,0,3
5.071,3.500,0,4
1.417,2.120,0,3
3.800,1.286,3,2
4.630,1.267,3,2
4.607,2.875,0,4
3.778,6.645,5,4
4.077,1.650,5,4
2.929,1.125,0,2
2.724,6.600,0,3
3.800,2.667,5,3
4.920,1.033,6,3
3.556,7.000,5,4
5.074,3.906,5,4
4.519,6.313,5,4
5.257,5.840,5,3
4.920,3.593,6,3
3.074,5.719,3,3
4.867,2.167,0,3
4.233,1.667,0,3
1.900,1.292,0,3
3.440,2.667,3,3
5.300,3.067,6,4
4.778,2.125,5,2
2.724,4.296,3,4
0,0,0,0
3.000,4.625,0,4
5.296,3.000,5,4
0,0,0,0
2.581,3.595,3,3
1.900,3.688,5,3
5.760,5.429,3,4
4.037,5.344,3,3
1.895,1.313,3,3
2.231,5.880,5,2
2.667,2.417,0,6
2.630,1.500,3,3
3.833,5.588,3,3
0,0,0,0
0,0,0,0
4.036,1.833,0,4
6.387,4.571,5,2
6.370,1.939,6,4
4.741,1.586,5,4
5.800,2.067,7,3
4.036,1.542,0,3
5.433,2.867,3,3
5.357,1.667,0,3
4.893,1.333,0,3
3.852,3.042,0,3
3.000,3.250,5,4
2.840,2.267,5,4
5.069,1.037,6,3
3.889,2.091,6,3
4.914,5.000,5,6
5.300,3.167,5,3
1.913,3.400,3,4
5.750,2.857,0,3
5.222,1.969,5,2
5.200,1.640,0,6
4.960,3.259,3,6
4.885,3.480,5,4
0,0,0,0
4.567,3.700,5,4
5.500,3.630,0,4
4.333,1.267,3,3
5.700,1.370,5,3
4.000,5.083,0,3
4.900,1.958,0,2
4.840,6.000,3,3
4.467,4.125,0,2
4.207,3.000,0,4
4.714,4.077,5,4
4.966,1.667,3,1
4.571,1.750,0,4
4.160,2.310,3,2
5.241,2.000,0,3
4.000,2.960,0,2
0.000,3.800,5,3
5.500,2.480,0,4
5.720,3.548,3,4
5.375,3.963,5,4
1.857,1.591,0,3
5.889,1.290,3,3
4.400,2.176,6,2
4.517,1.560,0,2
3.815,1.273,0,4
3.786,3.583,0,4
2.560,1.792,3,3
1.917,4.783,3,3
0,0,0,0
0,0,0,0
0,0,0,0
4.231,2.938,6,2
4.963,3.636,5,2
3.724,4.409,0,2
6.000,2.567,6,4
4.862,3.533,1,3
5.276,1.636,0,6
3.174,6.857,3,2
4.636,1.967,5,4
3.200,4.476,3,3
3.154,3.567,5,4
5.000,4.323,3,4
2.429,3.273,0,3
0,0,0,0
1.667,5.292,0,4
2.808,4.333,5,4
2.926,6.424,3,4
3.700,4.289,3,6
1.886,4.038,3,2
2.063,5.258,5,2
1.926,2.700,3,4
2.520,2.500,3,4
4.071,2.667,0,2
3.400,6.594,5,4
4.036,6.625,0,3
2.111,3.900,3,4
2.074,1.933,3,4
2.769,6.606,3,4
5.742,4.154,3,4
3.857,1.625,0,4
2.667,4.381,3,3
2.083,3.680,3,6
3.630,1.400,3,3
4.185,2.636,6,2
2.500,3.000,5,4
3.750,1.444,6,2
4.778,2.000,5,6
4.889,1.774,3,2
4.111,2.258,3,4
5.200,1.667,5,1
3.533,6.280,0,4
0,0,0,0
5.667,2.200,5,2
4.400,3.400,5,4
3.111,1.613,2,3
5.240,5.800,6,4
5.037,2.000,6,4
1.652,2.303,5,3
0,0,0,0
2.615,2.903,3,2
4.704,3.667,3,4
4.920,1.037,3,6
4.688,6.500,3,3
5.840,3.621,1,3
3.400,1.767,1,4
4.833,1.875,0,4
4.607,1.875,0,4
4.667,2.133,3,2
3.677,2.538,3,2
0,0,0,0
0,0,0,0
0,0,0,0
3.333,3.394,3,4
4.571,1.769,6,4
5.889,1.000,2,3
4.259,4.382,3,2
3.280,4.063,3,4
5.154,1.810,5,2
5.333,2.750,5,6
1.571,5.875,5,3
0,0,0,0
1.963,5.450,3,4
4.433,4.032,3,2
4.148,4.500,5,3
4.960,1.500,7,4
4.400,4.967,6,4
2.240,5.905,3,1
0,0,0,0
0,0,0,0
0,0,0,0
5.920,2.857,3,6
6.400,1.194,3,6
4.852,1.333,3,4
3.516,1.410,3,4
4.548,6.947,3,3
4.250,6.778,0,3
2.481,6.545,0,2
4.536,3.000,0,2
1.524,2.917,0,3
3.370,5.292,0,2
3.833,4.774,5,3
2.923,5.567,3,2
0,0,0,0
0,0,0,0
3.280,3.250,0,2
3.423,5.389,3,3
4.258,5.933,5,2
3.600,3.000,0,2
3.767,1.867,3,2
2.375,4.690,3,4
4.200,2.306,3,3
4.240,1.667,3,3
6.333,4.630,5,3
5.690,4.136,0,3
5.148,1.909,5,3
5.038,4.240,5,3
3.964,4.107,0,3
4.966,1.682,0,4
3.846,1.739,3,3
3.844,3.967,5,3
4.357,1.500,0,3
5.000,1.667,0,3
4.571,2.680,0,4
4.161,3.900,3,4
5.125,3.154,6,3
4.531,2.621,5,4
0,0,0,0
4.160,3.065,5,2
5.296,2.750,4,3
4.393,2.160,0,3
2.480,5.867,5,6
1.667,4.966,5,1
2.760,5.563,5,4
2.250,1.909,0,3
2.231,2.217,3,4
3.357,5.542,0,6
4.481,4.861,3,4
3.444,4.788,3,4
5.688,2.567,5,6
3.103,5.226,3,3
2.323,4.517,3,6
3.815,3.000,6,2
3.760,2.333,0,2
2.500,5.250,0,6
0,0,0,0
0,0,0,0
2.500,6.129,5,3
2.208,5.375,0,6
3.667,6.042,0,3
0,0,0,0
0,0,0,0
3.222,1.767,3,3
3.875,4.600,3,4
4.571,4.120,3,3
3.259,2.353,6,2
2.867,5.923,3,3
0,0,0,0
4.037,4.833,6,3
6.074,1.533,3,4
3.133,6.520,0,5
0,0,0,0
3.593,6.667,5,4
5.067,2.314,5,2
6.231,1.500,3,4
3.821,4.875,0,3
5.036,2.520,0,3
2.263,4.583,0,4
4.100,3.686,3,4
3.743,4.769,5,3
6.111,1.875,5,3
3.704,6.700,3,3
0,0,0,0
0,0,0,0
4.034,4.773,0,3
0,0,0,0
3.167,6.314,3,4
0,0,0,0
5.333,2.500,5,2
5.593,5.367,3,3
3.357,2.351,3,3
5.148,4.350,5,4
3.880,2.111,6,3
5.320,3.692,6,4
4.000,4.818,0,3
1.542,5.667,3,4
5.900,2.333,3,4
5.222,2.400,3,4
4.714,2.333,0,2
5.481,2.313,3,2
5.556,1.839,5,4
5.400,2.741,6,3
2.077,1.167,3,3
5.115,1.458,1,4
3.000,2.560,5,3
4.607,2.481,0,3
5.100,1.560,0,2
2.406,3.467,5,2
1.789,5.450,3,4
5.385,1.208,3,6
5.615,3.560,5,2
4.857,1.333,0,2
5.074,2.550,4,3
2.800,2.433,5,4
1.893,4.630,5,2
0,0,0,0
0,0,0,0
3.148,1.161,3,4
0,0,0,0
5.704,1.688,6,2
4.923,4.242,3,3
3.567,5.256,3,4
3.280,2.345,3,3
2.833,3.063,3,4
2.056,2.576,3,6
2.000,2.031,3,4
6.600,4.833,5,3
3.346,5.480,0,2
0,0,0,0
0,0,0,0
0,0,0,0
3.192,6.030,5,3
0,0,0,0
1.714,4.226,3,5
3.276,4.500,0,6
0,0,0,0
3.057,3.480,3,2
4.640,2.033,6,6
5.000,4.083,6,4
5.222,3.903,6,3
5.406,5.133,3,3
2.731,5.333,5,3
4.074,6.636,3,4
0,0,0,0
3.111,3.929,0,2
3.433,6.806,5,3
4.750,2.250,0,4
1.765,4.069,3,2
3.400,4.526,3,3
4.692,6.645,5,3
0,0,0,0
4.704,3.485,5,2
2.533,6.806,5,3
0,0,0,0
3.920,3.967,3,3
0.000,4.520,5,3
3.097,4.053,3,3
0,0,0,0
0,0,0,0
2.692,1.300,3,4
2.000,2.455,3,4
5.630,2.633,1,3
5.097,2.457,3,2
2.048,4.161,5,3
3.800,1.762,3,6
4.346,3.545,5,2
5.286,2.542,0,4
3.348,3.778,0,4
3.630,2.222,0,4
5.120,1.524,3,4
4.533,2.361,3,2
3.963,1.800,3,4
4.467,2.719,6,4
4.741,4.448,3,4
5.625,2.259,1,6
3.034,5.500,0,4
0,0,0,0
0,0,0,0
6.000,2.167,1,3
5.813,2.133,1,2
4.880,2.200,3,3
6.259,1.833,6,3
6.767,1.458,0,3
3.963,1.458,0,3
4.370,2.355,6,3
3.241,1.400,0,2
5.633,3.633,6,3
4.679,5.625,0,3
4.548,5.333,3,2
3.926,3.094,6,3
4.000,1.222,3,3
3.704,2.250,0,3
4.741,1.417,0,2
1.250,1.182,0,3
3.935,2.718,3,4
3.333,1.700,3,3
2.250,4.654,3,4
3.500,1.880,0,2
5.100,2.250,0,1
4.250,1.800,0,6
4.406,2.500,6,6
3.371,1.577,5,4
3.645,2.310,5,4
4.310,3.182,0,3
3.192,5.792,3,4
4.148,4.107,5,4
0,0,0,0
1.100,4.750,0,4
3.630,5.133,5,3
0,0,0,0
4.500,2.700,6,4
3.440,3.267,3,6
4.333,1.364,3,4
3.680,4.233,5,3
4.889,5.900,5,4
0,0,0,0
0,0,0,0
4.400,3.226,3,2
4.100,6.600,0,4
5.100,1.680,0,3
2.000,3.792,0,3
2.800,2.917,3,6
4.438,6.774,5,3
2.476,5.720,0,2
0,0,0,0
0,0,0,0
0,0,0,0
2.120,2.000,3,4
3.967,1.333,3,3
5.400,3.810,3,3
2.762,3.086,3,6
6.815,6.258,5,2
4.963,2.813,5,2
5.219,4.967,5,2
0,0,0,0
5.241,3.909,0,2
3.222,6.000,5,3
5.083,2.476,3,4
5.320,1.100,2,4
4.630,4.966,5,3
4.323,3.579,3,4
5.760,3.871,5,2
1.917,1.594,3,2
5.815,4.000,5,4
3.733,2.500,0,4
2.261,1.548,3,2
3.067,2.704,5,3
2.087,4.080,0,4
4.114,5.320,5,6
1.333,4.458,3,4
0,0,0,0
0,0,0,0
0,0,0,0
4.630,5.419,6,4
5.667,2.067,7,4
4.143,2.000,0,2
2.889,5.500,0,2
4.214,6.852,0,3
3.423,6.739,5,2
1.773,2.800,3,4
3.586,5.972,3,3
5.704,3.595,5,6
2.333,5.156,3,3
4.714,1.346,3,4
4.933,1.760,0,4
4.571,1.333,0,4
5.571,6.160,6,3
0,0,0,0
0,0,0,0
5.000,1.833,6,3
2.714,5.440,0,4
3.462,5.258,3,5
2.524,1.595,3,3
0,0,0,0
0,0,0,0
0,0,0,0
5.290,4.368,3,4
5.125,1.600,3,1
0,0,0,0
0,0,0,0
0,0,0,0
3.800,1.800,6,3
4.259,4.844,3,4
3.429,4.593,0,3
4.926,6.550,6,4
4.250,1.857,0,4
5.000,2.250,0,4
4.640,2.367,6,3
5.543,3.077,6,3
4.704,1.900,3,2
5.444,1.724,5,2
2.481,3.833,0,4
4.100,3.767,6,3
4.633,4.161,6,3
0.000,3.708,0,3
3.960,3.300,5,2
3.240,4.063,5,3
0,0,0,0
4.593,2.367,3,4
4.538,3.040,5,4
4.958,1.433,3,3
0,0,0,0
4.633,4.593,3,3
3.100,2.667,0,3
0,0,0,0
1.000,1.542,0,6
3.893,5.458,0,3
3.440,4.300,3,3
4.133,3.083,0,6
4.467,1.520,0,4
3.967,1.500,0,4
5.963,2.000,3,6
4.769,4.194,5,4
5.400,2.914,6,3
3.032,2.923,5,2
3.148,1.467,3,2
4.071,3.958,0,2
4.583,4.481,3,4
4.269,1.320,3,2
3.967,3.222,3,3
4.357,3.000,0,4
2.143,3.969,3,4
2.286,4.440,5,4
3.760,5.567,5,3
2.800,6.625,0,6
4.036,4.130,0,3
3.654,2.516,3,4
0,0,0,0
0,0,0,0
1.714,2.400,3,4
1.800,2.654,3,4
3.259,4.600,5,6
5.310,2.136,0,3
3.556,3.000,0,4
4.200,4.033,5,4
0,0,0,0
1.800,6.290,5,3
3.815,5.645,5,4
2.231,2.667,3,3
2.033,5.875,3,3
4.222,2.233,3,4
4.643,2.080,0,4
6.000,4.238,3,3
0,0,0,0
1.875,4.833,3,3
0,0,0,0
5.037,5.323,5,3
5.444,2.091,5,4
4.815,3.938,5,2
0.000,2.542,0,6
4.640,5.545,5,2
3.217,3.970,5,3
5.333,2.800,5,3
3.038,6.704,0,3
0.000,1.565,0,2
4.840,4.379,6,2
5.000,5.519,6,3
4.222,1.903,6,3
3.719,3.615,3,4
2.955,3.100,3,6
5.867,4.240,0,3
4.556,4.433,3,2
4.609,1.452,5,4
0,0,0,0
6.074,1.433,3,4
5.714,1.880,3,4
2.967,6.889,5,3
4.185,6.600,5,4
0,0,0,0
5.556,1.800,5,6
6.200,1.219,3,2
3.750,1.174,0,3
4.519,6.667,3,3
5.481,7.000,3,3
5.933,5.667,5,3
4.333,1.774,5,3
5.115,1.500,6,6
3.552,1.267,3,3
