EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
get_information_out_of,3.152,1.920,7,1
get_off,4.107,3.560,0,3
get_through,5.333,6.188,7,3
get_together,4.833,4.833,0,5
ghost,3.800,1.269,6,5
gift,5.143,1.920,6,5
giraffe,2.636,4.762,6,1
girl,4.552,1.528,6,2
give,5.667,4.909,7,2
give_up,3.857,5.000,0,5
glass,5.657,5.080,6,3
glasses,3.750,5.200,6,5
glove,3.846,6.367,6,1
gloves,2.885,6.267,6,1
glow,2.696,2.760,6,5
glue_2,3.385,3.438,7,5
go,6.033,5.583,7,5
go_ahead,6.067,2.880,0,5
go_back_and_forth,3.731,4.741,0,5
go_on,5.886,5.520,7,5
go_through(list),4.517,3.227,0,3
go_to_jail,3.926,2.563,7,5
goal,5.000,4.000,6,5
goat,2.037,3.200,6,2
goatee,2.250,5.067,6,2
god,4.519,2.448,4,2
going_through_a_hard_time,4.000,2.650,7,5
gold,3.231,1.032,6,2
golf,3.333,5.567,6,4
gone,5.308,2.190,2,3
good,6.440,1.630,2,2
goody_goody,4.038,2.050,2,2
goody_goody_shoe_opposite,1.714,1.320,0,2
goosebumps,3.769,3.409,6,2
gorilla,2.593,6.800,6,5
gossip,4.222,3.162,6,5
gotcha,4.393,2.792,0,2
government,4.480,1.300,6,2
grab,3.967,6.400,7,5
grade,4.077,1.484,6,3
graduate,4.240,1.267,7,3
graduate_school,4.214,1.375,0,2
grammar,3.966,1.227,0,5
grandfather,4.360,1.267,6,2
grandmother,4.500,1.333,6,2
grandparents,4.429,1.778,0,5
grapes,4.333,2.133,6,3
grasp,2.406,6.308,7,2
grass,4.880,1.762,6,2
gray,4.037,1.781,2,5
great,4.621,1.773,0,5
greece,2.429,1.037,4,2
green,5.400,1.067,2,2
green_beans,3.148,2.031,6,2
greet,3.133,6.200,0,5
grenade,1.786,6.069,6,1
grieve,4.200,2.000,7,5
grind,4.172,5.375,0,1
group,4.867,2.560,0,5
grow,4.840,5.467,7,3
grow_up,5.500,5.600,0,2
guess_1,4.897,2.233,7,2
guess_2,4.815,1.806,7,2
guide,5.000,3.200,7,4
guillotine_1,2.150,4.867,6,2
guillotine_2,2.148,5.424,7,2
guilty,3.538,1.708,2,2
guitar,2.630,6.967,6,2
gullible,3.433,1.423,2,2
gum,5.037,3.452,6,2
gun,3.407,6.710,6,2
gym,4.000,2.800,6,5
habit,5.100,1.548,6,5
had_enough,4.500,5.542,0,2
haha,5.556,2.667,5,2
hair,5.444,6.900,6,2
hair_clipper,2.194,4.133,7,2
haircut,3.000,1.185,6,5
hairdresser,4.444,4.000,6,5
hairdryer,3.200,4.067,6,2
half,5.000,3.788,6,2
half_hour,4.933,2.625,0,1
hall,3.556,3.485,6,5
halloween_1,3.407,2.200,6,5
halloween_2,3.815,2.656,6,5
hamburger,4.429,3.640,6,5
hammer,2.500,5.968,6,2
hamster_1,3.067,1.406,6,2
hand_soap,3.593,6.333,7,3
handcuffs,2.889,5.667,6,2
hands,4.815,4.379,6,1
hands_off,4.786,3.000,0,5
handsome,2.167,1.909,0,2
handsome_1,4.346,2.394,2,2
handsome_2,2.158,1.935,2,2
handsome_3,3.067,1.633,2,2
hang,2.565,5.750,7,2
hanukkah,3.667,3.548,6,5
happen,5.208,1.867,7,5
happy,5.700,3.250,2,2
hard,5.793,2.233,2,5
hard_of_hearing,4.367,1.520,0,2
harmonica,1.750,6.143,6,5
harp,1.667,6.548,6,2
hat,4.407,5.033,6,2
hatbrim,3.345,5.136,0,2
hatch,1.824,3.292,0,5
hate,5.407,4.000,7,5
have,6.125,3.533,7,5
hawaii,3.793,1.227,0,2
he,6.407,3.226,5,2
head,4.367,5.207,6,2
head_back,4.154,2.250,0,2
head_grind,3.276,3.167,7,2
headache,5.480,4.926,6,5
headcold,4.600,4.292,0,2
headphones,1.630,6.500,6,5
health,4.720,1.733,7,5
heap,4.286,4.792,0,2
hear,5.029,6.360,7,2
hear_2(3),3.533,6.625,0,2
hearing,5.857,1.000,7,2
hearing_aid,4.708,5.370,6,2
heart,3.480,5.400,6,5
heart_touch,5.067,4.125,7,2
heartbody,4.080,5.208,0,2
heaven,3.333,2.667,6,5
heavy,4.222,5.094,2,5
helicopter,2.481,4.903,6,3
hell,3.333,1.700,6,2
hello,6.519,5.167,5,2
helmet,2.360,6.323,6,5
help,6.148,1.472,7,3
hen,1.962,1.833,6,2
here,5.704,1.943,3,5
hide,4.889,2.839,7,2
high,4.400,3.731,2,2
high_heels_1,2.565,3.097,6,3
high_school,5.033,1.000,6,2
highlighter,5.000,3.967,6,3
hinge,1.273,4.950,6,1
hippo,1.692,3.333,6,5
his,5.778,2.387,5,2
history,4.778,1.200,6,2
hit,4.111,6.323,7,2
hitchhike,2.464,6.250,0,2
hockey,3.000,1.630,6,3
hoe,1.842,4.129,6,1
hold,3.875,5.968,7,5
hold_accountable,3.852,2.875,7,2
hold_hands,3.222,6.522,0,5
hold_together,3.781,4.621,7,5
holiday,3.846,1.360,6,5
holy,2.385,1.968,6,3
home,6.480,1.100,3,2
homework,5.440,1.143,6,2
honest,4.833,1.630,2,3
honey,4.346,1.355,6,2
honey_2,2.118,1.227,0,2
hongkong,2.667,1.500,6,2
honk,2.792,5.852,0,2
honor,3.667,1.778,6,5
hood,3.250,5.417,0,5
hop,3.467,6.125,7,2
hope,4.741,1.258,7,2
horrible,3.923,2.640,2,5
horse,3.516,1.769,6,2
hose,2.844,5.133,6,2
hospital,4.480,1.400,6,2
hospital_2(head),2.964,1.792,0,2
hot,6.296,2.226,2,2
hot_competition,5.171,2.346,2,5
hotdog,3.680,2.467,6,5
hotel,4.080,1.148,6,3
hour,5.333,3.000,6,3
house,5.385,5.217,6,5
how,5.556,3.267,5,5
how_2,5.815,1.452,3,1
howl,2.000,5.208,0,2
hug,6.148,6.645,7,5
humble,3.200,1.846,2,2
humor,3.083,2.000,0,2
hundred,1.833,1.792,0,2
hungry,5.767,3.133,2,2
hunt,2.500,4.778,7,5
hurdle_1,2.120,3.933,6,3
hurdle_2,2.391,3.966,7,3
hurricane,3.481,1.871,6,5
hurry,5.296,3.233,7,5
hurt,4.886,1.308,7,5
husband,5.000,1.278,6,2
hypocrite,4.308,1.576,2,5
I_love_you,6.889,3.848,7,2
ice,4.667,2.000,6,2
icecream,4.741,4.552,6,2
idea,5.111,5.400,6,2
identity,4.500,1.500,0,3
if,5.926,1.450,5,2
ignore,4.731,2.696,7,2
imagine,4.600,3.800,7,5
immature,4.667,2.103,2,2
immerse,2.800,2.333,7,2
impact,4.815,4.800,7,3
important,5.840,1.963,2,5
impossible,4.542,2.296,2,3
impress,5.593,2.633,7,3
improve,5.107,2.087,0,2
in,4.867,5.900,5,3
inch,1.385,2.000,0,1
incredible,3.286,2.091,0,5
independent,4.793,2.364,0,5
indian,3.138,2.167,2,2
inept,3.741,1.583,0,1
infection,4.500,1.261,0,2
influence,4.571,2.130,0,3
inhale,3.536,4.955,0,2
inject,2.654,6.333,7,2
innocent,4.667,1.594,2,5
inside,5.536,5.407,0,1
inspire,4.815,3.788,7,5
inspiring,4.481,4.273,2,2
instagram,3.625,1.292,0,2
instead,5.107,2.519,0,5
institute,4.833,1.792,0,1
insult,4.400,2.714,7,2
insurance,4.926,1.065,6,2
intelligent,4.222,3.783,0,2
intentional,4.889,2.344,2,2
interest,4.920,1.900,6,5
interested_2,5.630,1.581,2,5
internet,6.167,1.407,6,5
interpret,4.933,1.917,0,5
interpreter,6.148,1.419,6,1
intervene,4.700,2.920,0,1
interview,4.357,2.870,0,5
introduce,4.519,2.595,7,5
intuitive,5.111,2.656,2,2
invest,3.889,1.969,7,3
invisible,3.080,1.600,2,5
invite,4.367,3.111,7,2
iron,2.423,5.657,6,3
island,3.161,1.718,6,3
isolated,5.333,2.207,2,2
israel,2.320,1.033,6,2
italy,2.920,1.733,4,2
itch,3.143,6.480,0,2
jacket,4.133,5.222,6,5
japan,2.565,1.114,4,5
jar,3.296,6.033,6,3
jaw_drop,4.333,3.750,0,2
jealous,3.433,1.444,2,2
jelly,2.391,1.815,6,3
jellyfish,1.958,4.682,6,2
jewelry,2.000,4.250,0,5
jewish,3.267,1.889,2,2
jigsaw_puzzle,3.000,1.741,6,5
join,4.852,2.700,7,3
joke,4.962,1.348,7,1
journey,5.267,2.767,6,2
judge,4.040,2.733,6,5
juggle,1.778,6.371,7,5
juggler,2.867,6.800,6,5
juice_1,2.778,1.600,6,2
juice_2,3.593,1.850,6,2
jump,3.828,5.407,7,3
jump_rope,3.148,6.483,6,5
junior,3.517,1.318,0,1
kangaroo,1.958,5.080,6,5
keep,5.107,1.667,0,1
key,4.720,5.700,6,3
keyboard,3.950,6.233,6,5
kick,3.808,2.913,7,1
kid,5.733,1.314,6,2
kill,3.444,2.556,7,3
kindergarten,4.571,1.250,0,3
king,3.067,2.067,6,2
kiss,5.846,2.935,6,2
kiss_2,3.633,6.375,7,2
kiss_fist,5.862,1.636,0,2
kiss_on_cheek,4.556,4.750,6,2
kitchen,6.038,1.500,6,3
kite,2.037,4.633,6,3
kitten,2.192,2.440,0,2
kneel,2.533,4.111,7,3
knife,4.280,3.067,6,1
knight,1.188,4.643,0,2
knitting,2.958,4.042,7,5
knock,3.296,6.848,7,2
knock_off,2.400,3.833,0,2
know,5.767,4.633,7,2
know_nothing,4.750,3.609,0,2
label,4.600,3.083,0,3
lamp,4.731,3.625,6,2
land,3.192,4.094,6,5
language,5.387,1.579,6,5
laptop,5.793,2.917,6,1
last,4.875,1.519,1,1
last_week,5.714,2.429,0,3
late,5.067,1.700,2,2
later,5.333,2.750,3,2
laugh,5.267,4.750,7,5
law,5.074,2.000,6,3
lawnmower,3.080,3.800,6,5
lawyer,3.840,1.476,6,3
lay_down,3.533,3.833,0,3
lazy,5.407,1.567,2,2
lead,5.000,2.080,0,3
leaf,2.680,1.419,6,1
league,3.357,1.708,0,5
leak,4.000,3.933,7,1
learn,6.200,3.259,7,3
learn_lesson,4.344,3.310,7,2
leather,2.333,1.719,6,2
leave,4.320,2.467,7,5
leave_alone,3.560,2.375,0,5
lecture,4.733,1.833,6,2
left,4.464,5.000,0,2
lemon,4.452,1.514,6,2
lend,3.333,3.040,0,5
lesbian,4.143,2.625,0,2
less,4.438,4.433,2,3
lesson,4.038,3.323,6,3
let_go,5.259,4.600,7,5
let_know,5.296,2.226,7,5
let_me_see,6.486,3.923,7,2
letter,4.567,1.800,6,2
lettuce,4.484,1.444,6,2
library,4.963,1.448,6,2
lick_1,2.043,3.387,7,3
lick_2,3.538,2.967,7,2
lie,4.917,1.433,7,2
lift,3.654,5.906,7,5
light_weight,3.867,2.667,2,5
lighter,3.481,6.710,6,2
lightning,3.038,4.867,6,2
lights_on,4.667,3.419,7,5
like,6.222,3.563,7,2
limited,5.370,3.000,2,5
line,3.733,5.630,6,5
linguistics,3.926,1.583,0,5
lion,3.320,3.810,6,2
lipreading,4.567,4.733,7,2
lips,3.593,6.438,6,2
lipstick,3.720,5.967,6,2
list,4.852,4.889,6,3
live_1,4.440,1.733,7,5
live_2,5.440,2.000,7,5
living_room,3.778,1.452,6,2
load,2.900,3.917,0,5
lobster,2.923,4.833,6,5
lock,4.778,3.257,6,1
lock_2,4.179,6.826,0,3
lollipop,3.281,4.806,6,2
lonely,3.720,1.867,2,2
long,5.963,2.467,2,2
long_ago,5.500,2.240,0,2
long_line,4.593,4.400,6,5
long_time,5.138,2.000,0,2
long_word,4.143,4.087,0,5
look_appearance,4.680,5.633,7,2
look_at,5.080,5.185,7,2
look_away,4.192,1.871,7,2
look_back,4.833,3.240,0,2
look_for,5.520,3.400,7,2
look_forward,5.259,3.800,7,5
look_like,5.444,3.650,7,2
lose,4.077,1.478,7,3
lose_game,3.867,2.074,7,3
lost,4.828,2.000,0,5
loud,3.808,3.226,3,5
lousy,5.333,2.125,2,2
love,6.556,5.967,7,5
loyal,3.038,2.720,2,2
luck,2.692,1.583,0,2
lucky,4.704,1.290,2,2
lunch_1,5.593,2.313,6,2
lunch_2,4.778,2.531,6,2
lungs,3.423,4.931,6,5
machine,4.720,1.333,6,5
mad,5.593,4.000,2,2
magazine,4.519,1.300,6,3
magic,2.538,3.652,6,5
magnet,2.250,3.857,6,5
magnify,3.000,5.600,7,2
maid,3.478,1.679,6,2
mail,4.815,2.767,6,2
mailman,3.444,1.226,6,2
mainstream,4.310,2.227,0,5
major,3.900,1.320,0,1
make,5.567,2.867,7,5
make_believe,5.300,2.708,0,2
makeup,5.231,2.400,7,2
man,5.750,1.833,6,2
manage,3.679,1.920,0,5
many,5.423,3.783,5,5
maple,1.833,1.250,0,2
march,2.828,2.400,0,5
marionette,1.913,5.875,6,5
marry,3.333,4.258,7,5
mascara,2.769,5.667,6,2
massage,3.185,5.280,0,5
match,4.111,3.571,7,5
math,5.320,1.476,6,5
maybe,6.040,5.867,3,5
mcdonalds_2,2.259,5.267,4,2
me,6.760,7.000,5,2
mean_1,4.400,1.367,2,5
mean_2,5.000,1.300,7,4
mean_3(cruel),2.818,2.708,0,2
measure,3.179,1.889,6,1
meat,2.474,1.548,6,3
meat_2,4.960,2.097,6,3
mechanic_1,3.680,2.429,6,3
mechanic_2,2.741,5.270,6,3
medicine,4.900,1.771,6,3
meditate,4.033,5.440,0,5
meet,5.423,5.452,7,5
meeting,5.621,2.889,6,5
megaphone,2.800,5.217,6,5
melon,3.704,1.750,6,3
melt,4.481,3.061,7,5
member,4.963,2.065,6,2
memorize,0.000,3.250,7,2
memorize_memorize,4.300,4.156,7,2
mention(altvar),3.333,2.182,0,2
mess,5.000,1.682,0,5
metal,3.593,1.097,6,2
metaphor,2.167,1.586,6,3
mexican,1.643,1.500,0,2
mexican_1,4.333,1.375,0,2
microphone,2.630,6.677,6,2
microscope,1.667,5.714,6,5
microscope_2,2.038,5.806,6,1
microwave,3.778,1.867,6,5
middle,4.857,3.286,0,3
milk,6.233,4.211,6,2
mime,2.048,2.087,6,5
mind,4.583,6.481,6,2
mind_turned,4.133,3.280,0,2
MINIMUM,0.000,1.955,0,1
minute,4.792,2.593,6,3
mirror,4.880,6.429,6,2
mischievous,4.188,2.733,2,5
miss,5.423,2.875,7,2
missing,4.938,2.000,7,3
misunderstand,4.533,2.889,7,2
mix,4.679,5.739,0,5
mock,2.800,1.700,7,2
model_1(fashion),3.071,2.565,0,2
model_2,3.167,1.625,0,3
model_3,2.100,1.542,0,5
monday,5.690,1.029,4,2
money,6.033,3.233,6,3
monkey,2.619,5.880,6,5
monster,2.773,6.545,6,5
month,6.097,1.378,6,1
moon,4.323,2.833,6,2
moose,3.346,5.581,6,5
mop,3.615,4.640,6,5
more,6.458,1.767,5,5
morning,6.100,2.444,6,2
mosquito_1,2.250,4.000,0,3
most,5.657,1.923,5,1
mother,6.600,1.200,6,2
motivation_1,4.813,2.300,6,5
motivation_2,5.037,2.750,7,5
motorcycle,3.704,5.472,6,1
mountain,4.226,2.526,6,1
mouse,3.360,2.952,6,2
mouth,3.233,6.370,6,2
move,5.000,5.217,7,5
move_down,1.733,5.276,7,5
movie,5.370,1.543,6,1
movies,5.400,1.667,6,1
much,5.320,4.889,5,5
mummy,4.154,4.600,6,5
murder,3.846,3.065,7,3
muscle,4.148,4.600,6,2
museum,2.517,2.065,6,5
mushroom,4.125,3.613,6,3
music,4.133,1.657,6,2
must,6.407,3.355,7,2
mustache,2.261,6.846,6,5
my,6.310,6.133,5,2
myself,5.154,6.500,5,2
nail,3.556,6.250,7,3
nail_clipper,3.914,6.840,7,3
naked,4.643,1.583,0,3
name,5.926,1.257,6,1
napkin,4.130,4.857,6,2
navel,2.000,6.281,6,2
navy,2.619,1.792,0,5
near,5.333,3.567,5,1
neck_1,3.667,6.742,6,2
necklace,3.074,5.600,6,5
need,5.400,2.000,7,2
needle,2.750,4.609,0,2
negative,4.933,2.200,0,3
nephew,2.621,1.108,6,2
nerve,3.926,2.031,2,2
net,2.375,2.750,6,5
network,4.933,2.542,0,5
neutral,4.167,2.571,2,2
never,4.800,2.000,3,2
new,5.600,1.167,2,3
new_york,3.680,1.000,6,3
news_to_me,5.040,1.920,0,5
newspaper,4.037,1.633,6,3
next,4.900,5.600,5,1
next_down,2.448,2.182,0,3
next_to,4.704,5.382,5,1
next_year,5.414,2.000,0,1
nice,5.692,2.476,2,1
niece,1.808,1.040,6,2
night,6.032,1.919,6,1
nine,5.067,1.719,1,2
No,6.433,1.314,5,2
no_big_deal,5.107,4.417,0,5
noise,4.531,4.033,6,5
none,3.167,1.917,0,3
noon_1,4.296,2.050,6,2
noon_2,5.308,4.188,6,2
noose,2.320,6.125,6,2
normal,5.556,1.567,2,3
north,4.800,1.267,6,2
nose,4.154,6.900,6,2
not,5.600,2.192,5,2
not_a_thing,4.800,2.083,0,2
not_care,5.423,4.400,5,2
not_interested,5.941,2.600,7,2
not_mind,4.778,2.667,7,2
not_understand,5.074,3.276,7,5
not_used_to,3.519,2.875,3,5
not_yet,5.519,1.857,3,2
nothing,6.320,3.037,6,5
nothing_2,5.719,3.033,5,5
nothing_at_all,4.393,2.773,0,5
now,5.800,1.722,3,5
numbers,5.700,1.111,6,5
nurse,4.000,2.257,6,2
nut,4.259,1.667,6,2
obsess,4.448,1.636,0,2
obvious,5.000,3.069,2,5
ocean,4.346,3.700,6,5
octopus,2.720,4.879,6,3
off,5.200,3.385,5,2
off_the_point,4.889,3.250,3,3
offend,4.692,2.680,7,2
offhand,5.486,1.920,3,2
office,5.333,1.676,6,5
often,5.133,2.000,0,3
oh_I_see,6.771,3.960,7,2
oil,1.458,2.348,0,3
ok,6.519,4.290,5,2
old,5.038,2.371,2,2
oldest,5.000,1.500,0,2
on,5.233,3.394,5,1
once,5.133,4.167,0,3
one,6.148,6.970,6,2
one_more_1,4.964,3.083,0,3
one_more_2,4.833,3.560,0,2
one_year_ago,4.821,2.565,0,3
onion,5.280,4.286,6,2
ooh,5.286,3.074,0,2
oops,3.769,5.565,5,2
open,5.000,5.604,7,5
open_book,4.844,6.200,7,5
open_wallet,2.862,4.472,7,5
operate_machine,4.593,2.219,7,1
opinion_1(shake),5.033,2.560,0,2
opinion_2,3.652,2.667,0,2
opportunity,4.933,1.917,0,5
option,5.593,2.636,6,3
oral,4.300,4.429,2,2
orange,4.962,1.600,6,2
orange_eyes,4.821,4.438,6,5
orange_throat,4.731,2.933,6,2
order_1,4.600,4.444,6,5
order_2,4.467,1.750,6,2
organization,4.414,1.682,0,5
ostrich,2.053,3.313,6,3
other,5.500,2.367,2,2
our,5.815,2.188,5,2
out,4.813,4.517,5,3
outside,5.367,1.742,5,2
overlook,5.593,3.333,7,2
overnight,5.033,2.320,0,1
overtake,3.567,2.917,0,3
overwhelmed,4.769,4.100,2,5
owe,4.600,3.700,7,3
owl,2.731,4.167,6,5
own,4.640,3.917,7,5
pacifier,5.897,4.682,0,2
pack,4.929,4.478,0,5
page,4.556,2.448,6,3
pageant,2.538,5.043,0,2
pain,4.500,1.429,6,5
paint,4.074,5.189,7,1
paintbrush,2.963,4.100,6,3
pair,4.643,3.958,0,1
pancake,4.577,3.850,6,1
pants,3.677,4.421,6,5
paper,6.484,3.051,6,1
papercutter,2.560,4.857,6,1
parachute,1.548,5.829,7,4
parade,2.680,1.700,6,5
paragraph,3.484,1.833,6,3
parallel,3.607,4.833,0,1
paranoid,4.500,3.875,0,5
parents,6.560,1.333,6,2
park,5.200,1.645,7,3
party_1,5.333,2.806,6,5
party_2,4.720,4.281,6,5
pass,3.833,2.542,0,1
pass_out,4.778,2.063,7,2
passport,2.939,2.520,6,3
past,4.276,3.567,5,2
patient_1,3.625,1.185,6,2
patient_2,5.560,1.423,2,2
patient_3,4.889,1.733,2,2
pay,5.038,2.594,7,3
pay_off_bills,3.333,2.606,7,3
peace,3.600,2.481,6,5
peach,3.581,2.189,6,2
peacock,2.417,4.063,6,3
peanut_butter,4.438,1.700,6,2
pear,2.400,1.194,6,3
peas_1,1.150,1.939,6,3
peas_2,2.600,2.903,6,3
peekaboo,2.548,6.759,6,5
peel,2.760,3.958,0,3
peg,1.192,3.300,7,4
pen,5.500,5.806,6,3
pencil,4.296,3.967,6,2
penguin,2.889,6.242,6,5
penis,3.963,1.333,6,2
penny,2.808,1.162,6,2
people,6.000,2.100,6,5
pepper,3.000,3.167,6,2
pepsi,2.500,1.433,4,2
perceive,3.900,3.167,0,5
percent,3.483,2.407,6,2
perfect,3.654,2.100,2,5
perfume,2.556,2.533,6,2
perfume_2,3.222,6.667,7,2
period(that'sit),3.833,3.542,0,2
permission,4.769,2.167,6,5
persistent,5.200,2.840,2,5
person,4.840,1.370,6,5
perspective,4.821,2.393,0,3
persuade,3.423,1.586,6,5
pet,3.630,4.909,7,3
pharmacist,2.061,1.240,6,3
philadelphia,3.370,1.261,0,2
philosophy_2,3.316,1.833,0,2
photography,4.667,4.920,0,5
physics,3.067,1.788,6,5
piano,2.160,6.381,6,5
pickle_1,3.786,1.542,0,2
picnic_1,2.923,1.300,6,5
picture,6.259,2.167,6,2
pie,3.581,4.514,6,3
pig,3.885,1.467,6,2
pile,3.417,5.200,6,5
pill,3.880,3.370,6,2
pillow,2.593,5.000,6,5
pin_on,2.667,5.581,7,2
pinch,2.893,5.840,0,2
pink,4.467,1.233,2,2
pipe,1.909,4.267,6,2
pirate,2.720,5.333,6,2
pissed_off,5.286,3.542,0,2
pitcher,2.185,2.621,6,2
pity,4.133,1.472,6,5
pizza_1,4.250,1.667,6,5
pizza_2,5.188,1.733,6,2
pizza_cutter,1.875,4.690,6,5
pjs,3.500,1.563,6,2
place,5.778,2.107,6,5
place_2(y),1.444,2.185,0,5
plain,3.900,2.645,2,2
plan,5.633,2.000,7,5
planet,4.222,1.424,6,3
plant,4.829,3.000,6,3
plate,4.889,2.774,6,5
platform,3.933,5.719,6,5
play,5.967,2.400,7,5
players,4.731,2.095,6,5
playground,3.778,1.600,6,5
please,6.160,2.667,3,2
plenty,4.371,2.577,2,3
pliers,3.040,4.486,6,2
plow,0.000,4.435,0,5
plug_1,4.485,2.200,6,3
plummet,3.808,5.350,7,3
plunger,2.727,5.750,6,5
plus,4.517,6.591,0,1
point,3.577,4.486,6,3
pole,0.000,5.435,0,1
policeman,4.258,4.211,6,2
policy,4.000,1.227,0,3
polish,2.310,5.000,0,3
ponder,0.000,3.875,0,5
pool,2.038,5.194,6,3
poop,5.286,3.833,0,1
poor,3.833,1.704,2,2
pop,1.696,4.125,7,3
popcorn,3.778,3.000,6,5
pope,2.000,4.882,6,5
popular,5.200,1.480,0,3
porcupine,1.444,2.929,6,3
positive,5.233,4.917,0,1
possible,4.792,1.700,2,5
possum,3.536,2.125,0,1
postpone,5.107,2.321,0,1
potato,4.800,1.143,6,3
pour,3.333,6.500,7,2
powder,3.536,6.250,0,2
power,3.966,2.139,6,2
practice,5.519,2.121,7,3
prayer,3.500,6.833,6,5
preacher,2.630,1.147,6,2
precious,5.071,1.542,0,2
predict,4.963,1.727,7,3
prefer,3.520,1.577,7,2
pregnant,3.821,5.370,0,5
president,4.462,1.355,6,5
"press(click,poke,push)",3.417,5.417,0,3
press_in_mind,4.844,3.600,7,2
pretend,3.192,1.667,7,2
pretty,5.533,3.933,3,2
price,4.033,2.037,6,3
pride,5.419,2.571,6,2
priest,2.538,2.391,6,2
prince,1.741,2.269,6,2
principal,4.214,1.583,0,3
print,4.920,2.815,6,3
priority,4.867,1.720,0,3
prison,3.500,3.324,6,5
problem_1,5.033,1.750,6,5
problem_2,5.542,2.033,6,5
process,4.267,3.933,7,5
produce_sign,4.370,1.909,0,5
profoundly_deaf,4.357,4.542,0,2
project,4.700,1.400,0,3
promise,4.839,3.595,7,2
promote,3.462,3.694,7,5
proof,4.719,2.966,6,1
propeller_1,2.292,3.091,6,3
propeller_2,2.130,2.654,6,5
"propose(proposal,offer,submit,suggest)",4.929,4.542,0,5
protection,3.533,3.500,6,5
protest,3.857,3.542,0,2
provide,5.071,3.500,0,5
proximalization,1.417,2.120,0,2
psychologist,3.800,1.286,6,3
psychology,4.630,1.267,6,3
public,4.607,2.875,0,5
pull,3.778,6.645,7,5
pull_convince,4.077,1.650,7,5
pumpkin,2.929,1.125,0,3
punch_face,2.724,6.600,0,2
punish,3.800,2.667,7,2
purple,4.920,1.033,2,2
push,3.556,7.000,7,5
put,5.074,3.906,7,5
put_aside,4.519,6.313,7,5
put_in_back_mind,5.257,5.840,7,2
puzzled,4.920,3.593,2,2
Q_tip,3.074,5.719,6,2
qm,4.867,2.167,0,2
quality,4.233,1.667,0,2
quarter,1.900,1.292,0,2
queen,3.440,2.667,6,2
quiet,5.300,3.067,2,5
quit,4.778,2.125,7,3
rabbit,2.724,4.296,6,5
raccoon_1,3.000,4.625,0,5
race,5.296,3.000,7,5
radio,2.581,3.595,6,2
rafting,1.900,3.688,7,2
rain,5.760,5.429,6,5
rainbow,4.037,5.344,6,2
raisin,1.895,1.313,6,2
rake,2.231,5.880,7,3
range,2.667,2.417,0,1
rat,2.630,1.500,6,2
razor,3.833,5.588,6,2
react,4.036,1.833,0,5
read,6.387,4.571,7,3
ready,6.370,1.939,2,5
real_sick,4.741,1.586,7,5
really,5.800,2.067,3,2
really_into,4.036,1.542,0,2
reason,5.433,2.867,6,2
recent_1,5.357,1.667,0,2
recent_2(tap),4.893,1.333,0,2
recite,3.852,3.042,0,2
record,3.000,3.250,7,5
recording,2.840,2.267,7,5
red,5.069,1.037,2,2
red_faced,3.889,2.091,2,2
reduce,4.914,5.000,7,1
reflect,5.300,3.167,7,2
refrigerator,1.913,3.400,6,5
refuse,5.750,2.857,0,2
register,5.222,1.969,7,3
regular,5.200,1.640,0,1
relationship,4.960,3.259,6,1
relax,4.885,3.480,7,5
release(sameasFREEDOM),4.567,3.700,7,5
relief,5.500,3.630,0,5
religion,4.333,1.267,6,2
remember,5.700,1.370,7,2
remember_2,4.000,5.083,0,2
remind,4.900,1.958,0,3
remote_control,4.840,6.000,6,2
remove,4.467,4.125,0,3
replace,4.207,3.000,0,5
request,4.714,4.077,7,5
requirement,4.966,1.667,6,4
rescue,4.571,1.750,0,5
research,4.160,2.310,6,3
resent,5.241,2.000,0,2
resign(sameas'getoff'),4.000,2.960,0,3
resist,0.000,3.800,7,2
respect,5.500,2.480,0,5
responsibility,5.720,3.548,6,5
rest,5.375,3.963,7,5
rest_all_day,1.857,1.591,0,2
restaurant,5.889,1.290,6,2
restless,4.400,2.176,2,3
result,4.517,1.560,0,3
retire,3.815,1.273,0,5
retrieve,3.786,3.583,0,5
revenge,2.560,1.792,6,2
rhino,1.917,4.783,6,2
rich,4.231,2.938,2,3
ride,4.963,3.636,7,3
ride_2(vb),3.724,4.409,0,3
right_1,6.000,2.567,2,5
right_2,4.862,3.533,5,2
right_3(legal),5.276,1.636,0,1
ring,3.174,6.857,6,3
risk(take_risk),4.636,1.967,7,5
river,3.200,4.476,6,2
river_2,3.154,3.567,7,5
road,5.000,4.323,6,5
roar,2.429,3.273,0,2
roast,1.667,5.292,0,5
rob,2.808,4.333,7,5
robot,2.926,6.424,6,5
rock,3.700,4.289,6,1
rocket_1,1.886,4.038,6,3
rocket_2,2.063,5.258,7,3
rocking_chair_1,1.926,2.700,6,5
rocking_chair_2,2.520,2.500,6,5
role,4.071,2.667,0,3
roll,3.400,6.594,7,5
roll_up_sleeves,4.036,6.625,0,2
rollerblading,2.111,3.900,6,5
rollerskating,2.074,1.933,6,5
roof,2.769,6.606,6,5
room,5.742,4.154,6,5
roommate,3.857,1.625,0,5
rooster,2.667,4.381,6,2
rope,2.083,3.680,6,1
rose,3.630,1.400,6,2
rough,4.185,2.636,2,3
row,2.500,3.000,7,5
rude,3.750,1.444,2,3
ruin,4.778,2.000,7,1
rule,4.889,1.774,6,3
ruler,4.111,2.258,6,5
run,5.200,1.667,7,4
