EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
blanket,4.375,3.286,6,5
bleed,4.379,1.682,0,2
bless,4.259,2.313,7,5
blind,3.320,3.885,2,2
blinds_1,2.200,4.267,6,5
blinds_2,1.826,3.889,6,5
blink,4.370,5.969,7,5
blond,4.625,2.724,2,2
blood,3.600,2.000,6,2
bloom,2.522,5.650,7,5
blouse,2.800,2.750,0,2
blow,2.781,5.065,7,5
blow_mind,3.577,5.645,7,2
blue,4.630,1.074,2,2
blur,3.643,2.182,0,5
blush,2.810,3.727,0,5
board,4.500,1.320,0,2
boat,3.704,2.314,6,5
body,4.840,5.556,6,5
boil,4.308,3.043,7,5
boiling_mad,4.321,2.696,2,3
bolt,1.250,3.121,7,2
bomb,2.870,3.968,6,5
bone,3.167,2.467,6,5
book,6.677,6.684,6,5
boomerang,1.762,3.538,6,1
boots,2.933,1.371,6,5
bored,5.800,1.370,2,2
borrow,4.960,1.433,7,5
boss,5.240,1.800,6,2
boston,4.345,1.409,0,2
both,5.815,2.333,1,3
bother,5.071,1.920,7,1
bottle,3.846,4.258,6,3
bottom_2,1.643,3.313,6,2
bounce,2.360,6.000,7,2
bow_1,2.593,4.667,6,5
bow_2,2.375,4.188,6,5
bow_3,2.481,3.061,7,3
bowl,4.933,4.056,6,5
bowling,2.346,2.600,6,2
bowtie,1.903,5.077,6,5
box,4.833,4.889,6,5
boxing,3.115,6.750,7,5
boy,6.160,1.333,6,2
boyfriend,5.407,1.719,6,2
bra,3.240,6.190,6,5
bracelet,3.480,6.571,6,2
brag,3.720,3.733,7,5
braille,2.148,4.061,6,3
brainstorm,4.167,3.680,0,2
brainwash,3.743,4.692,7,2
brave,4.522,2.533,2,5
bread,5.259,1.433,6,3
break,5.148,5.967,7,5
break_down,5.037,4.182,7,5
breakdown,4.333,3.741,7,5
breakfast,6.037,2.375,6,2
breakfast_2,4.679,1.680,0,2
breaktime,5.414,2.720,0,3
breathe,4.038,5.391,7,5
brick,4.679,3.913,6,5
bridesmaid,3.000,2.333,6,5
bridge,4.200,3.286,6,2
bright,5.630,5.545,2,5
bring,6.185,5.030,7,5
broccoli_1,3.500,1.750,0,3
brother,5.480,1.074,6,2
brown,4.923,1.240,2,2
brush,3.733,6.622,6,2
bubbles,2.393,4.103,6,5
budget,4.286,1.577,6,1
buffalo,3.192,4.000,6,2
bug,4.360,2.963,6,2
building,5.360,2.857,6,5
bull,2.613,5.808,6,2
bulldozer,2.852,3.083,6,3
bullshit,5.172,1.636,0,2
burn,2.893,3.625,0,5
burp,1.529,4.645,7,2
bus,5.200,1.115,6,2
business,5.185,1.444,6,1
busted,4.593,2.759,2,5
busy,5.656,2.367,2,1
but,5.654,2.250,5,5
butter,5.065,1.944,6,3
butterfly,3.720,6.571,6,5
buttons,3.000,6.200,6,2
buy,5.577,3.080,7,3
bye,6.057,6.960,6,2
cabbage,4.000,1.074,6,2
cabinet,2.900,3.233,6,1
cafeteria,4.519,1.767,6,2
cake,3.296,2.000,6,3
calculator,3.074,3.438,6,3
calendar,5.296,1.839,6,1
california,5.107,1.217,4,2
call,4.967,6.481,7,2
call_2,4.467,1.458,0,1
call_attention,4.500,1.700,7,3
call_tty,3.400,1.267,7,3
calm,5.148,4.400,2,5
camcorder,4.700,2.656,6,2
camel_2,2.600,4.241,6,2
camera,4.800,6.700,6,3
cameraman,2.281,4.097,6,1
camping,4.355,2.667,6,5
can,6.000,1.680,7,5
canada,3.600,1.056,4,2
cancellation,3.933,4.778,6,3
cancer_1,4.423,2.095,6,2
cancer_2,3.963,1.606,6,3
candle,3.733,3.639,6,3
candy_1,4.419,1.897,6,2
candy_2,4.654,1.233,6,2
cannon,2.577,3.625,6,2
cannot,5.813,3.483,7,1
canoe,2.222,5.806,6,5
cape,1.600,3.576,6,5
caption,5.200,2.630,6,5
capture,4.250,4.542,7,3
car,6.556,6.200,6,5
car_accident,3.933,3.933,7,5
car_battery,3.314,1.880,6,5
cards,4.103,6.455,0,1
careful,5.320,1.467,2,5
carousel,2.000,2.880,6,5
carrot,3.296,3.533,6,2
carry,0.000,4.792,0,5
castle,1.579,3.481,6,5
casual,5.250,1.826,2,5
cat,5.097,4.618,6,2
catapult,1.500,6.097,7,2
catch,3.667,5.438,7,5
catch_2,2.778,5.680,7,2
catch_3,4.500,5.708,0,2
category,6.314,1.346,6,5
catepillar,2.760,4.172,6,3
catholic,2.920,5.100,2,2
caught,4.037,5.391,7,3
cause,3.778,2.028,7,5
ceiling,2.759,5.000,0,5
celebrate,4.933,2.208,0,5
celery_2,2.704,4.438,6,2
cemetary,3.000,1.893,6,5
center,3.433,3.333,6,1
cereal,4.741,1.467,6,2
certificate,4.583,1.846,6,5
chain,3.375,4.414,6,5
chair,5.714,2.200,6,1
challenge,4.480,3.276,6,5
champ,5.448,1.500,0,3
champion,5.815,1.742,6,3
chance,4.208,1.381,6,5
change,6.371,3.231,7,5
channel,2.933,3.484,6,2
chaos,5.185,2.250,6,5
character,3.625,1.500,6,2
charge,5.296,3.469,7,3
charge_card_1,5.406,3.433,6,3
chase,4.815,3.333,7,1
chat,5.500,1.867,7,5
cheap,5.926,2.194,2,1
cheat_1,4.037,1.533,7,3
cheat_2,2.560,1.333,7,2
check,5.000,6.000,7,3
cheek,3.692,6.100,6,2
cheer,3.481,5.864,0,5
cheerleader,2.320,3.609,6,5
cheese,5.630,1.700,6,1
cheese_grater,1.200,5.156,6,3
cherish,5.067,3.083,0,5
cherry,3.690,2.200,6,3
chew,3.000,3.563,7,2
chew_2(5),2.353,4.000,0,2
chicago,3.259,1.118,4,2
child,4.815,3.938,6,2
children,5.467,2.037,6,5
chimney,2.696,3.633,6,1
chin_1,1.429,6.654,6,2
chin_2,5.080,6.806,6,2
china,3.038,1.083,4,2
chisel,2.333,4.000,6,3
chocolate,5.560,1.846,6,3
choke,3.731,5.800,7,2
chop,5.185,5.742,7,1
chopsticks,4.704,3.633,6,2
christmas_1,4.000,1.531,6,2
christmas_2,2.000,1.773,6,2
christmas_3(1-handed),3.690,1.182,0,2
church,3.267,1.769,6,3
churn,2.516,5.417,7,5
cigar,2.250,3.633,6,2
cigarette,3.367,1.586,6,3
circle,3.656,6.600,6,2
circus_1,1.125,1.424,6,2
circuswheel,2.778,3.583,6,5
city,4.500,3.148,6,5
clap,3.222,6.767,7,5
class,4.720,1.167,6,5
clause,4.630,4.781,6,5
claw,2.192,4.094,6,3
clean,4.821,3.733,7,1
clear,4.269,3.667,2,5
cleftchin_1,2.696,5.400,6,2
cleftchin_2,2.250,5.360,6,2
click,4.926,5.032,7,2
climb_ladder,3.926,6.697,7,5
clip,4.517,4.000,0,3
clock,2.704,5.484,6,2
close,5.577,5.381,7,5
close_door,5.679,4.958,7,5
close_eyes,4.800,6.120,7,5
closet_1,3.240,2.000,6,3
closet_2,2.758,1.240,6,5
clothes,5.367,2.375,6,5
cloud_1,3.167,4.676,6,5
cloud_2,3.407,4.371,6,5
clown,2.680,4.952,6,2
clueless,5.111,3.938,2,2
coach,1.333,1.583,6,2
cocacola,2.846,1.000,4,2
cocaine,3.000,5.094,6,2
coconut,3.593,4.067,6,5
coffee,6.387,2.286,6,1
coins,1.632,1.914,6,3
cold,5.900,4.778,2,5
college,5.783,1.926,6,1
color,5.533,1.115,6,2
comb,3.000,6.185,7,2
come,4.833,6.250,7,2
come_here_E,4.286,6.750,0,2
come_out,4.469,4.655,7,3
comfortable,4.926,2.458,2,5
comment,4.607,2.111,7,5
committee,4.414,1.318,0,2
communication,5.760,4.400,6,5
community,5.100,1.600,0,5
commute,4.407,1.917,7,3
compass,2.593,2.844,6,3
complain,5.519,2.034,7,2
complex,4.500,1.833,2,5
computer,3.700,1.342,6,5
computer_mouse,3.900,4.700,6,2
concept,3.273,3.333,6,2
concerned,5.259,2.813,7,5
cone,1.500,2.552,6,1
confident,4.963,1.667,2,5
confidential,5.444,3.484,2,2
conflict,4.867,3.958,0,5
confused_1,5.100,4.320,0,2
confused_2,4.633,3.167,0,2
congratulations,4.800,5.500,5,5
connection,3.793,4.310,6,5
consume,4.500,3.760,0,2
contact,5.462,4.182,6,5
contact_lens,3.438,4.267,7,2
continue,4.615,2.742,7,5
convince,4.926,1.667,7,3
convince_2,4.036,2.292,7,5
cook,6.077,3.120,7,1
cookie,4.960,3.267,6,4
cool_1,6.037,2.818,2,2
