Code,EntryID,SignFrequency(M),Iconicity(M),MinimalNeighborhoodDensity,SignType,LexicalClass
A_01_010,cup,5.742,2.897,742,4,5
F_03_51,curious,5.852,1.625,0,2,4
J_01_052,curl,1.818,3.520,0,2,0
K_01_072,CURL_2,0,0,0,2,0
H_02_7,curly_hair,2.619,4.625,0,5,4
A_02_025,curtain,2.444,4.900,859,5,5
K_02_006,CURTSEY_1,0,0,0,5,0
K_03_038,CURTSEY_2,0,0,0,4,0
E_02_46,cut_1,3.241,6.333,0,2,1
F_01_65,cut_2,4.444,5.469,0,4,1
B_03_087,cute_1,5.200,3.267,774,2,4
C_01_045,cute_2,4.500,1.533,774,2,4
F_01_98,damn,4.778,2.758,0,2,7
B_02_063,dance,3.960,3.400,781,4,5
A_02_034,dancer,3.185,2.400,781,4,5
E_02_67,danger,4.250,1.586,0,4,5
E_01_12,dark,5.600,1.962,0,5,4
J_03_094,dark_2(b),5.483,3.727,0,5,0
C_03_029,dart,1.643,6.389,840,2,5
G_01_31,date_1,5.222,2.310,0,5,5
E_02_23,daughter,5.500,2.742,0,2,5
C_01_044,day,4.733,2.700,858,2,5
F_03_38,deaf_1,6.769,4.061,0,2,4
E_03_98,deaf_2,2.167,4.000,0,2,4
H_01_22,deaf_school,5.429,3.185,0,2,5
J_02_074,deal_cards,2.048,3.417,0,5,0
A_01_076,death,4.484,2.568,867,5,5
B_02_074,decide_1,4.240,2.300,751,2,1
D_03_057,decide_2,4.962,1.870,835,5,1
F_01_1,decline,3.444,3.906,0,2,1
K_01_073,DECORATE_1,0,0,0,5,0
K_02_030,DECORATE_2,0,0,0,5,0
F_03_85,dedicate_1,5.296,1.688,0,2,1
G_03_94,dedicate_2,2.792,1.773,0,5,1
C_03_006,deep,3.567,4.500,562,4,4
A_03_060,deer,3.360,5.381,922,5,5
G_03_90,defeat_2,3.200,3.136,0,2,1
G_02_61,definition,4.963,1.625,0,6,5
E_01_79,deflate,4.571,4.480,0,4,1
J_01_021,degree,4.167,2.280,0,5,0
H_03_1,delegate,2.130,1.583,0,2,5
H_02_9,deliberate,4.786,2.875,0,5,1
B_01_082,delicious,5.480,2.259,603,2,4
F_02_3,delinquent,4.593,1.774,0,4,5
D_03_080,demand,4.500,2.000,552,6,5
J_03_031,demote,3.586,3.955,0,5,0
H_02_30,dent,2.632,4.417,0,5,4
A_01_014,dentist,2.677,3.923,846,2,5
K_03_027,DENTIST_2,0,0,0,2,0
D_02_039,deny,4.000,2.839,867,5,1
A_01_086,deodorant,3.968,6.583,824,2,5
C_02_033,department,4.567,1.630,550,5,5
H_03_76,depend_on,4.786,1.667,0,5,1
E_02_59,depress,5.000,3.448,0,5,1
F_02_18,depth,4.556,5.097,0,4,5
A_03_008,desert,2.917,1.810,685,2,5
J_03_104,design,4.241,2.091,0,4,0
F_01_94,dessert,4.630,1.606,0,5,5
E_03_52,destroy,4.000,3.267,0,5,1
J_03_092,develop_1,4.690,2.273,0,3,0
H_01_050,develop_2,2.714,2.480,0,4,1
A_01_079,devil,3.355,3.378,774,2,5
K_01_047,DEVOUR,0,0,0,5,0
A_01_066,diamond,2.613,1.816,541,4,5
A_02_002,diaper,3.407,3.300,843,5,5
D_02_036,dice,3.222,6.129,867,2,1
F_03_35,dictionary,3.926,2.333,0,4,5
D_02_021,die,4.346,2.839,867,5,1
E_03_95,different,5.517,3.625,0,5,4
J_01_075,different_situation,4.345,1.560,0,2,0
K_02_119,DIG,0,0,0,4,0
G_02_19,dig_up,3.556,6.469,0,5,1
J_01_003,dilemma,3.400,2.920,0,5,0
F_02_49,dining_room,3.400,2.100,0,2,5
G_03_44,dinner,4.846,3.048,0,2,5
J_02_023,dinner_2(d),4.655,2.417,0,2,0
A_01_031,dinosaur,2.333,3.564,823,2,5
K_03_047,DINOSAUR_2,0,0,0,2,0
J_01_063,dip,3.633,5.400,0,4,0
K_01_065,DIP_2,0,0,0,4,0
K_02_052,DIP_3,0,0,0,4,0
H_01_14,director,4.185,2.143,0,5,5
C_03_026,dirty,5.533,2.750,889,2,4
B_02_066,disagreement,5.200,2.333,751,2,5
D_01_036,disappear,3.741,3.000,756,4,1
G_03_18,disappoint,5.296,2.600,0,2,1
H_01_17,disconnect,4.786,4.560,0,5,1
E_03_81,discuss,5.767,2.172,0,4,1
F_03_6,dislike,5.444,3.152,0,2,1
D_03_035,disney,3.167,1.200,569,2,3
G_02_102,dispatch,0.000,3.364,0,3,1
E_03_76,disrupt,5.200,3.000,0,5,1
J_03_019,dissect,0.000,4.636,0,4,0
J_03_081,dissolve,4.655,2.818,0,5,0
D_02_029,dive,2.370,4.065,475,4,1
E_02_18,divide,4.563,4.700,0,5,1
C_01_063,divorce,4.100,2.933,840,5,5
H_02_102,dizzy,3.214,4.875,0,2,4
E_01_96,do_do,6.400,1.885,0,5,1
A_03_020,doctor,4.130,3.810,742,2,5
K_03_015,DOCTOR_2,0,0,0,2,0
H_01_97,document,5.036,3.375,0,4,1
F_03_31,doesnt_matter,6.074,5.030,0,5,1
A_01_056,dog,6.258,1.737,727,2,5
K_01_055,DOG_2,0,0,0,2,0
J_02_068,dog_3(slap),5.167,1.583,0,2,0
H_02_103,dog_4(slapsnap),4.500,1.750,0,2,5
C_02_049,doll,3.333,1.222,760,2,5
A_03_057,dolphin,2.500,5.952,534,2,5
K_02_021,DOLPHIN_2,0,0,0,2,0
K_03_032,DOLPHIN_3,0,0,0,2,0
J_01_087,dominant,4.833,3.840,0,5,0
J_01_012,donkey,2.533,3.880,0,5,0
G_03_82,dont_care,5.538,3.450,0,2,1
J_01_005,dont_feel_like,5.033,2.080,0,2,0
E_03_49,dont_know,6.133,5.774,0,5,1
F_01_33,dont_like,6.111,5.242,0,2,1
B_03_033,dont_mind,5.840,3.433,807,2,1
H_01_104,dont_need,5.714,3.833,0,2,4
E_02_14,dont_want,6.031,5.267,0,5,1
F_01_71,donut_1,3.259,3.000,0,5,5
E_02_48,donut_2,4.273,2.966,0,5,5
A_03_052,door,6.320,3.619,883,3,5
A_01_059,dormitory,4.323,1.108,551,2,5
H_03_84,double,4.857,3.250,0,4,2
B_01_057,doubt,5.440,2.185,774,2,1
G_03_55,down,4.615,6.800,0,2,7
H_03_12,downhill,3.821,5.917,0,3,4
C_03_046,download,3.138,2.667,589,5,1
C_01_055,downsize_1,2.308,5.484,840,5,1
D_02_058,downsize_2,4.111,5.226,840,5,1
K_01_022,DRAG,0,0,0,2,0
J_02_039,drag,2.500,5.042,0,5,0
F_01_11,dragon,2.556,4.121,0,2,5
D_02_063,draw,4.741,5.000,752,4,1
A_01_082,drawer,2.286,3.417,779,5,5
G_02_69,dreadlocks,2.296,5.000,0,5,5
B_02_044,dream,4.583,3.233,816,2,5
A_03_046,dress,4.720,5.048,842,5,5
J_03_057,dress_up,4.655,2.045,0,5,0
F_03_75,dresser,3.333,2.406,0,5,5
K_02_074,DRIBBLE,0,0,0,2,0
D_02_044,drill,2.808,4.419,756,4,5
B_02_012,drink,6.348,7.000,802,2,5
K_03_092,DRINK_2,0,0,0,2,0
F_02_102,drip,3.038,4.000,0,2,1
E_02_53,drive,5.813,2.767,0,5,1
C_03_052,drop,4.333,5.500,725,5,1
D_01_017,drown,1.875,2.611,658,4,1
K_01_093,DROWN_2,0,0,0,4,0
K_02_111,DROWN_3,0,0,0,4,0
K_03_077,DROWN_4,0,0,0,4,0
K_01_045,DROWN_5,0,0,0,4,0
F_01_40,drug,3.417,3.000,0,2,5
A_03_075,drum,2.000,6.048,765,5,5
C_03_077,drunk,3.967,1.639,758,2,4
F_03_5,dry,5.593,1.875,0,2,4
C_01_007,dryer,3.333,3.400,816,2,5
D_01_079,duck,3.370,4.500,600,2,5
K_02_068,DUCK_2,0,0,0,2,0
H_03_11,due,4.185,2.875,0,4,4
A_02_028,dumb,4.963,4.333,796,2,4
H_03_87,dust,1.500,3.625,0,2,5
H_03_8,duty,3.296,0,0,4,5
F_02_92,dye,4.296,2.710,0,5,1
F_02_59,each,5.222,2.645,0,3,7
H_02_76,each_other,4.179,2.417,0,5,7
D_03_066,eagle,2.846,2.292,760,2,5
K_03_021,EAGLE_2,0,0,0,2,0
D_02_071,ear,2.704,6.833,760,2,5
G_01_18,early,4.040,1.586,0,4,4
F_03_16,earmuffs,2.880,6.382,0,5,5
C_03_055,earn,4.207,1.618,658,4,1
C_03_011,earring,3.867,6.528,778,5,5
E_02_99,ears_up,4.241,4.138,0,5,1
C_03_002,earth,3.600,1.417,589,4,5
A_03_039,earthquake,3.640,3.810,447,4,5
F_01_44,easel,5.000,2.781,0,4,5
D_03_082,east,4.077,2.375,853,2,5
E_03_32,easter,3.100,1.933,0,5,5
D_01_070,easy,5.630,2.000,883,3,4
G_02_73,easy_to_do,5.615,2.781,0,3,1
B_02_002,eat_1,6.840,6.100,853,2,1
B_03_082,eat_2,6.680,5.867,853,2,1
F_02_15,eclipse,1.917,3.129,0,5,5
E_03_99,edge,2.889,4.563,0,3,5
F_01_68,edit_1,3.852,1.517,0,5,1
G_02_57,edit_2,3.154,1.844,0,5,1
G_02_44,effect,4.000,1.969,0,4,5
A_03_011,egg,5.440,1.571,861,5,5
E_01_7,egg_beater,2.059,6.154,0,2,1
D_01_014,ego,2.200,3.194,744,2,5
C_02_042,egypt,2.276,2.222,760,2,3
J_02_099,eight,4.379,1.583,0,2,0
J_01_085,either,5.333,2.680,0,3,0
A_02_005,electrician,3.148,1.300,765,5,5
K_01_096,ELECTROCUTE,0,0,0,5,0
D_03_042,elegance,4.231,1.875,889,2,5
J_01_070,elementary_school,4.138,1.360,0,4,0
A_02_059,elephant,3.259,5.500,880,2,5
E_03_72,elevator_1,2.720,4.094,0,4,5
G_03_36,elevator_2,4.519,3.950,0,4,5
K_03_002,ELEVATOR_3,0,0,0,4,0
E_01_52,eleven,5.857,4.560,0,2,2
B_03_083,email,5.292,1.333,882,4,5
C_01_014,embarrass,3.700,3.667,893,5,1
B_03_005,emotion,4.960,2.733,696,5,5
C_03_005,emperor,1.407,2.250,776,2,5
F_03_86,emphasis,4.926,2.063,0,4,5
E_02_72,empty_1,4.000,2.233,0,4,4
J_01_077,empty_2,2.900,5.400,0,5,0
E_01_74,end,5.514,4.458,0,3,1
E_02_45,enemy,4.406,2.133,0,5,5
G_02_56,energy,5.111,1.688,0,2,5
B_01_084,engagement,2.200,2.630,439,4,5
E_01_36,engine_start,4.686,1.192,0,5,1
A_03_014,engineer,3.480,1.857,772,3,5
A_01_011,english,4.645,1.026,730,3,5
D_03_033,enjoy,5.692,3.958,846,5,1
D_01_084,enough,4.741,3.694,835,4,6
E_02_76,enter,5.063,3.900,0,3,1
D_02_020,envelope,1.913,3.806,896,2,5
K_02_100,ENVELOPE_2,0,0,0,2,0
K_03_062,ENVELOPE_3,0,0,0,5,0
K_01_041,ENVELOPE_4,0,0,0,5,0
K_02_107,ENVELOPE_5,0,0,0,2,0
J_01_022,environment,4.867,1.720,0,4,0
C_01_052,equal,4.700,4.533,781,5,4
J_03_085,erase,4.250,5.227,0,4,0
K_03_098,ERASE_2,0,0,0,2,0
K_01_099,ERASE_3,0,0,0,2,0
K_02_042,ERASE_4,0,0,0,2,0
K_03_095,ERASE_5,0,0,0,2,0
C_01_072,eraser,4.633,4.533,739,4,5
H_03_17,erupt,3.346,6.250,0,4,0
K_01_119,ERUPT_2,0,0,0,5,0
H_01_33,escalate,2.200,4.208,0,2,0
F_01_36,escalator,3.889,4.879,0,2,5
G_01_12,escape,5.000,2.933,0,4,1
G_03_100,especially,4.923,2.043,0,6,6
C_02_010,europe,3.138,1.037,812,2,3
A_03_015,evaluate,4.760,2.952,791,5,1
F_03_57,even_1,4.593,0,0,5,6
D_02_047,evening,6.556,1.387,750,3,5
F_03_49,event,5.577,1.813,0,5,5
J_02_058,every_night,5.000,1.833,0,6,0
H_02_41,every_year,5.321,1.417,0,4,0
E_01_84,everyday,5.943,1.120,0,2,4
F_03_84,everything,5.630,2.600,0,5,7
G_03_103,evidence,4.577,2.609,0,4,5
G_02_24,example,5.704,2.548,0,4,5
H_01_102,excited,6.036,3.821,0,5,0
D_03_052,excuse,4.269,1.667,762,4,5
C_01_084,exercise,4.900,4.700,742,5,5
F_02_68,expect,5.370,1.548,0,2,1
C_01_064,expensive,5.000,2.433,629,4,4
B_02_064,experience,4.800,1.233,925,2,5
H_03_2,experiment,4.214,1.833,0,5,0
F_02_23,expert,5.407,1.200,0,2,4
J_03_099,expert(candoanything),3.750,1.545,0,5,0
C_02_053,explanation,5.967,1.852,768,5,5
H_01_53,explode,3.333,4.444,0,5,0
J_01_009,express(produce),4.667,3.240,0,5,0
H_03_39,eye-turn,4.179,5.292,0,5,0
A_01_012,eyeglasses,3.905,6.407,816,5,5
C_01_062,eyes,4.967,6.833,807,2,5
G_01_41,eyes_awake,4.320,2.897,0,5,1
E_01_53,face,5.114,6.560,0,2,5
J_02_061,faculty,4.200,1.792,0,2,0
J_02_053,fade,4.400,2.708,0,5,0
H_01_77,fail,4.400,2.143,0,3,0
G_03_46,faint,2.542,1.714,0,2,1
G_01_80,fair,5.704,3.387,0,5,1
G_03_80,fake,4.769,2.150,0,2,1
B_03_074,fall_1,4.680,1.300,879,2,5
C_03_007,fall_2,3.733,3.200,858,2,1
E_03_6,falling_asleep,4.250,1.818,0,5,1
C_01_025,family,5.967,2.000,681,5,5
E_03_85,famous,4.233,2.000,0,5,4
F_03_55,fan,2.926,3.094,0,4,5
J_01_045,fantasy,3.536,3.040,0,5,0
D_03_007,far,4.115,3.625,644,3,6
B_01_086,farm,3.625,1.037,727,2,5
E_01_87,fascinated,4.057,1.808,0,5,1
J_01_010,fashion,1.133,1.760,0,5,0
C_03_016,fast,5.034,1.361,840,5,6
C_01_011,fat,4.133,6.300,867,5,4
B_01_077,father,6.360,1.259,925,2,5
D_01_065,faucet,2.577,3.838,779,5,5
C_01_051,fault,4.800,2.567,751,2,5
B_01_024,favorite,5.480,1.633,714,2,5
G_02_46,feather,2.048,2.781,0,2,5
D_01_093,february,3.963,1.189,770,2,3
E_01_47,fed_up,5.886,4.760,0,2,1
G_03_58,feed,5.038,4.100,0,2,1
K_02_035,FEED_2,0,0,0,2,0
J_01_002,feedback,4.167,1.680,0,5,0
C_02_001,feel,5.655,3.630,551,2,1
G_01_6,fence,4.074,3.103,0,5,5
K_03_037,FENCE_2,0,0,0,5,0
F_01_83,fencing,1.926,5.750,0,2,1
C_02_067,few,4.429,2.370,853,2,7
F_03_34,fiance,4.407,4.000,0,4,5
J_03_046,fifth,4.250,3.818,0,2,0
B_03_058,fight,4.417,4.333,725,5,1
C_01_016,figure,3.690,1.871,861,5,1
J_03_102,file(catalog),3.517,2.909,0,4,0
K_01_038,FILE_3,0,0,0,5,0
K_02_036,FILE_4,0,0,0,2,0
H_01_99,fill_out,4.893,3.520,0,4,0
B_01_037,film,4.440,2.355,843,4,1
F_01_59,filter,3.593,2.706,0,5,1
D_01_012,finally,5.222,2.243,863,5,6
F_02_47,finance,4.407,1.258,0,4,5
B_03_076,find,5.280,1.800,774,2,1
C_01_043,fine_1,6.100,3.000,826,2,4
D_02_067,fine_2,6.185,3.452,826,2,4
G_02_97,finger,2.348,5.516,0,2,5
J_01_006,fingers_crossed_E,4.867,6.800,0,5,0
B_01_048,fingerspell,5.320,1.846,857,2,1
B_03_065,fingerspelling,5.400,2.700,878,2,5
B_03_025,finish,5.800,2.933,874,5,1
E_03_58,fins,2.308,5.357,0,5,5
B_03_090,fire,3.400,3.467,869,5,5
J_03_058,fired,4.069,2.091,0,4,0
A_02_039,fireman,2.913,2.067,925,2,5
K_03_052,FIREMAN_2,0,0,0,2,0
F_02_101,firetruck_1,2.222,1.903,0,2,5
C_01_033,first,5.767,4.867,877,2,2
A_03_040,fish,4.560,4.476,839,3,5
A_02_035,fishing,3.185,6.100,717,6,5
K_01_050,FISHING_2,0,0,0,4,0
E_02_7,fit,4.344,3.000,0,5,6
G_03_43,fix,5.440,2.667,0,5,1
B_01_036,flag,3.667,5.407,926,2,5
G_02_92,flag_2,4.519,5.750,0,2,5
A_03_084,flashlight,2.920,2.571,569,2,5
K_02_099,FLASHLIGHT_1,0,0,0,2,0
K_03_030,FLASHLIGHT_2,0,0,0,2,0
K_01_057,FLASHLIGHT_3,0,0,0,2,0
K_02_092,FLASHLIGHT_4,0,0,0,2,0
H_02_88,flip,3.607,5.667,0,2,0
E_01_66,flip_switch(sameasLIGHT_SWITCH),3.886,6.000,0,2,1
F_03_77,flipflops,3.692,3.452,0,4,5
E_03_43,float,1.929,4.828,0,2,1
K_03_007,FLOAT_2,0,0,0,2,0
K_01_082,FLOAT_3,0,0,0,2,0
D_01_062,floor,3.720,3.857,908,5,5
A_03_017,flower,4.920,1.857,772,2,5
E_02_36,flute,2.125,6.533,0,5,5
D_03_070,fly,2.885,6.680,874,5,1
J_03_056,focus,4.034,5.818,0,5,0
F_02_19,fold,4.115,6.032,0,5,1
K_02_072,FOLD_2,0,0,0,3,0
G_01_58,follow,5.481,3.345,0,5,1
H_03_29,follow_2,2.885,3.000,0,5,0
K_01_113,FOLLOW_3,0,0,0,4,0
K_03_016,FOLLOW_4,0,0,0,5,0
J_01_079,fond,2.105,1.680,0,2,0
J_02_102,fool,4.267,1.833,0,4,0
A_02_027,football,5.370,1.767,908,5,5
B_03_049,for,5.080,1.500,807,2,7
D_03_089,forbid,4.231,3.160,797,4,1
C_01_077,foreigner_1,2.407,1.200,887,2,5
C_03_067,foreigner_2,2.933,1.083,611,2,5
G_01_38,forest,5.630,3.897,0,2,5
D_03_072,forever,3.500,2.633,801,2,6
E_02_25,forever_2,4.500,1.867,0,2,5
D_02_038,forfeit,3.800,1.633,768,2,1
D_02_017,forgetful,4.519,4.323,925,2,4
E_01_49,fork,4.714,4.040,0,4,5
K_02_050,FORK_2,0,0,0,4,0
K_03_003,FORK_3,0,0,0,4,0
K_01_027,FORK_4,0,0,0,4,0
G_03_23,form,2.920,3.000,0,5,5
J_02_066,former,5.067,1.667,0,2,0
J_01_049,foul,2.550,1.480,0,2,0
C_01_029,four,5.333,6.900,923,2,2
H_03_4,fourth,4.607,5.500,0,2,0
A_03_041,fox,2.640,2.095,641,2,5
F_02_24,fraction,2.667,4.433,0,4,5
G_02_34,frame,2.263,5.581,0,5,5
D_02_078,france,3.111,1.452,771,2,3
D_02_070,fraud,2.526,1.233,861,2,5
G_02_9,freak_out,4.630,1.969,0,2,1
B_01_083,freckles,2.667,3.519,843,5,5
G_01_27,free,4.630,3.034,0,5,4
E_02_1,freedom(sameasRELEASE),4.344,2.536,0,5,5
B_03_001,freeway,3.840,1.667,908,5,5
F_03_10,freeze,4.630,3.424,0,5,1
C_02_022,french,2.571,1.259,770,2,5
A_01_085,frenchfries,4.645,2.139,768,2,5
B_02_020,friday,6.320,1.033,771,2,3
D_03_010,friend,6.462,2.250,702,5,5
C_02_031,friendly,3.933,4.630,895,5,4
J_03_034,friends_no_more,1.696,3.227,0,2,0
K_02_070,FRISK,0,0,0,5,0
D_03_059,frog,2.731,2.250,745,2,5
D_01_059,from,4.889,2.600,545,4,7
H_02_40,from_then_on,4.929,3.500,0,3,0
C_01_039,front,4.241,4.567,925,2,7
F_02_57,frown,5.593,5.935,0,2,1
K_03_115,FROWN_2,0,0,0,5,0
C_02_083,fruit,5.300,1.519,641,2,5
C_02_050,frustrate,4.667,2.296,925,2,1
H_01_69,fry,5.500,2.571,0,3,0
D_02_048,full,5.852,2.667,835,4,4
E_02_57,fun,5.969,1.700,0,2,4
J_02_071,function,3.966,1.792,0,4,0
E_03_38,funny,5.552,3.800,0,2,4
C_02_059,furniture,3.261,1.000,840,2,5
C_03_080,future,4.900,2.833,920,2,5
K_02_123,FUZZY,0,0,0,4,0
B_02_010,gallaudet,4.200,1.067,780,2,3
F_01_51,gamble,3.593,5.636,0,2,1
C_03_047,game,5.833,1.583,834,5,5
A_03_022,garage,4.280,2.000,869,4,5
G_02_28,garlic,3.696,1.774,0,2,5
A_03_090,gas,6.080,3.857,754,4,5
E_03_64,gate,3.759,5.875,0,3,5
E_02_73,gate_close,4.000,5.267,0,3,1
D_03_011,gay,4.692,1.250,763,2,4
H_01_32,generation,4.750,2.560,0,5,0
H_02_24,genius,4.071,3.167,0,2,0
D_02_088,germany,2.926,1.033,874,5,3
J_03_086,gesture,4.241,2.909,0,5,0
B_03_007,get,5.760,4.533,733,5,1
J_03_010,get_in_bed,4.172,2.273,0,4,0
E_01_57,get_information_out_of,3.152,1.920,0,3,1
H_01_93,get_off,4.107,3.560,0,4,0
F_03_47,get_through,5.333,6.188,0,4,1
J_02_073,get_together,4.833,4.833,0,5,0
E_01_32,ghost,3.800,1.269,0,5,5
E_01_55,gift,5.143,1.920,0,5,5
A_03_049,giraffe,2.636,4.762,627,3,5
C_03_073,girl,4.552,1.528,758,2,5
F_01_23,give,5.667,4.909,0,2,1
H_03_28,give_up,3.857,5.000,0,5,0
E_01_90,glass,5.657,5.080,0,4,5
K_01_115,GLASS_2,0,0,0,2,0
K_02_059,GLASS_3,0,0,0,2,0
B_03_036,glasses,3.750,5.200,830,5,5
A_02_087,glove,3.846,6.367,908,3,5
A_02_026,gloves,2.885,6.267,883,3,5
K_03_049,GLOVES_2,0,0,0,4,0
K_01_012,GLOVES_3,0,0,0,4,0
K_02_105,GLOVES_4,0,0,0,3,0
D_03_093,glow,2.696,2.760,759,5,5
K_03_117,GLUE_1,0,0,0,4,0
F_01_96,glue_2,3.385,3.438,0,5,1
C_03_056,go,6.033,5.583,839,5,1
J_01_041,go_ahead,6.067,2.880,0,5,0
H_01_52,go_back_and_forth,3.731,4.741,0,5,0
E_01_75,go_on,5.886,5.520,0,5,1
J_03_017,go_through(list),4.517,3.227,0,4,0
F_03_99,go_to_jail,3.926,2.563,0,5,1
E_03_48,goal,5.000,4.000,0,5,5
A_02_024,goat,2.037,3.200,581,2,5
G_01_74,goatee,2.250,5.067,0,2,5
D_02_068,god,4.519,2.448,920,2,3
G_03_21,going_through_a_hard_time,4.000,2.650,0,5,1
D_02_009,gold,3.231,1.032,801,2,5
A_02_017,golf,3.333,5.567,624,6,5
G_03_51,gone,5.308,2.190,0,4,4
B_01_052,good,6.440,1.630,897,2,4
G_03_83,goody_goody,4.038,2.050,0,2,4
J_01_072,goody_goody_shoe_opposite,1.714,1.320,0,2,0
G_03_96,goosebumps,3.769,3.409,0,2,5
A_02_044,gorilla,2.593,6.800,742,5,5
D_01_029,gossip,4.222,3.162,766,5,5
H_02_72,gotcha,4.393,2.792,0,2,0
B_02_062,government,4.480,1.300,785,2,5
E_03_39,grab,3.967,6.400,0,5,1
F_02_76,grade,4.077,1.484,0,4,5
B_03_081,graduate,4.240,1.267,541,4,1
H_02_52,graduate_school,4.214,1.375,0,2,0
J_03_078,grammar,3.966,1.227,0,5,0
B_02_036,grandfather,4.360,1.267,880,2,5
C_02_027,grandmother,4.500,1.333,880,2,5
H_01_89,grandparents,4.429,1.778,0,5,0
A_02_089,grapes,4.333,2.133,744,4,5
K_01_010,GRAPES_2,0,0,0,4,0
E_01_6,grasp,2.406,6.308,0,2,1
A_03_031,grass,4.880,1.762,859,2,5
F_01_80,gray,4.037,1.781,0,5,4
J_03_016,great,4.621,1.773,0,5,0
C_02_048,greece,2.429,1.037,780,2,3
B_02_085,green,5.400,1.067,789,2,4
G_02_1,green_beans,3.148,2.031,0,2,5
J_01_042,greet,3.133,6.200,0,5,0
K_02_095,GREET_2,0,0,0,2,0
E_02_10,grenade,1.786,6.069,0,3,5
E_03_100,grieve,4.200,2.000,0,5,1
J_02_094,grind,4.172,5.375,0,3,0
J_01_001,group,4.867,2.560,0,5,0
B_02_042,grow,4.840,5.467,708,4,1
J_01_036,grow_up,5.500,5.600,0,2,0
C_01_057,guess_1,4.897,2.233,775,2,1
D_02_013,guess_2,4.815,1.806,775,2,1
E_03_57,guide,5.000,3.200,0,6,1
G_01_8,guillotine_1,2.150,4.867,0,2,5
F_01_93,guillotine_2,2.148,5.424,0,2,1
D_03_085,guilty,3.538,1.708,759,2,4
A_02_077,guitar,2.630,6.967,775,2,5
C_02_058,gullible,3.433,1.423,806,2,4
G_02_10,gum,5.037,3.452,0,2,5
D_02_046,gun,3.407,6.710,842,2,5
K_03_105,GUN_2,0,0,0,2,0
K_01_069,GUN_3,0,0,0,2,0
G_03_3,gym,4.000,2.800,0,5,5
E_03_67,habit,5.100,1.548,0,5,5
H_01_90,had_enough,4.500,5.542,0,2,0
G_02_103,haha,5.556,2.667,0,2,7
A_02_056,hair,5.444,6.900,763,2,5
K_02_053,HAIR_2,0,0,0,2,0
E_02_80,hair_clipper,2.194,4.133,0,2,1
C_02_081,haircut,3.000,1.185,828,5,5
G_03_16,hairdresser,4.444,4.000,0,5,5
B_02_078,hairdryer,3.200,4.067,861,2,5
K_03_056,HAIRDRYER_2,0,0,0,2,0
K_01_091,HAIRDRYER_3,0,0,0,2,0
F_03_40,half,5.000,3.788,0,2,5
J_02_024,half_hour,4.933,2.625,0,3,0
F_01_97,hall,3.556,3.485,0,5,5
G_03_11,halloween_1,3.407,2.200,0,5,5
G_02_35,halloween_2,3.815,2.656,0,5,5
A_01_004,hamburger,4.429,3.640,703,5,5
C_02_021,hammer,2.500,5.968,844,2,5
E_03_73,hamster_1,3.067,1.406,0,2,5
G_01_89,hand_soap,3.593,6.333,0,4,1
G_01_88,handcuffs,2.889,5.667,0,2,5
G_01_65,hands,4.815,4.379,0,3,5
H_02_27,hands_off,4.786,3.000,0,5,0
J_03_018,handsome,2.167,1.909,0,2,0
F_01_3,handsome_1,4.346,2.394,0,2,4
G_01_98,handsome_2,2.158,1.935,0,2,4
E_03_41,handsome_3,3.067,1.633,0,2,4
E_02_63,hang,2.565,5.750,0,2,1
K_02_069,HANG_CLOTHES,0,0,0,5,0
G_02_30,hanukkah,3.667,3.548,0,5,5
B_03_080,happen,5.208,1.867,830,5,1
C_03_078,happy,5.700,3.250,846,2,4
C_01_036,hard,5.793,2.233,658,5,4
J_01_050,hard_of_hearing,4.367,1.520,0,2,0
G_03_54,harmonica,1.750,6.143,0,5,5
F_02_73,harp,1.667,6.548,0,2,5
A_02_045,hat,4.407,5.033,925,2,5
K_03_099,HAT_2,0,0,0,5,0
J_03_106,hatbrim,3.345,5.136,0,2,0
J_02_069,hatch,1.824,3.292,0,5,0
K_01_007,HATCH_2,0,0,0,5,0
F_02_78,hate,5.407,4.000,0,5,1
B_03_057,have,6.125,3.533,698,5,1
J_03_054,hawaii,3.793,1.227,0,2,0
F_02_44,he,6.407,3.226,0,2,7
E_03_44,head,4.367,5.207,0,2,5
H_03_100,head_back,4.154,2.250,0,2,0
E_03_33,head_grind,3.276,3.167,0,2,1
B_01_027,headache,5.480,4.926,819,5,5
J_02_025,headcold,4.600,4.292,0,2,0
C_01_054,headphones,1.630,6.500,843,5,5
B_02_083,health,4.720,1.733,696,5,1
H_03_96,heap,4.286,4.792,0,2,0
E_01_97,hear,5.029,6.360,0,2,1
J_02_006,hear_2(3),3.533,6.625,0,2,0
C_02_023,hearing,5.857,1.000,802,2,1
B_01_015,hearing_aid,4.708,5.370,760,2,5
B_03_066,heart,3.480,5.400,493,5,5
E_03_97,heart_touch,5.067,4.125,0,2,1
H_02_63,heartbody,4.080,5.208,0,2,0
A_02_075,heaven,3.333,2.667,709,5,5
F_01_85,heavy,4.222,5.094,0,5,4
D_02_042,helicopter,2.481,4.903,835,4,5
K_02_004,HELICOPTER_2,0,0,0,0,0
K_03_063,HELICOPTER_3,0,0,0,0,0
G_03_8,hell,3.333,1.700,0,2,5
D_02_055,hello,6.519,5.167,897,2,7
D_02_034,helmet,2.360,6.323,787,5,5
K_01_066,HELMET_2,0,0,0,0,0
D_01_042,help,6.148,1.472,739,4,1
