Code,EntryID,SignFrequency(M),Iconicity(M),MinimalNeighborhoodDensity,SignType,LexicalClass
A_01_064,bag,5.452,5.730,867,2,5
K_02_015,BAG_2,0,0,0,2,0
A_01_060,bake_1,4.333,1.919,899,3,1
B_01_051,bake_2,5.120,2.259,860,3,1
C_02_046,balance,4.067,5.630,781,5,5
F_02_100,bald,3.593,4.161,0,2,4
C_02_044,ball,4.633,5.370,779,5,5
A_02_086,balloon,2.852,4.967,800,5,5
A_03_002,banana,3.875,5.381,742,4,5
K_02_097,BANANA_2,0,0,0,4,0
K_03_014,BANANA_3,0,0,0,3,0
K_01_061,BANANA_4,0,0,0,4,0
F_02_20,band_aid_1,2.864,4.097,0,4,5
F_03_20,bandage,3.000,5.091,0,3,5
H_01_88,bandaid,3.893,4.120,0,4,5
D_02_032,bank,4.741,1.161,923,2,5
A_03_072,bar,4.087,2.190,831,2,5
H_03_37,barely,4.821,1.792,0,2,6
J_02_051,bark,3.448,2.667,0,5,0
K_01_074,BARK_2,0,0,0,5,0
K_02_096,BARK_3,0,0,0,2,0
G_01_101,barrette_1,2.577,4.633,0,2,5
A_03_043,baseball,4.120,6.571,772,5,5
G_02_72,baseball_cap,4.480,5.531,0,2,5
C_01_034,basement,2.867,3.167,656,4,5
E_01_101,basic,4.771,1.808,0,3,4
G_03_70,basket_1,2.833,1.550,0,2,5
E_01_60,basket_2,4.471,4.040,0,5,5
A_03_045,basketball,5.040,3.381,746,5,5
H_02_4,basketball_2,2.429,5.304,0,2,5
K_01_013,BASKETBALL_2,0,0,0,5,0
G_03_53,baster_1,2.786,2.714,0,2,1
F_03_43,bat_1,2.435,3.406,0,5,5
E_01_21,bat_2,4.629,6.615,0,5,5
F_02_28,bat_3,3.731,7.000,0,5,1
B_01_019,bath,4.920,2.000,814,5,5
A_02_051,bathroom,6.556,1.300,786,2,5
K_02_101,BATHTUB,0,0,0,5,0
D_02_089,battery,5.148,1.800,765,5,5
G_02_29,beach,3.846,3.313,0,4,5
G_03_48,beak,1.842,4.381,0,2,5
E_03_91,beanie,3.115,5.438,0,5,1
E_02_69,beans,2.806,2.000,0,4,5
D_03_063,bear,3.115,3.000,894,5,5
C_03_085,beard,3.300,6.139,787,5,5
D_03_020,beat,3.240,1.625,674,2,1
F_02_67,beaver,4.840,2.613,0,2,5
B_01_049,because,4.240,1.296,890,2,7
H_02_8,become,4.357,2.261,0,5,1
A_03_037,bed,6.120,6.095,889,2,5
K_03_004,BED_2,0,0,0,5,0
D_01_056,bedroom,4.444,4.000,892,5,5
E_03_18,bee,3.400,1.750,0,2,5
J_02_101,bee_2(ck),3.821,2.083,0,2,0
B_03_062,beer,4.760,1.333,925,2,5
G_02_53,before,4.667,4.152,0,3,7
F_02_37,beg,3.815,2.900,0,2,1
C_02_036,behavior,3.741,1.481,908,5,5
B_02_048,behind,4.200,2.633,655,3,7
D_02_049,believe,5.370,2.355,801,2,1
G_02_11,believe_2,5.926,5.000,0,2,1
G_02_18,bell,2.833,3.750,0,4,5
A_03_036,belt,2.130,6.524,773,5,5
E_02_93,belt_3,3.688,4.267,0,5,1
G_03_31,bend,3.280,6.000,0,5,1
C_02_056,benefit,3.000,1.645,760,2,5
E_01_95,berry_1,3.600,1.760,0,4,5
F_02_62,best,5.926,2.839,0,2,4
F_02_27,bet,4.385,2.517,0,5,1
F_01_62,better,6.370,1.909,0,2,4
J_03_003,between,4.448,3.318,0,3,0
E_02_103,bib,3.563,4.800,0,5,5
D_02_026,bicycle,5.185,5.484,702,5,5
F_02_54,big,3.474,2.226,0,5,4
E_03_92,bind,4.167,5.250,0,5,1
A_03_074,binoculars,2.375,6.952,798,5,5
A_02_015,biology,3.444,1.367,869,5,5
A_01_041,bird,5.161,4.553,663,2,5
C_02_076,birth,4.367,2.519,829,3,5
D_01_054,birthday,5.185,1.242,567,2,5
E_02_68,bison,2.667,3.267,0,5,5
H_01_58,bitch,4.292,2.000,0,2,5
K_02_045,BITE,0,0,0,2,0
G_02_99,bite,4.370,5.563,0,4,1
K_03_082,BITE_ON_ARM,0,0,0,2,0
E_03_35,bite_on_neck,2.167,6.333,0,2,1
B_02_006,black,5.920,1.200,816,2,4
K_03_124,BLACKBIRD,0,0,0,2,0
G_01_5,blame,3.615,1.733,0,4,1
H_02_6,blank,2.429,2.304,0,5,4
A_03_032,blanket,4.375,3.286,894,5,5
J_03_075,bleed,4.379,1.682,0,2,0
G_02_16,bless,4.259,2.313,0,5,1
B_01_016,blind,3.320,3.885,622,2,4
B_02_081,blinds_1,2.200,4.267,904,5,5
C_03_014,blinds_2,1.826,3.889,870,5,5
G_02_55,blink,4.370,5.969,0,5,1
E_02_102,blond,4.625,2.724,0,2,4
C_01_087,blood,3.600,2.000,805,2,5
G_03_14,bloom,2.522,5.650,0,5,1
J_02_104,blouse,2.800,2.750,0,2,0
E_02_96,blow,2.781,5.065,0,5,1
K_01_070,BLOW_CANDLE_1,0,0,0,3,0
K_02_022,BLOW_CANDLE_2,0,0,0,2,0
F_02_45,blow_mind,3.577,5.645,0,2,1
C_02_062,blue,4.630,1.074,923,2,4
J_03_088,blur,3.643,2.182,0,5,0
J_03_100,blush,2.810,3.727,0,5,0
J_01_105,board,4.500,1.320,0,2,0
D_01_055,boat,3.704,2.314,908,5,5
B_01_047,body,4.840,5.556,853,5,5
G_03_101,boil,4.308,3.043,0,5,1
K_03_054,BOIL_2,0,0,0,4,0
H_02_25,boiling_mad,4.321,2.696,0,4,4
F_01_89,bolt,1.250,3.121,0,2,1
F_02_55,bomb,2.870,3.968,0,5,5
C_03_015,bone,3.167,2.467,719,5,5
A_01_027,book,6.677,6.684,908,5,5
E_01_37,boomerang,1.762,3.538,0,3,5
C_03_019,boots,2.933,1.371,908,5,5
K_03_101,BOOTS_2,0,0,0,5,0
B_01_017,bored,5.800,1.370,816,2,4
K_03_122,BORED_2,0,0,0,3,0
B_03_055,borrow,4.960,1.433,593,5,1
B_02_052,boss,5.240,1.800,830,2,5
J_03_001,boston,4.345,1.409,0,2,0
H_01_76,both,5.815,2.333,0,4,2
H_01_40,bother,5.071,1.920,0,3,1
D_02_064,bottle,3.846,4.258,677,4,5
F_01_66,bottom_2,1.643,3.313,0,2,5
H_03_57,bounce,2.360,6.000,0,2,1
F_03_65,bow_1,2.593,4.667,0,5,5
G_02_63,bow_2,2.375,4.188,0,5,5
F_01_60,bow_3,2.481,3.061,0,4,1
K_02_016,BOW_4,0,0,0,2,0
C_03_049,bowl,4.933,4.056,704,5,5
A_02_003,bowling,2.346,2.600,872,2,5
K_01_067,BOWLING_2,0,0,0,2,0
A_01_044,bowtie,1.903,5.077,619,5,5
C_03_025,box,4.833,4.889,859,5,5
F_03_50,boxing,3.115,6.750,0,5,1
B_02_090,boy,6.160,1.333,799,2,5
G_02_58,boyfriend,5.407,1.719,0,2,5
A_03_028,bra,3.240,6.190,864,5,5
K_01_090,BRA_2,0,0,0,2,0
K_02_039,BRA_3,0,0,0,2,0
A_03_024,bracelet,3.480,6.571,666,2,5
B_03_011,brag,3.720,3.733,814,5,1
K_03_125,BRAIDS,0,0,0,5,0
F_01_78,braille,2.148,4.061,0,4,5
J_01_103,brainstorm,4.167,3.680,0,2,0
E_01_30,brainwash,3.743,4.692,0,2,1
B_03_050,brave,4.522,2.533,696,5,4
A_02_058,bread,5.259,1.433,744,4,5
D_01_069,break,5.148,5.967,697,5,1
F_01_30,break_down,5.037,4.182,0,5,1
B_01_064,breakdown,4.333,3.741,689,5,1
F_01_73,breakfast,6.037,2.375,0,2,5
J_01_053,breakfast_2,4.679,1.680,0,2,0
J_01_047,breaktime,5.414,2.720,0,4,0
D_03_051,breathe,4.038,5.391,894,5,1
H_02_85,brick,4.679,3.913,0,5,5
A_03_016,bridesmaid,3.000,2.333,772,5,5
A_03_081,bridge,4.200,3.286,685,2,5
K_01_018,BRIDGE_2,0,0,0,2,0
F_03_28,bright,5.630,5.545,0,5,4
F_03_4,bring,6.185,5.030,0,5,1
J_02_096,broccoli_1,3.500,1.750,0,4,0
B_01_065,brother,5.480,1.074,685,2,5
D_03_045,brown,4.923,1.240,897,2,4
A_01_072,brush,3.733,6.622,796,2,5
E_02_52,bubbles,2.393,4.103,0,5,5
K_02_056,BUCKLE_1,0,0,0,3,0
K_03_073,BUCKLE_2,0,0,0,4,0
E_01_99,budget,4.286,1.577,0,3,5
F_03_33,buffalo,3.192,4.000,0,2,5
B_01_067,bug,4.360,2.963,774,2,5
A_03_088,building,5.360,2.857,861,5,5
E_01_98,bull,2.613,5.808,0,2,5
E_01_83,bulldozer,2.852,3.083,0,4,5
J_03_053,bullshit,5.172,1.636,0,2,0
K_01_123,BUMPY,0,0,0,4,0
K_03_121,BUN_HAIR,0,0,0,2,0
J_02_037,burn,2.893,3.625,0,5,0
F_03_9,burp,1.529,4.645,0,2,1
K_01_081,BURY,0,0,0,5,0
K_02_014,BURY_1,0,0,0,4,0
K_03_018,BURY_2,0,0,0,3,0
K_02_093,BURY_3,0,0,0,5,0
E_01_4,bus,5.200,1.115,0,2,5
D_01_022,business,5.185,1.444,883,3,5
G_01_22,busted,4.593,2.759,0,5,4
E_02_40,busy,5.656,2.367,0,3,4
D_03_030,but,5.654,2.250,840,5,7
A_01_034,butter,5.065,1.944,607,4,5
A_03_056,butterfly,3.720,6.571,874,5,5
F_02_25,buttons,3.000,6.200,0,2,5
D_03_074,buy,5.577,3.080,665,4,1
E_01_58,bye,6.057,6.960,0,2,5
B_01_073,cabbage,4.000,1.074,859,2,5
B_03_030,cabinet,2.900,3.233,779,3,5
A_02_054,cafeteria,4.519,1.767,851,2,5
D_01_033,cake,3.296,2.000,677,4,5
E_03_103,calculator,3.074,3.438,0,4,5
D_02_061,calendar,5.296,1.839,816,3,5
H_02_38,california,5.107,1.217,0,2,3
C_02_061,call,4.967,6.481,756,2,1
J_02_048,call_2,4.467,1.458,0,3,0
C_01_038,call_attention,4.500,1.700,832,4,1
B_03_026,call_tty,3.400,1.267,566,4,1
G_03_4,calm,5.148,4.400,0,5,4
E_03_21,camcorder,4.700,2.656,0,2,5
G_01_42,camel_2,2.600,4.241,0,2,5
B_03_073,camera,4.800,6.700,852,4,5
E_02_34,cameraman,2.281,4.097,0,3,5
A_01_045,camping,4.355,2.667,833,5,5
D_03_027,can,6.000,1.680,725,5,1
K_02_027,CAN_2,0,0,0,4,0
C_03_034,canada,3.600,1.056,824,2,3
C_02_017,cancellation,3.933,4.778,713,4,5
G_03_56,cancer_1,4.423,2.095,0,2,5
F_01_47,cancer_2,3.963,1.606,0,4,5
C_03_060,candle,3.733,3.639,843,4,5
A_01_018,candy_1,4.419,1.897,801,2,5
D_02_079,candy_2,4.654,1.233,774,2,5
G_02_37,cannon,2.577,3.625,0,2,5
E_02_94,cannot,5.813,3.483,0,3,1
D_01_045,canoe,2.222,5.806,679,5,5
F_01_4,cape,1.600,3.576,0,5,5
C_02_086,caption,5.200,2.630,768,5,5
H_03_48,capture,4.250,4.542,0,4,1
D_02_043,car,6.556,6.200,772,5,5
E_03_29,car_accident,3.933,3.933,0,5,1
E_01_39,car_battery,3.314,1.880,0,5,5
J_03_065,cards,4.103,6.455,0,3,0
B_03_039,careful,5.320,1.467,702,5,4
E_01_63,carousel,2.000,2.880,0,5,5
A_02_083,carrot,3.296,3.533,777,2,5
K_01_105,CARROT_2,0,0,0,2,0
K_03_075,CARROT_3,0,0,0,2,0
J_02_042,carry,0.000,4.792,0,5,0
K_02_026,CARVE,0,0,0,4,0
A_01_008,castle,1.579,3.481,662,5,5
K_01_017,CASTLE_2,0,0,0,5,0
K_02_019,CASTLE_3,0,0,0,5,0
K_03_110,CASTLE_4,0,0,0,5,0
H_02_50,casual,5.250,1.826,0,5,4
A_01_023,cat,5.097,4.618,760,2,5
K_02_047,CAT_2,0,0,0,5,0
K_03_087,CAT_3,0,0,0,5,0
E_03_83,catapult,1.500,6.097,0,2,1
G_02_33,catch,3.667,5.438,0,5,1
J_01_073,catch_2,2.778,5.680,0,2,1
K_03_109,CATCH_3,0,0,0,2,0
H_03_15,catch_3,4.500,5.708,0,2,0
K_02_058,CATCH_BASEBALL,0,0,0,4,0
E_01_34,category,6.314,1.346,0,5,5
G_01_25,catepillar,2.760,4.172,0,4,5
B_03_052,catholic,2.920,5.100,759,2,4
H_02_69,caught,4.037,5.391,0,4,1
D_01_088,cause,3.778,2.028,725,5,1
J_01_091,ceiling,2.759,5.000,0,5,0
J_02_100,celebrate,4.933,2.208,0,5,0
G_02_48,celery_2,2.704,4.438,0,2,5
K_01_128,CELLPHONE,0,0,0,2,0
H_01_37,cemetary,3.000,1.893,0,5,5
C_01_027,center,3.433,3.333,883,3,5
A_02_014,cereal,4.741,1.467,816,2,5
B_01_080,certificate,4.583,1.846,779,5,5
E_02_55,chain,3.375,4.414,0,5,5
A_01_017,chair,5.714,2.200,784,3,5
B_03_051,challenge,4.480,3.276,773,5,5
J_03_030,champ,5.448,1.500,0,4,0
G_01_81,champion,5.815,1.742,0,4,5
A_03_080,chance,4.208,1.381,704,5,5
E_01_31,change,6.371,3.231,0,5,1
C_03_023,channel,2.933,3.484,839,2,5
F_01_37,chaos,5.185,2.250,0,5,5
B_02_088,character,3.625,1.500,768,2,5
F_01_25,charge,5.296,3.469,0,4,1
E_02_56,charge_card_1,5.406,3.433,0,4,5
F_03_17,chase,4.815,3.333,0,3,1
C_01_079,chat,5.500,1.867,908,5,1
F_02_56,cheap,5.926,2.194,0,3,4
A_02_008,cheat_1,4.037,1.533,781,4,1
D_01_027,cheat_2,2.560,1.333,737,2,1
B_03_040,check,5.000,6.000,713,4,1
G_03_52,cheek,3.692,6.100,0,2,5
J_03_060,cheer,3.481,5.864,0,5,0
H_02_45,cheerleader,2.320,3.609,0,5,5
K_01_016,CHEERLEADER_2,0,0,0,5,0
A_02_021,cheese,5.630,1.700,839,3,5
F_03_64,cheese_grater,1.200,5.156,0,4,5
J_02_033,cherish,5.067,3.083,0,5,0
C_01_083,cherry,3.690,2.200,718,4,5
K_02_113,CHERRY_2,0,0,0,4,0
G_02_91,chew,3.000,3.563,0,2,1
J_02_027,chew_2(5),2.353,4.000,0,2,0
K_01_100,CHEW_2_mouth,0,0,0,2,0
K_02_041,CHEW_3,0,0,0,4,0
K_03_094,CHEW_4,0,0,0,5,0
D_01_043,chicago,3.259,1.118,812,2,3
F_03_101,child,4.815,3.938,0,2,5
C_02_066,children,5.467,2.037,908,5,5
E_02_64,chimney,2.696,3.633,0,3,5
E_01_20,chin_1,1.429,6.654,0,2,5
F_02_70,chin_2,5.080,6.806,0,2,5
D_03_061,china,3.038,1.083,803,2,3
F_03_41,chisel,2.333,4.000,0,4,5
B_01_002,chocolate,5.560,1.846,653,4,5
G_01_79,choke,3.731,5.800,0,2,1
F_02_99,chop,5.185,5.742,0,3,1
G_01_63,chopsticks,4.704,3.633,0,2,5
F_03_29,christmas_1,4.000,1.531,0,2,5
G_03_97,christmas_2,2.000,1.773,0,2,5
J_03_061,christmas_3(1-handed),3.690,1.182,0,2,0
C_02_018,church,3.267,1.769,742,4,5
E_01_46,churn,2.516,5.417,0,5,1
B_02_055,cigar,2.250,3.633,719,2,5
C_01_059,cigarette,3.367,1.586,750,4,5
E_02_62,circle,3.656,6.600,0,2,5
F_01_29,circus_1,1.125,1.424,0,2,5
H_02_65,circuswheel,2.778,3.583,0,5,5
B_01_029,city,4.500,3.148,870,5,5
K_02_076,CITY_2,0,0,0,5,0
G_01_96,clap,3.222,6.767,0,5,1
K_01_032,CLASH,0,0,0,5,0
B_03_068,class,4.720,1.167,746,5,5
F_03_13,clause,4.630,4.781,0,5,5
G_02_71,claw,2.192,4.094,0,4,5
E_03_82,clean,4.821,3.733,0,3,1
D_01_006,clear,4.269,3.667,752,5,4
E_01_54,cleftchin_1,2.696,5.400,0,2,5
E_01_45,cleftchin_2,2.250,5.360,0,2,5
G_01_47,click,4.926,5.032,0,2,1
J_01_031,client,4.533,0,0,5,0
F_01_103,climb_ladder,3.926,6.697,0,5,1
J_01_083,clip,4.517,4.000,0,4,0
D_02_076,clock,2.704,5.484,746,2,5
K_02_038,CLOCK_2,0,0,0,5,0
G_03_84,close,5.577,5.381,0,5,1
H_03_61,close_door,5.679,4.958,0,5,1
E_01_68,close_eyes,4.800,6.120,0,5,1
F_03_97,closet_1,3.240,2.000,0,4,5
E_01_91,closet_2,2.758,1.240,0,5,5
E_03_96,clothes,5.367,2.375,0,5,5
A_01_077,cloud_1,3.167,4.676,810,5,5
D_01_092,cloud_2,3.407,4.371,711,5,5
