,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
117,E_01_059,bachelor,4.147,1.24,8,4,5
118,D_03_029,back,4.731,5.457999999999998,4,4,2
119,F_01_041,back_out,4.259,3.636,1,1,7
120,G_01_102,back_up,4.148,4.258,4,5,7
121,G_03_091,backpack_1,3.28,3.545,0,5,5
122,G_01_064,backpack_2,3.44,3.71,6,5,5
123,F_03_003,backyard,3.37,3.333,4,4,5
124,A_03_073,bacon,5.0,3.381,1,5,5
125,B_02_082,bad,5.5,1.567,1,4,1
126,F_03_096,badge,2.25,6.063,1,5,5
127,A_01_064,bag,5.452000000000001,5.73,5,4,5
128,K_02_015,bag_2,3.2110000000000003,1.5,1,4,5
129,A_01_060,bake_1,4.333,1.919,0,0,7
130,B_01_051,bake_2,5.12,2.259,2,0,7
131,C_02_046,balance,4.067,5.63,11,5,5
132,F_02_100,bald,3.593,4.1610000000000005,0,4,1
133,C_02_044,ball,4.633,5.37,14,5,5
134,A_02_086,balloon,2.852,4.967,2,5,5
135,A_03_002,banana,3.875,5.381,0,1,5
136,K_02_097,banana_2,4.32,2.458,0,1,5
137,K_03_014,banana_3,1.538,2.2,2,0,5
138,K_01_061,banana_4,4.615,3.4,1,1,5
139,F_02_020,band_aid_1,2.864,4.097,0,1,5
140,H_01_088,band_aid_2,3.893,4.1,1,1,5
141,F_03_020,bandage,3.0,5.091,0,0,5
142,D_02_032,bank,4.7410000000000005,1.161,2,4,5
143,A_03_072,bar,4.087,2.19,5,4,5
144,H_03_037,barely,4.8210000000000015,1.7919999999999998,5,4,2
145,J_02_051,bark_1,3.448,2.64,1,5,7
146,K_01_074,bark_2,5.222,3.96,1,5,7
147,K_02_096,bark_3,3.087,4.333,0,4,7
148,G_01_101,barrette,2.577,4.633,1,4,5
149,A_03_043,baseball,4.12,6.5710000000000015,16,5,5
150,G_02_072,baseball_cap,4.48,5.5310000000000015,10,4,5
151,C_01_034,basement,2.867,3.167,1,1,5
152,E_01_101,basic,4.771,1.808,0,0,1
153,G_03_070,basket_1,2.833,1.55,2,4,5
154,E_01_060,basket_2,4.471,4.04,7,5,5
155,A_03_045,basketball,5.04,3.381,4,5,5
156,H_02_004,basketball_2,2.4290000000000003,5.3039999999999985,8,4,5
157,K_01_013,basketball_3,4.963,1.92,0,5,5
158,F_03_043,bat_1,2.435,3.406,0,5,5
159,E_01_021,bat_2,4.629,6.615,16,5,5
160,F_02_028,bat_3,3.731,7.0,10,5,7
161,B_01_019,bath,4.92,2.0,9,5,5
162,A_02_051,bathroom,6.556,1.3,6,4,5
163,K_02_101,bathtub,3.955,2.292,6,5,5
164,D_02_089,battery,5.148,1.8,4,5,5
165,G_02_029,beach,3.846,3.313,1,1,5
166,G_03_048,beak,1.842,4.381,1,4,5
167,E_03_091,beanie,3.115,5.438,0,5,5
168,E_02_069,beans,2.806,2.0,1,1,5
169,D_03_063,bear,3.115,3.0,1,5,5
170,C_03_085,beard,3.3,6.1389999999999985,4,5,5
171,D_03_020,beat,3.24,1.625,0,1,7
172,F_02_067,beaver,4.84,2.613,8,4,5
173,B_01_049,because,4.24,1.296,1,4,3
174,H_02_008,become,4.357,2.261,10,5,7
175,A_03_037,bed,6.12,6.095,5,4,5
176,K_03_004,bed_2,6.28,5.9620000000000015,9,5,5
177,D_01_056,bedroom,4.444,4.0,4,5,5
178,E_03_018,bee_1,3.4,1.75,3,4,5
179,J_02_101,bee_2,3.821,2.08,3,4,5
180,B_03_062,beer,4.76,1.3330000000000002,8,4,5
181,G_02_053,before,4.667,4.152,1,0,3
182,F_02_037,beg,3.815,2.9,0,1,7
183,C_02_036,behavior,3.741,1.481,2,5,5
184,B_02_048,behind,4.2,2.633,1,0,3
185,D_02_049,believe,5.37,2.355,46,4,7
186,G_02_011,believe_2,5.926,0.0,5,4,7
187,G_02_018,bell,2.833,3.75,4,1,5
188,A_03_036,belt,2.13,6.524,0,5,5
189,E_02_093,belt_2,3.688,4.267,0,5,7
190,G_03_031,bend,3.28,6.0,0,5,7
191,C_02_056,benefit,3.0,1.645,1,4,5
192,E_01_095,berry,3.6,1.76,1,1,5
193,F_02_062,best,5.926,2.839,2,4,1
194,F_02_027,bet,4.385,2.517,4,5,7
195,F_01_062,better,6.37,1.909,2,4,1
196,J_03_003,between,4.448,3.304,10,0,1
197,E_02_103,bib,3.563,4.8,4,5,5
198,D_02_026,bicycle,5.185,5.484,14,5,5
199,F_02_054,big,3.474,2.226,1,5,1
200,E_03_092,bind,4.167,5.25,1,5,7
201,A_03_074,binoculars,2.375,6.952000000000001,3,5,5
202,A_02_015,biology,3.444,1.367,4,5,5
203,A_01_041,bird,5.1610000000000005,4.553,1,4,5
204,C_02_076,birth,4.367,2.519,2,0,5
205,D_01_054,birthday,5.185,1.242,3,4,5
206,E_02_068,bison,2.667,3.267,2,5,5
207,H_01_058,bitch,4.292,2.25,8,4,5
208,K_02_045,bite,3.8,6.207999999999998,2,4,7
209,G_02_099,bite,4.167,5.563,0,1,7
210,K_03_082,bite_on_arm,4.37,5.115,4,4,7
211,E_03_035,bite_on_neck,2.167,6.332999999999998,0,4,7
212,B_02_006,black,5.92,1.2,0,4,1
213,K_03_124,blackbird,4.84,1.76,2,4,5
214,G_01_005,blame,3.615,1.733,0,1,7
215,H_02_006,blank,2.4290000000000003,2.3040000000000003,5,5,1
216,A_03_032,blanket,4.375,3.286,3,5,5
217,J_03_075,bleed,4.379,1.652,47,4,7
218,G_02_016,bless,4.259,2.313,2,5,7
219,B_01_016,blind,3.32,3.885,4,4,1
220,B_02_081,blinds_1,2.2,4.267,0,5,5
221,C_03_014,blinds_2,1.826,3.889,10,5,5
222,G_02_055,blink,4.37,5.9689999999999985,1,5,7
223,E_02_102,blond,4.625,2.724,2,4,1
224,C_01_087,blood,3.6,2.0,47,4,5
225,G_03_014,bloom,2.522,5.65,7,5,7
226,J_02_104,blouse,2.8,2.72,2,4,5
227,E_02_096,blow,2.781,5.065,3,5,7
228,K_01_070,blow_candle_1,3.385,5.28,0,1,7
229,K_02_022,blow_candle_2,3.609,5.957999999999998,19,4,7
230,F_02_045,blow_mind,3.577,0.0,46,4,7
231,C_02_062,blue,4.63,1.074,1,4,1
232,J_03_088,blur,3.643,2.174,0,5,7
233,J_03_100,blush,2.81,3.609,0,5,7
234,J_01_105,board,4.5,1.25,0,4,5
235,D_01_055,boat,3.704,2.314,17,5,5
236,B_01_047,body,4.84,5.556,6,5,5
