,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
506,E_03_060,connection,3.793,4.31,0,5,5
507,J_01_101,consume,4.5,3.75,0,4,7
508,D_03_022,contact,5.4620000000000015,4.182,6,5,5
509,E_02_074,contact_lens,3.438,4.267,0,4,7
510,D_03_032,continue,4.615,2.742,4,5,7
511,G_01_048,convince,4.926,1.6669999999999998,0,1,7
512,H_03_013,convince_2,4.0360000000000005,2.292,9,5,7
513,D_03_078,cook,6.077000000000001,3.12,2,0,7
514,B_03_008,cookie,4.96,3.267,0,2,5
515,F_01_014,cool_1,6.037000000000001,2.818,2,4,1
516,H_03_099,cool_3,4.296,2.833,4,4,1
517,H_03_032,cool_4,5.393,1.7919999999999998,4,4,1
518,J_01_004,cool_5,4.433,4.083,1,5,1
519,E_01_010,cooperate,5.143,2.846,6,5,7
520,D_01_064,copy,4.63,2.114,1,1,7
521,D_01_053,corkscrew,2.85,5.135,0,0,5
522,K_01_085,corkscrew_2,2.579,5.6,0,1,7
523,A_02_084,corn_1,4.185,4.1,0,4,5
524,C_02_026,corn_2,2.0,3.692,4,5,5
525,K_02_078,corn_3,3.474,3.292,0,5,5
526,J_03_071,corner,4.103,4.913,24,5,5
527,J_02_040,correct,4.6,3.36,10,1,7
528,E_03_020,cost,5.138,2.438,14,1,7
529,G_02_013,couch_1,2.591,2.656,11,5,5
530,C_02_071,cough,3.5,4.815,3,4,5
531,B_01_005,counselor,4.84,1.643,3,1,5
532,G_02_054,count,4.556,2.5,7,1,7
533,C_03_058,country,3.9,1.028,0,4,5
534,C_01_023,cousin,4.133,1.233,4,4,5
535,C_03_038,cover_up,3.429,2.889,10,0,7
536,A_01_033,cow,3.677,2.778,1,4,5
537,F_01_018,cowboy,1.278,1.788,0,5,5
538,F_03_067,crack,3.926,3.774,14,0,7
539,C_01_081,cracker,3.867,1.267,6,4,5
540,K_03_093,cracker_2,3.083,1.385,6,4,5
541,H_02_104,cranky,5.143,3.417,1,4,1
542,J_02_017,crash,3.9,4.72,1,1,7
543,K_01_034,crash_plane,4.037,4.5,0,1,7
544,D_01_068,crawl,2.296,2.914,0,1,7
545,K_02_088,crawl_2,4.375,5.832999999999998,13,5,7
546,D_03_040,crazy,2.962,6.36,31,4,1
547,F_02_010,cream,4.407,1.806,0,1,5
548,K_01_046,cream_2,4.185,1.76,0,1,5
549,D_03_076,create,5.308,2.2,6,5,7
550,B_02_057,credit_card,4.56,2.033,2,1,5
551,K_02_127,crewcut,4.87,2.875,0,5,5
552,F_03_083,criticize,5.332999999999998,4.2810000000000015,3,1,7
553,D_01_081,crocodile,2.519,5.441,14,5,5
554,C_01_067,cross,1.967,6.4670000000000005,7,4,5
555,H_01_007,cross_2,4.1789999999999985,4.75,6,0,7
556,K_03_028,cross_3,4.88,6.48,1,4,5
557,J_01_064,cross_heart,2.5,6.167000000000002,0,4,7
558,F_01_016,crown,3.259,5.332999999999998,0,5,5
559,K_01_124,crumple,2.833,4.8,7,5,7
560,B_03_028,cry,4.44,6.567,4,5,7
561,K_01_003,cry_2,3.926,4.84,0,5,7
562,K_02_040,cry_3,4.2,6.25,0,5,7
563,K_03_060,cry_4,4.125,7.0,0,4,7
564,H_01_051,culture,5.7860000000000005,1.9,0,1,5
565,A_01_010,cup,5.742000000000001,2.897,8,1,5
566,F_03_051,curious,5.852,1.625,1,4,1
567,J_01_052,curl,1.818,3.375,1,4,7
568,K_01_072,curl_2,2.25,4.88,0,4,7
569,H_02_007,curly_hair,2.619,4.625,1,5,1
570,A_02_025,curtain,2.444,4.9,1,5,5
571,K_02_006,curtsey_1,2.667,6.5,0,5,7
572,K_03_038,curtsey_2,3.667,4.04,2,1,7
573,E_02_046,cut_1,3.241,6.332999999999998,0,4,7
574,F_01_065,cut_2,4.444,5.4689999999999985,0,1,7
575,B_03_087,cute_1,5.2,3.267,2,4,1
576,C_01_045,cute_2,4.5,1.533,2,4,1
577,F_01_098,damn,4.7780000000000005,2.758,6,4,3
578,B_02_063,dance,3.96,3.4,3,1,5
579,A_02_034,dancer,3.185,2.4,3,1,5
580,E_02_067,danger,4.25,1.586,4,1,5
581,E_01_012,dark_1,5.6,0.0,8,5,1
582,J_03_094,dark_2,5.483,3.783,3,5,1
583,C_03_029,dart,1.643,6.3889999999999985,3,4,5
584,G_01_031,date,5.222,0.0,2,5,5
585,E_02_023,daughter,5.5,2.742,4,4,5
586,C_01_044,day,4.7330000000000005,2.7,18,4,5
587,F_03_038,deaf_1,6.769,4.061,4,4,1
588,E_03_098,deaf_2,2.167,4.0,11,4,1
589,H_01_022,deaf_school,5.4289999999999985,3.0,4,4,5
590,J_02_074,deal_cards,2.048,3.48,6,5,7
591,A_01_076,death,4.484,2.568,9,5,5
592,B_02_074,decide_1,4.24,2.3,46,4,7
593,D_03_057,decide_2,4.962,1.87,0,5,7
594,F_01_001,decline,3.444,3.906,1,4,7
595,K_01_073,decorate_1,5.481,2.16,10,5,7
596,K_02_030,decorate_2,3.125,1.5830000000000002,13,5,7
597,F_03_085,dedicate_1,5.296,1.6880000000000002,47,4,7
598,G_03_094,dedicate_2,2.792,1.773,3,5,7
599,C_03_006,deep,3.567,4.5,12,1,1
600,A_03_060,deer,3.36,5.381,6,5,5
601,G_03_090,defeat,3.2,3.136,6,4,7
602,E_01_079,deflate,4.5710000000000015,4.48,0,1,7
603,J_01_021,degree,4.167,2.167,12,5,5
604,H_03_001,delegate,2.13,1.5830000000000002,6,4,7
605,H_02_009,deliberate,4.7860000000000005,2.875,0,5,7
606,B_01_082,delicious,5.48,2.259,0,4,1
607,F_02_003,delinquent,4.593,1.774,1,1,5
608,D_03_080,demand,4.5,2.0,4,2,5
609,J_03_031,demote,3.5860000000000003,3.957,8,5,7
610,H_02_030,dent,2.632,4.417,1,5,7
611,A_01_014,dentist,2.677,3.923,4,4,5
612,K_03_027,dentist_2,5.2,4.48,3,4,5
613,D_02_039,deny,4.0,2.839,6,5,7
614,A_01_086,deodorant,3.968,6.582999999999998,1,4,5
615,C_02_033,department,4.567,1.63,1,5,5
616,H_03_076,depend_on,4.7860000000000005,1.6669999999999998,16,5,7
617,E_02_059,depress,5.0,3.448,6,5,7
618,F_02_018,depth,4.556,5.097,20,1,5
619,A_03_008,desert,2.917,1.81,5,4,5
620,J_03_104,design,4.2410000000000005,2.174,2,1,7
621,F_01_094,dessert,4.63,1.606,2,5,5
622,E_03_052,destroy,4.0,3.267,0,5,7
623,J_03_092,develop_1,4.69,2.3040000000000003,2,0,7
624,H_01_050,develop_2,2.714,2.6,4,1,7
625,A_01_079,devil,3.355,3.378,2,4,5
626,K_01_047,devour,5.778,5.32,0,5,7
627,A_01_066,diamond,2.613,1.816,0,1,5
628,A_02_002,diaper,3.407,3.3,0,5,5
629,D_02_036,dice,3.222,6.129,4,4,7
630,F_03_035,dictionary,3.926,2.333,1,1,5
631,D_02_021,die,4.346,2.839,9,5,7
632,E_03_095,different,5.517,3.625,16,5,1
633,J_01_075,different_situation,4.345,1.4580000000000002,4,4,5
634,K_02_119,dig,2.96,6.0,5,1,7
635,G_02_019,dig_up,3.556,6.4689999999999985,2,5,7
636,J_01_003,dilemma,3.4,2.833,4,5,5
637,F_02_049,dining_room,3.4,2.1,5,4,5
638,G_03_044,dinner_1,4.846,3.048,10,4,5
639,J_02_023,dinner_2,4.655,2.4,1,4,5
640,A_01_031,dinosaur,2.333,3.564,4,4,5
641,K_03_047,dinosaur_2,2.826,2.0,1,4,5
642,J_01_063,dip_1,3.633,5.457999999999998,0,1,7
643,K_01_065,dip_2,3.273,4.96,2,1,7
644,K_02_052,dip_3,3.4760000000000004,5.207999999999998,0,1,7
645,H_01_014,director,4.185,2.35,9,5,5
646,C_03_026,dirty,5.533,2.75,3,4,1
647,B_02_066,disagreement,5.2,2.333,46,4,5
648,D_01_036,disappear,3.741,3.0,1,1,7
649,G_03_018,disappoint,5.296,2.6,16,4,7
650,H_01_017,disconnect,4.7860000000000005,4.65,3,5,7
651,E_03_081,discuss,5.767,2.172,14,1,7
652,F_03_006,dislike,5.444,3.152,8,4,7
653,D_03_035,disney,3.167,1.2,0,4,6
654,G_02_102,dispatch,4.63,3.364,1,0,7
655,E_03_076,disrupt,5.2,3.0,6,5,7
656,J_03_019,dissect,3.517,4.652,2,1,7
657,J_03_081,dissolve,4.655,2.87,2,5,7
658,F_02_098,distracted,4.192,1.871,0,4,7
659,D_02_029,dive_1,2.37,4.065,0,1,7
660,E_02_018,divide,4.563,4.7,10,5,7
661,C_01_063,divorce,4.1,2.9330000000000003,1,5,5
662,H_02_102,dizzy,3.214,4.875,5,4,1
663,E_01_096,do_do,6.4,0.0,2,5,7
664,A_03_020,doctor,4.13,3.81,1,4,5
665,K_03_015,doctor_2,5.0,2.28,1,4,5
666,H_01_097,document,5.0360000000000005,3.35,4,1,5
667,F_03_031,doesnt_matter,6.074,5.03,24,5,7
668,A_01_056,dog,6.257999999999999,1.737,1,4,5
669,K_01_055,dog_2,4.259,1.4,9,4,5
670,J_02_068,dog_3,5.167000000000002,1.6,1,4,5
671,H_02_103,dog_4,4.5,1.75,5,4,5
672,C_02_049,doll,3.333,1.222,12,4,5
673,A_03_057,dolphin,2.5,5.952000000000001,0,4,5
674,K_02_021,dolphin_2,4.28,4.25,0,4,5
675,K_03_032,dolphin_3,3.435,4.154,1,4,5
676,J_01_087,dominant,4.833,3.792,14,5,1
677,J_01_012,donkey,2.533,3.75,1,5,5
678,G_03_082,dont_care,5.5379999999999985,3.45,3,4,7
679,J_01_005,dont_feel_like,5.033,2.0,6,4,7
680,E_03_049,dont_know,6.132999999999999,5.774,2,5,7
681,F_01_033,dont_like,6.1110000000000015,5.242000000000001,2,4,7
682,B_03_033,dont_mind,5.84,3.4330000000000003,46,4,7
683,H_01_104,dont_need,5.714,3.9,1,4,7
684,E_02_014,dont_want,6.0310000000000015,5.267,4,5,7
685,F_01_071,donut,3.259,3.0,2,5,5
686,A_03_052,door,6.32,3.619,0,0,5
687,A_01_059,dormitory,4.323,1.108,0,4,5
688,H_03_084,double,4.857,3.25,2,1,1
689,B_01_057,doubt,5.44,2.185,1,4,7
690,G_03_055,down,4.615,6.8,22,4,3
691,H_03_012,downhill,3.821,5.917000000000002,0,0,2
692,C_03_046,download,3.138,2.667,1,5,7
693,C_01_055,downsize_1,2.3080000000000003,5.484,2,5,7
694,D_02_058,downsize_2,4.1110000000000015,5.226,3,5,7
695,J_02_039,drag,2.5,5.08,9,5,7
696,K_01_022,drag,3.76,3.72,6,4,7
697,F_01_011,dragon,2.556,4.121,1,4,5
698,D_02_063,draw,4.7410000000000005,5.0,2,1,7
699,A_01_082,drawer,2.286,3.417,6,5,5
700,G_02_069,dreadlocks,2.296,5.0,0,5,5
701,B_02_044,dream,4.583,3.233,2,4,5
702,A_03_046,dress,4.72,5.048,2,5,5
703,J_03_057,dress_up,4.655,2.043,3,5,7
704,F_03_075,dresser,3.333,2.406,3,5,5
705,K_02_074,dribble,3.5,4.375,9,4,7
706,D_02_044,drill,2.8080000000000003,4.419,1,1,5
707,B_02_012,drink,6.348,7.0,0,4,5
708,K_03_092,drink_2,4.087,6.692,0,4,7
709,F_02_102,drip,3.0380000000000003,4.0,3,4,7
710,E_02_053,drive,5.813,2.767,14,5,7
711,C_03_052,drop,4.333,5.5,4,5,7
712,D_01_017,drown,1.875,2.611,1,1,7
713,K_01_093,drown_2,4.259,3.92,0,1,7
714,K_02_111,drown_3,3.333,3.167,0,1,7
715,K_03_077,drown_4,4.2,3.2,1,1,7
716,K_01_045,drown_5,2.0,3.24,0,1,7
717,F_01_040,drug,3.417,3.0,3,4,5
718,A_03_075,drum,2.0,6.047999999999999,10,5,5
719,C_03_077,drunk,3.967,1.639,1,4,1
720,F_03_005,dry,5.593,1.875,5,4,1
721,C_01_007,dryer,3.333,3.4,5,4,5
722,D_01_079,duck,3.37,4.5,2,4,5
723,K_02_068,duck_2,4.087,5.292000000000002,3,4,5
724,H_03_011,due,4.185,2.875,7,1,1
725,A_02_028,dumb,4.963,4.333,10,4,1
726,H_03_008,duty,3.2960000000000003,0.0,0,1,5
727,F_02_092,dye,4.296,2.71,8,5,7
728,F_02_059,each,5.222,2.645,1,0,3
729,H_02_076,each_other,4.1789999999999985,2.417,7,5,3
730,D_03_066,eagle,2.846,2.292,11,4,5
731,K_03_021,eagle_2,3.913,1.84,1,4,5
732,D_02_071,ear,2.704,6.832999999999998,6,4,5
733,G_01_018,early,4.04,1.586,4,1,1
734,F_03_016,earmuffs,2.88,6.3820000000000014,7,5,5
735,C_03_055,earn,4.207,1.618,0,1,7
736,C_03_011,earring,3.867,6.528,0,5,5
737,E_02_099,ears_up,4.2410000000000005,4.138,0,5,7
738,C_03_002,earth,3.6,1.4169999999999998,0,1,5
739,A_03_039,earthquake,3.64,3.81,0,1,5
740,F_01_044,easel,5.0,2.781,6,1,5
741,D_03_082,east,4.077,2.375,0,4,5
742,E_03_032,easter,3.1,1.933,0,5,5
743,D_01_070,easy,5.63,2.0,9,0,1
744,G_02_073,easy_to_do,5.615,2.781,1,0,7
745,B_02_002,eat_1,6.84,6.1,5,4,7
746,B_03_082,eat_2,6.68,5.867000000000001,5,4,7
747,F_02_015,eclipse,1.917,3.129,1,5,5
748,E_03_099,edge,2.889,4.563,10,0,5
749,F_01_068,edit_1,3.852,1.517,0,5,7
750,G_02_057,edit_2,3.154,1.844,3,5,7
751,G_02_044,effect,4.0,1.969,3,1,7
752,A_03_011,egg,5.44,1.571,0,5,5
753,E_01_007,egg_beater,2.059,6.154,2,4,7
754,D_01_014,ego,2.2,3.194,0,4,5
755,C_02_042,egypt,2.276,2.222,8,4,6
756,J_02_099,eight,4.379,1.64,3,4,4
757,J_01_085,either,5.332999999999998,2.542,1,3,3
758,A_02_005,electrician,3.148,1.3,4,5,5
759,K_01_096,electrocute,4.2,2.16,1,5,7
760,D_03_042,elegance,4.231,1.875,4,4,5
761,J_01_070,elementary_school,4.138,1.25,0,1,5
762,A_02_059,elephant,3.259,5.5,1,4,5
763,E_03_072,elevator_1,2.72,4.0939999999999985,2,1,5
764,G_03_036,elevator_2,4.519,3.95,3,1,5
765,K_03_002,elevator_3,4.2,4.077,0,1,5
766,E_01_052,eleven,5.857,4.56,0,4,4
767,B_03_083,email,5.292000000000002,1.3330000000000002,1,1,5
768,C_01_014,embarrass,3.7,3.667,5,5,7
769,B_03_005,emotion,4.96,2.733,0,5,5
770,C_03_005,emperor,1.4069999999999998,2.25,0,4,5
771,F_03_086,emphasis,4.926,2.063,1,1,5
772,E_02_072,empty_1,4.0,2.233,4,1,1
773,J_01_077,empty_2,2.9,5.457999999999998,5,5,1
774,E_01_074,end,5.5139999999999985,4.458,11,0,7
775,E_02_045,enemy,4.4060000000000015,2.133,13,5,5
776,G_02_056,energy,5.1110000000000015,1.6880000000000002,0,4,5
777,B_01_084,engagement,2.2,2.63,0,1,5
778,E_01_036,engine_start,4.686,1.192,11,5,7
779,A_03_014,engineer,3.48,1.857,0,3,5
780,A_01_011,english,4.645,1.026,0,0,5
781,D_03_033,enjoy,5.692,3.958,2,5,7
782,D_01_084,enough,4.7410000000000005,3.694,4,1,2
783,E_02_076,enter,5.063,3.9,21,0,7
784,D_02_020,envelope,1.913,3.806,5,4,5
785,K_02_100,envelope_2,5.04,4.208,11,4,5
786,K_03_062,envelope_3,3.474,3.32,3,5,5
787,K_01_041,envelope_4,4.05,3.24,4,5,5
788,K_02_107,envelope_5,2.917,4.25,11,4,5
789,J_01_022,environment,4.867,1.625,0,1,5
790,C_01_052,equal,4.7,4.533,11,5,1
791,J_03_085,erase,4.25,5.3039999999999985,10,1,7
792,K_03_098,erase_2,4.417,5.68,2,4,7
793,K_01_099,erase_3,1.944,5.16,8,4,7
794,K_02_042,erase_4,5.16,4.458,7,4,7
795,K_03_095,erase_5,3.958,5.68,9,4,7
796,C_01_072,eraser,4.633,4.533,2,1,5
797,H_03_017,erupt_1,3.346,6.25,1,1,7
798,K_01_119,erupt_2,3.48,6.28,0,5,7
799,H_01_033,escalate,2.2,4.3,6,4,7
800,F_01_036,escalator,3.889,4.879,2,4,5
801,G_01_012,escape,5.0,2.9330000000000003,5,1,7
802,C_02_010,europe,3.138,1.037,0,4,6
803,A_03_015,evaluate,4.76,2.952,1,5,7
804,F_03_057,even_1,4.593,4.5939999999999985,11,5,2
805,D_02_047,evening,6.556,1.3869999999999998,5,0,5
806,F_03_049,event,5.577000000000001,1.813,3,5,5
807,J_02_058,every_night,5.0,1.92,0,2,2
808,H_02_041,every_year,5.3210000000000015,1.4169999999999998,0,1,2
809,E_01_084,everyday,5.943,1.12,6,4,2
810,F_03_084,everything,5.63,2.6,7,5,3
811,G_03_103,evidence,4.577,2.609,3,1,5
812,G_02_024,example,5.704,2.548,4,1,5
813,H_01_102,excited,6.0360000000000005,3.8,2,5,1
814,D_03_052,excuse,4.269,1.6669999999999998,5,1,5
815,C_01_084,exercise,4.9,4.7,6,5,5
816,F_02_068,expect,5.37,1.548,46,4,7
817,C_01_064,expensive,5.0,2.4330000000000003,0,1,1
818,B_02_064,experience,4.8,1.233,0,4,5
819,F_02_023,experienced,5.407,1.2,0,4,1
820,H_03_002,experiment,4.214,1.833,1,5,5
821,J_03_099,expert,3.75,1.5219999999999998,2,5,1
822,C_02_053,explanation,5.9670000000000005,1.852,8,5,5
823,H_01_053,explode,3.333,4.3,2,5,7
824,J_01_009,express,4.667,3.208,0,5,7
825,H_03_039,eye_turn,4.1789999999999985,5.292000000000002,3,5,7
826,A_01_012,eyeglasses,3.905,6.187,0,5,5
827,C_01_062,eyes,4.967,6.832999999999998,9,4,5
828,G_01_041,eyes_awake,4.32,2.897,6,5,7
829,E_01_053,face,5.114,6.56,9,4,5
830,J_02_061,faculty,4.2,1.8,5,4,5
831,J_02_053,fade,4.4,2.8,3,5,7
832,H_01_077,fail,4.4,2.2,1,3,7
833,G_03_046,faint,2.542,1.714,46,4,7
834,G_01_080,fair,5.704,3.387,11,5,7
835,G_03_080,fake,4.769,2.15,11,4,7
836,B_03_074,fall_1,4.68,1.3,4,4,5
837,C_03_007,fall_2,3.733,3.2,3,4,7
838,E_03_006,falling_asleep,4.25,1.818,2,5,7
839,C_01_025,family,5.9670000000000005,2.0,3,5,5
840,E_03_085,famous,4.2330000000000005,2.0,7,5,1
841,F_03_055,fan,2.926,3.094,5,1,5
842,J_01_045,fantasy,3.536,3.0,0,5,1
843,D_03_007,far,4.115,3.625,3,0,2
844,B_01_086,farm,3.625,1.037,8,4,5
845,E_01_087,fascinated,4.057,1.808,1,5,7
846,J_01_010,fashion,1.133,1.5830000000000002,1,5,5
847,C_03_016,fast,5.034,1.361,2,5,2
848,C_01_011,fat,4.133,6.3,15,5,1
849,B_01_077,father,6.36,1.259,10,4,5
850,D_01_065,faucet,2.577,3.838,4,5,5
851,C_01_051,fault,4.8,2.567,2,4,5
852,B_01_024,favorite,5.48,1.633,3,4,5
853,D_01_093,february,3.963,1.189,2,4,6
854,E_01_047,fed_up,5.886,4.76,0,4,7
855,G_03_058,feed_1,5.038,4.1,3,4,7
856,K_02_035,feed_2,3.0,2.917,0,4,7
857,J_01_002,feedback,4.167,1.5830000000000002,4,5,5
858,C_02_001,feel,5.655,3.63,0,4,7
859,G_01_006,fence_1,4.074,3.103,7,5,5
860,K_03_037,fence_2,3.88,2.4,7,5,5
861,F_01_083,fencing,1.926,5.75,4,4,7
862,C_02_067,few,4.4289999999999985,2.37,0,4,3
863,F_03_034,fiance,4.407,4.0,0,1,5
864,J_03_046,fifth,4.25,3.826,4,4,4
865,B_03_058,fight,4.417,4.333,14,5,7
866,C_01_016,figure,3.69,1.871,2,5,7
867,J_03_102,file_2,3.517,2.826,0,1,7
868,K_01_038,file_3,2.792,4.708,2,5,7
869,K_02_036,file_4,3.0,2.958,11,4,7
870,H_01_099,fill_out,4.893,3.6,0,1,7
871,B_01_037,film,4.44,2.355,1,1,7
872,F_01_059,filter,3.593,2.7060000000000004,12,5,7
873,D_01_012,finally,5.222,2.2430000000000003,0,5,2
874,F_02_047,finance,4.407,1.258,6,1,5
875,B_03_076,find,5.28,1.8,12,4,7
876,C_01_043,fine_1,6.1,3.0,9,4,1
877,D_02_067,fine_2,6.185,3.452,9,4,1
878,G_02_097,finger,2.3480000000000003,5.516,5,4,5
879,J_01_006,fingers_crossed,4.867,6.832999999999998,1,5,3
880,B_01_048,fingerspell,5.32,1.846,5,4,7
881,B_03_065,fingerspelling,5.4,2.7,4,4,5
882,B_03_025,finish,5.8,2.9330000000000003,1,5,7
883,E_03_058,fins,2.3080000000000003,5.357,36,5,5
884,B_03_090,fire,3.4,3.467,11,5,5
885,J_03_058,fired,4.069,2.043,3,1,7
886,A_02_039,fireman,2.9130000000000003,2.067,6,4,5
887,K_03_052,fireman_2,3.318,1.88,4,4,5
888,F_02_101,firetruck,2.222,1.903,7,4,5
889,C_01_033,first,5.767,4.867,4,4,4
890,A_03_040,fish,4.56,4.476,1,0,5
891,A_02_035,fishing,3.185,6.1,0,2,5
892,K_01_050,fishing_2,4.1110000000000015,5.24,0,1,7
893,E_02_007,fit,4.3439999999999985,3.0,11,5,7
894,G_03_043,fix,5.44,2.667,4,5,7
895,B_01_036,flag,3.667,5.407,6,4,5
896,G_02_092,flag_2,4.519,5.75,6,4,5
897,A_03_084,flashlight,2.92,2.571,1,4,5
898,K_02_099,flashlight_1,5.457999999999998,2.957,9,4,5
899,K_01_057,flashlight_3,3.667,1.92,2,4,5
900,K_02_092,flashlight_4,3.409,3.917,0,4,5
901,H_02_088,flip,3.607,5.667000000000002,3,4,7
902,E_01_066,flip_switch,3.886,6.0,10,4,7
903,F_03_077,flipflops,3.692,3.452,2,1,5
904,E_03_043,float_1,1.929,4.828,2,4,7
905,K_03_007,float_2,3.36,4.615,0,4,7
906,K_01_082,float_3,3.08,3.0,0,4,7
907,D_01_062,floor,3.72,3.857,24,5,5
908,A_03_017,flower,4.92,1.857,0,4,5
909,E_02_036,flute,2.125,6.533,2,5,5
910,D_03_070,fly,2.885,6.68,10,5,7
911,J_03_056,focus,4.034,5.8260000000000005,9,5,7
912,F_02_019,fold,4.115,6.032,7,5,7
913,K_02_072,fold_2,5.36,6.292000000000002,4,0,7
914,G_01_058,follow_1,5.481,3.345,7,5,7
915,H_03_029,follow_2,2.885,3.0,16,5,7
916,K_01_113,follow_3,3.12,4.44,0,1,7
917,K_03_016,follow_4,4.52,2.769,6,5,7
918,J_01_079,fond,2.105,1.5419999999999998,1,4,1
919,J_02_102,fool,4.267,1.84,3,1,7
920,A_02_027,football,5.37,1.767,12,5,5
921,B_03_049,for,5.08,1.5,4,4,3
922,D_03_089,forbid,4.231,3.16,0,1,7
923,C_01_077,foreigner_1,2.407,1.2,3,4,5
924,C_03_067,foreigner_2,2.9330000000000003,1.083,1,4,5
925,G_01_038,forest,5.63,3.897,2,4,5
926,D_03_072,forever,3.5,2.633,46,4,2
927,E_02_025,forever_2,4.5,1.867,4,4,5
928,D_02_038,forfeit,3.8,1.633,7,4,7
929,D_02_017,forgetful,4.519,4.323,3,4,1
930,E_01_049,fork_1,4.714,4.04,7,1,5
931,K_02_050,fork_2,3.955,3.333,0,1,5
932,K_03_003,fork_3,4.44,3.731,8,1,5
933,K_01_027,fork_4,4.615,2.96,1,1,5
934,G_03_023,form,2.92,3.0,7,5,5
935,J_02_066,former,5.067,1.76,0,4,1
936,J_01_049,foul,2.55,1.4169999999999998,11,4,1
937,C_01_029,four,5.332999999999998,6.9,5,4,4
938,H_03_004,fourth,4.607,5.5,2,4,6
939,A_03_041,fox,2.64,2.095,2,4,5
940,F_02_024,fraction,2.667,4.433,0,1,5
941,G_02_034,frame,2.263,5.581,0,5,5
942,D_02_078,france,3.111,1.452,6,4,6
943,D_02_070,fraud,2.526,1.233,2,4,5
944,G_02_009,freak_out,4.63,1.969,46,4,7
945,B_01_083,freckles,2.667,3.519,0,5,5
946,G_01_027,free,4.63,3.034,9,5,1
947,E_02_001,freedom,4.3439999999999985,2.536,8,5,5
948,B_03_001,freeway,3.84,1.6669999999999998,5,5,5
949,F_03_010,freeze,4.63,3.424,8,5,7
950,C_02_022,french,2.571,1.259,6,4,5
951,A_01_085,frenchfries,4.645,2.139,4,4,5
952,B_02_020,friday,6.32,1.033,7,4,6
953,D_03_010,friend,6.4620000000000015,2.25,0,5,5
954,C_02_031,friendly,3.933,4.63,0,5,1
955,J_03_034,friends_no_more_1,1.696,3.13,0,4,0
956,G_02_046,fringe,2.048,2.781,1,4,5
957,K_02_070,frisk,3.261,5.332999999999998,8,5,7
958,D_03_059,frog,2.7310000000000003,2.25,0,4,5
959,D_01_059,from,4.8889999999999985,2.6,1,1,3
960,H_02_040,from_then_on,4.9289999999999985,3.5,9,0,3
961,C_01_039,front,4.2410000000000005,4.567,5,4,3
962,F_02_057,frown_1,5.593,5.935,0,4,7
963,K_03_115,frown_2,4.72,6.8,1,5,7
964,C_02_083,fruit,5.3,1.519,3,4,5
965,C_02_050,frustrate,4.667,2.296,8,4,7
966,H_01_069,fry ,5.5,2.65,0,0,7
967,D_02_048,full,5.852,2.667,4,1,1
968,E_02_057,fun,5.9689999999999985,1.7,0,4,1
969,J_02_071,function,3.966,1.84,1,1,5
970,E_03_038,funny,5.5520000000000005,3.8,1,4,1
971,C_02_059,furniture,3.261,1.0,13,4,5
972,C_03_080,future,4.9,2.833,8,4,5
973,K_02_123,fuzzy,4.64,2.958,0,1,1
974,B_02_010,gallaudet,4.2,1.067,1,4,6
975,F_01_051,gamble,3.593,5.636,11,4,7
976,C_03_047,game,5.832999999999998,1.5830000000000002,16,5,5
977,A_03_022,garage,4.28,2.0,3,1,5
978,G_02_028,garlic,3.696,1.774,0,4,5
979,A_03_090,gas,6.08,3.857,3,1,5
980,E_03_064,gate,3.759,5.875,1,0,5
981,E_02_073,gate_close,4.0,5.267,3,0,7
982,D_03_011,gay,4.692,1.25,8,4,1
983,H_01_032,generation,4.75,2.75,0,5,5
984,D_02_088,germany,2.926,1.033,2,5,6
985,J_03_086,gesture,4.2410000000000005,3.087,11,5,7
986,B_03_007,get,5.76,4.533,7,5,7
987,J_03_010,get_in_bed,4.172,2.478,0,1,7
988,E_01_057,get_information_out_of,3.152,1.92,1,0,7
989,H_01_093,get_off,4.107,3.6,2,1,7
990,F_03_047,get_through,5.332999999999998,6.188,1,1,7
991,J_02_073,get_together,4.833,4.84,8,5,7
992,E_01_032,ghost,3.8,1.269,12,5,5
993,E_01_055,gift,5.143,1.92,3,5,5
994,A_03_049,giraffe,2.636,4.762,0,0,5
995,C_03_073,girl,4.552,1.528,1,4,5
996,F_01_023,give,5.667000000000002,4.909,0,4,7
997,H_03_028,give_up,3.857,5.0,1,5,7
998,E_01_090,glass_1,5.657,5.08,8,1,5
999,K_01_115,glass_2,4.88,3.48,47,4,5
1000,K_02_059,glass_3,5.64,1.042,3,4,5
1001,B_03_036,glasses,3.75,5.2,0,5,5
1002,A_02_087,glove,3.846,6.367000000000001,0,5,5
1003,A_02_026,gloves,2.885,6.267,0,5,5
1004,K_03_049,gloves_2,4.391,5.115,0,1,5
1005,K_01_012,gloves_3,3.731,6.375,0,1,5
1006,K_02_105,gloves_4,3.609,4.333,0,0,5
1007,D_03_093,glow,2.696,2.76,0,5,5
1008,K_03_117,glue_1,4.28,2.16,1,1,7
1009,F_01_096,glue_2,3.385,3.438,4,5,7
1010,C_03_056,go,6.033,5.582999999999998,9,5,7
1011,J_01_041,go_ahead,6.067,2.792,9,5,7
1012,H_01_052,go_back_and_forth,3.731,4.95,19,5,7
1013,J_03_017,go_through,4.517,3.13,1,1,7
1014,F_03_099,go_to_jail,3.926,2.563,7,5,7
1015,E_03_048,goal,5.0,4.0,7,5,5
