EntryID,LemmaID,Code,YouTube Video,Vimeo Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,RightWristX,RightWristcentroidY,DistanceRightWristCentroid2Nose,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,Batch,Item,List
back,back,D_03_029,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/YKhB0Zt-ySs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.731,1.282,0.277,26,0,4.938,1.389,0.358,16,0,,,5.458,2.009,1.167,24,,5.011,Adverb,433.77,1334.67,900.9,2235.57,777,12,0,3,2,26,0,2,1,18,0,2,1716,802,1894,Pantomimic,0,0,0,1,a,1,t,NA,0,NA,NA,Open,NA,OneHanded,Straight,Body,BodyAway,BodyAway,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,29,3
back_out,,F_01_41,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/QKrF_MZRUVA?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.259,,0.003,,,,,,,,,,3.636,1.968,0.123,33,,,Verb,,,,,,,,,,,,,,,,4,976,1091,1464,Arbitrary,,0,0,1,bent_v,1,im,2,0,1,0,Closed,NoContact,AsymmetricalDifferentHandshape,Curved,Hand,FingerUlnar,HandAway,1,C,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,41,1
backpack_1,,G_03_91,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Ha4qd1Ge46c?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.28,,-0.376,,,,,,,,,,3.545,2.021,0.087,22,,2.272,Noun,,,,,,,,,,,,,,,,1,969,982,1380,Arbitrary,,0,0,1,curved_5,1,imrp,5,0,1,0,Open,NoContact,SymmetricalOrAlternating,Circular,Body,Clavicle,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,91,3
backpack_2,,G_01_64,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hfEqC-ZC0Oo?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.44,,-0.381,,,,,,,,,,3.71,1.85,0.14,31,,2.272,Noun,,,,,,,,,,,,,,,,3,966,945,1351,Arbitrary,,0,0,1,a,1,t,NA,0,NA,NA,Open,NA,SymmetricalOrAlternating,Circular,Body,Clavicle,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,64,1
backyard,,F_03_3,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/I5lQHETPpl8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.37,,-0.487,,,,,,,,,,3.333,2.108,-0.159,33,,2.568,Noun,,,,,,,,,,,,,,,,2,964,905,1322,Arbitrary,,0,1,2,a,1,t,NA,0,NA,NA,Open,NA,OneHanded,Straight,Body,BodyAway,BodyAway,0,NA,0,5,0,imrp,1,0,1,0,Open,NoContact,OneHanded,Circular,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,3,3
bacon,bacon,A_03_073,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/zEc2l4UlxLo?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5,1.756,0.524,25,0,4.867,1.642,0.488,15,0,,,3.381,2.153,-0.098,21,,2.681,Noun,1668.34,2335.67,667.33,3136.47,661,5,0,3,1,31,0,3,1,19,0,2,1620,780,1798,Arbitrary,0,0,0,1,flat_v,1,im,4,0,0,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,73,3
bad,bad,B_02_082,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/a8b2V2IYgzY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.5,1.285,0.563,24,0,5.571,1.342,0.543,14,0,,,1.567,2.045,-0.571,30,,4.444,Adjective,433.77,800.8,367.03,1234.57,897,64,8,1,1,31,-1,1,1,22,-1,2,1430,731,1606,Arbitrary,0,0,0,1,open_b,1,imrp,1,0,0,0,Open,NoContact,OneHanded,Curved,Head,Chin,HeadAway,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,82,2
badge_1,,F_03_96,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/T_cs9WK1uc4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,2.25,,-1.161,,,,,,,,,,6.063,2.108,1.232,16,,2.892,Noun,,,,,,,,,,,,,,,,0,959,713,1195,Both,,0,0,1,curved_l,1,i,5,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,Straight,Body,Clavicle,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,96,3
bag,bag,A_01_064,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/uiU0rls6cvU?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.452,1.261,0.741,31,0,5.889,1.183,0.995,18,0,,,5.73,2.048,1.254,37,,3.681,Noun,433.77,1201.2,767.43,2068.74,867,30,12,4,2,31,0,4,2,19,0,1,1652,776,1825,Pantomimic,0,0,0,1,s,0,imrp,7,0,0,0,Closed,Contact,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,64,1
BAG_2,,K_02_015,,"<iframe src=""https://player.vimeo.com/video/342124355"" width=""280"" height=""158"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",,,,,,,,,,,,,,,,,BAG,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,NA,NA,imrp,4,0,0,0,Closed,NoContact,OneHanded,Curved,Arm,ForearmUlnar,ElbowBack,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
bake_1,bake_1,A_01_060,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/OOYLJY10-yo?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.333,1.561,0.163,30,3,4.176,1.776,0.127,17,5.56,80,82,1.919,2.048,-0.591,37,,2.511,Verb,300.3,967.63,667.33,1167.84,899,49,32,4,1,31,0,4,1,19,0,0,1368,1061,1731,Arbitrary,0,0,0,1,closed_b,0,imrp,1,0,0,0,Closed,NoContact,AsymmetricalSameHandshape,Straight,Hand,HandAway,HandAway,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,60,1
bake_2,bake_2,B_01_051,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/dL1RVvj11ds?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.12,1.301,0.252,25,0,5.286,1.541,0.348,14,0,,,2.259,2.016,-0.319,27,,2.511,Verb,1034.37,1534.87,500.5,2168.84,860,16,12,4,2,31,1,4,2,22,1,0,1710,794,1885,Arbitrary,0,0,0,1,open_b,1,imrp,1,0,0,0,Open,NoContact,AsymmetricalSameHandshape,Straight,Hand,HandAway,HandAway,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,51,1
balance,balance,C_02_046,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/2DD-WEaYax8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.067,1.893,-0.105,30,0,4.167,2.176,-0.173,18,0,,,5.63,2.025,1.389,27,,2.884,Noun,500.5,1301.3,800.8,2002,781,62,3,4,2,30,1,4,2,21,0,1,1670,774,1841,Perceptual,0,0,0,1,flat_b,1,imrp,4,0,0,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,46,2
bald,,F_02_100,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7z90dkw-1Rg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.593,,-0.32,,,,,,,,,,4.161,2.218,0.365,31,,2.696,Adjective,,,,,,,,,,,,,,,,2,959,713,1195,NA,,0,0,1,open_8,1,m,5,0,NA,NA,Open,NoContact,OneHanded,Circular,Head,HeadAway,HeadAway,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,100,2
ball,ball,C_02_044,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/G3GG54VVBYY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.633,1.474,0.196,30,0,4.833,1.383,0.173,18,0,,,5.37,2.025,1.279,27,,3.729,Noun,467.13,1067.73,600.6,1901.9,779,85,8,6,1,30,2,6,1,21,2,0,1620,780,1798,Perceptual,0,0,0,1,curved_5,1,imrp,5,0,1,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,44,2
balloon,balloon,A_02_086,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ffWsr0QZIcw?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,2.852,1.537,-0.545,27,0,2.846,1.676,-0.52,13,0,,,4.967,2.074,0.891,30,,2.646,Noun,834.17,1568.24,734.07,2969.64,800,12,2,5,1,31,1,5,2,19,1,2,1770,1063,2065,Both,0,0,0,1,s,0,imrp,7,1,0,1,Closed,Contact,SymmetricalOrAlternating,Straight,Head,HeadAway,HeadAway,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,86,2
banana,banana,A_03_002,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/fgVYepsXtIk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.875,1.702,-0.059,24,4,3.714,1.637,-0.108,14,6.67,,,5.381,2.153,0.838,21,,2.739,Noun,333.67,967.63,633.97,1368.04,742,27,4,5,2,31,1,5,2,19,1,4,1430,731,1606,Both,0,0,0,1,flat_o,0,imrp,4,0,0,0,Open,Contact,AsymmetricalDifferentHandshape,Other,Hand,FingerRadial,FingerFront,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,2,3
BANANA_2,,K_02_097,,"<iframe src=""https://player.vimeo.com/video/342143774"" width=""280"" height=""158"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",,,,,,,,,,,,,,,,,BANANA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,NA,NA,i,2,0,NA,NA,Open,Contact,AsymmetricalDifferentHandshape,Straight,Hand,FingerBack,FingerBack,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BANANA_3,,K_03_014,,"<iframe src=""https://player.vimeo.com/video/342147038"" width=""280"" height=""158"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",,,,,,,,,,,,,,,,,BANANA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,NA,NA,i,1,0,NA,NA,Closed,NoContact,AsymmetricalSameHandshape,BackAndForth,Hand,FingerRadial,FingerRadial,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BANANA_4,,K_01_061,,"<iframe src=""https://player.vimeo.com/video/341911561"" width=""280"" height=""158"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",,,,,,,,,,,,,,,,,BANANA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,NA,NA,i,4,0,NA,NA,Open,Contact,AsymmetricalDifferentHandshape,Straight,Hand,FingerRadial,FingerRadial,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
band_aid_1,,F_02_20,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/HMxH5MElqng?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,2.864,,-0.85,,,,,,,,,,4.097,2.218,0.336,31,,,Noun,,,,,,,,,,,,,,,,3,966,945,1351,Both,,0,0,1,flat_v,1,im,4,0,0,0,Closed,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,PalmBack,HandAway,1,C,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,20,2
bandage,,F_03_20,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/42_d05euJKg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3,,-0.716,,,,,,,,,,5.091,2.108,0.67,33,,2.167,Noun,,,,,,,,,,,,,,,,1,982,1351,1670,NA,1,0,0,1,closed_b,0,imrp,1,0,0,0,Closed,NoContact,AsymmetricalSameHandshape,Circular,Hand,HandAway,FingerBack,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,20,3
bandaid,,H_01_88,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/MWGsnYTVKMI?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.893,,-0.104,,,,,,,,,,4.12,1.922,-0.019,25,,,Noun,,,,,,,,,,,,,,,,3,962,867,1295,Both,,0,0,1,h,1,im,1,0,0,0,Closed,NoContact,AsymmetricalDifferentHandshape,Curved,Hand,PalmBack,PalmBack,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,88,1
